Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,30-158,ATL,,BRK,W (+4),1,19:31,3,5,.600,0,0,,0,0,,1,6,7,1,1,1,1,0,6,7.6,0
2,2,2024-10-25,30-160,ATL,,CHO,W (+5),1,21:33,2,2,1.000,0,0,,2,2,1.000,1,6,7,1,1,2,2,3,6,7.8,+4
3,3,2024-10-27,30-162,ATL,@,OKC,L (-24),1,21:35,3,8,.375,0,0,,0,1,.000,5,5,10,2,1,1,0,1,6,8.9,-4
4,4,2024-10-28,30-163,ATL,,WAS,L (-2),1,24:53,6,6,1.000,0,0,,4,6,.667,1,3,4,2,1,1,2,4,16,14.5,+6
5,5,2024-10-30,30-165,ATL,@,WAS,L (-13),1,23:53,5,7,.714,0,0,,2,2,1.000,0,5,5,0,0,0,2,2,12,7.8,-15
6,6,2024-11-01,30-167,ATL,,SAC,L (-8),1,28:48,7,9,.778,0,0,,1,1,1.000,3,7,10,1,0,0,0,4,15,14.8,-4
7,7,2024-11-03,30-169,ATL,@,NOP,W (+15),1,20:39,4,5,.800,0,0,,0,0,,0,4,4,0,0,1,0,1,8,7.6,+27
8,8,2024-11-04,30-170,ATL,,BOS,L (-30),1,16:47,1,3,.333,0,0,,0,0,,0,5,5,1,0,0,1,1,2,1.1,-17
9,9,2024-11-06,30-172,ATL,,NYK,W (+5),1,27:52,8,8,1.000,0,0,,2,2,1.000,4,2,6,1,0,0,1,3,18,17.5,0
10,10,2024-11-08,30-174,ATL,@,DET,L (-1),1,18:40,3,10,.300,0,0,,1,4,.250,7,5,12,2,0,1,2,1,7,6.1,-4
11,11,2024-11-09,30-175,ATL,,CHI,L (-12),1,25:35,8,14,.571,0,0,,4,4,1.000,5,4,9,1,0,1,1,2,20,17.7,-2
12,12,2024-11-12,30-178,ATL,@,BOS,W (+1),1,16:52,8,11,.727,0,0,,2,4,.500,6,3,9,1,2,0,0,0,18,20.5,-11
13,13,2024-11-15,30-181,ATL,,WAS,W (+12),1,22:03,4,8,.500,0,0,,2,4,.500,6,7,13,1,0,0,1,3,10,10.0,+3
14,14,2024-11-17,30-183,ATL,@,POR,L (-4),1,19:55,4,9,.444,0,0,,0,2,.000,5,3,8,3,1,1,0,3,8,9.5,+8
15,15,2024-11-18,30-184,ATL,@,SAC,W (+1),1,28:28,6,9,.667,0,0,,2,4,.500,3,11,14,1,0,1,2,2,14,13.3,+14
16,16,2024-11-20,30-186,ATL,@,GSW,L (-23),1,22:24,5,12,.417,0,0,,1,4,.250,5,5,10,1,1,2,0,1,11,11.1,-9
