Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,21-220,ATL,,BRK,W (+4),1,34:32,6,12,.500,2,4,.500,1,4,.250,3,2,5,2,5,1,1,4,15,15.0,+7
2,2,2024-10-25,21-222,ATL,,CHO,W (+5),1,24:24,8,10,.800,2,4,.500,0,0,,0,1,1,4,2,2,1,5,18,17.7,+9
3,3,2024-10-27,21-224,ATL,@,OKC,L (-24),1,34:17,3,11,.273,0,4,.000,1,2,.500,2,6,8,2,1,1,1,3,7,4.2,-25
4,4,2024-10-28,21-225,ATL,,WAS,L (-2),1,36:25,4,9,.444,2,5,.400,1,2,.500,0,3,3,1,3,0,0,1,11,10.1,-10
5,,2024-10-30,21-227,ATL,@,WAS,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2024-11-01,21-229,ATL,,SAC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5,2024-11-03,21-231,ATL,@,NOP,W (+15),1,24:49,7,10,.700,2,5,.400,0,0,,2,3,5,3,1,0,2,3,16,14.0,+21
8,6,2024-11-04,21-232,ATL,,BOS,L (-30),1,23:45,4,9,.444,0,1,.000,0,0,,0,2,2,3,1,0,1,2,8,5.2,-23
9,7,2024-11-06,21-234,ATL,,NYK,W (+5),1,36:46,3,16,.188,0,4,.000,0,0,,1,4,5,2,4,1,2,3,6,0.8,0
10,8,2024-11-08,21-236,ATL,@,DET,L (-1),1,38:28,7,17,.412,2,6,.333,2,2,1.000,1,2,3,2,7,2,2,4,18,16.4,+10
11,9,2024-11-09,21-237,ATL,,CHI,L (-12),1,36:07,7,15,.467,0,3,.000,2,4,.500,1,7,8,3,6,0,1,1,16,17.0,-11
12,10,2024-11-12,21-240,ATL,@,BOS,W (+1),1,40:57,12,21,.571,1,5,.200,3,5,.600,0,3,3,7,6,0,6,3,28,21.9,-4
13,11,2024-11-15,21-243,ATL,,WAS,W (+12),1,35:36,10,14,.714,2,5,.400,3,3,1.000,2,2,4,3,6,2,1,1,25,29.3,+1
14,12,2024-11-17,21-245,ATL,@,POR,L (-4),1,35:55,5,17,.294,1,5,.200,1,1,1.000,5,3,8,5,2,1,6,2,12,5.9,-4
15,13,2024-11-18,21-246,ATL,@,SAC,W (+1),1,39:03,6,14,.429,2,5,.400,0,0,,1,7,8,4,0,4,2,3,14,11.8,-1
16,14,2024-11-20,21-248,ATL,@,GSW,L (-23),1,30:59,5,12,.417,1,3,.333,0,0,,3,3,6,3,0,0,3,4,11,5.1,-21
17,15,2024-11-22,21-250,ATL,@,CHI,L (-14),1,32:19,3,14,.214,2,4,.500,0,0,,3,2,5,4,4,0,1,2,8,7.1,-6
