Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2024-10-23,31-296,ATL,,BRK,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2024-10-25,31-298,ATL,,CHO,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,2024-10-27,31-300,ATL,@,OKC,L (-24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,1.0,2024-10-28,31-301,ATL,,WAS,L (-2),0,23:07,.833,.833,15.6,0.0,7.6,31.3,3.9,4.4,10.0,18.4,152,114,16.1,10.9
5,2.0,2024-10-30,31-303,ATL,@,WAS,L (-13),0,6:52,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,200,132,1.7,-5.7
6,3.0,2024-11-01,31-305,ATL,,SAC,L (-8),1,7:36,.250,.250,25.8,15.0,20.8,0.0,0.0,0.0,33.3,33.6,55,124,-0.7,-26.3
7,4.0,2024-11-03,31-307,ATL,@,NOP,W (+15),0,24:58,.875,.875,11.0,15.7,13.7,0.0,2.0,0.0,11.1,15.8,153,114,13.4,3.6
8,,2024-11-04,31-308,ATL,,BOS,L (-30),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2024-11-06,31-310,ATL,,NYK,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,5.0,2024-11-08,31-312,ATL,@,DET,L (-1),0,12:31,1.300,1.300,0.0,9.6,4.3,30.9,3.6,0.0,0.0,15.3,255,113,13.4,28.1
11,6.0,2024-11-09,31-313,ATL,,CHI,L (-12),0,13:53,.773,.833,0.0,16.5,8.0,20.3,0.0,0.0,0.0,11.5,159,124,4.7,0.1
12,7.0,2024-11-12,31-316,ATL,@,BOS,W (+1),0,27:26,.950,.950,7.4,0.0,4.5,9.3,1.8,5.8,0.0,14.5,194,122,18.9,15.0
13,8.0,2024-11-15,31-319,ATL,,WAS,W (+12),0,13:08,.000,.000,0.0,13.8,6.8,7.9,3.3,0.0,0.0,5.7,34,104,0.9,-7.9
14,9.0,2024-11-17,31-321,ATL,@,POR,L (-4),0,10:47,.000,.000,11.7,18.2,15.3,0.0,4.4,7.8,0.0,3.6,58,102,2.3,-0.7
15,,2024-11-18,31-322,ATL,@,SAC,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,2024-11-20,31-324,ATL,@,GSW,L (-23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,2024-11-22,31-326,ATL,@,CHI,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,,2024-11-25,31-329,ATL,,DAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,,2024-11-27,31-331,ATL,@,CLE,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,,2024-11-29,31-333,ATL,,CLE,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,,2024-11-30,31-334,ATL,@,CHO,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,,2024-12-02,31-336,ATL,,NOP,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,,2024-12-04,31-338,ATL,@,MIL,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,,2024-12-06,31-340,ATL,,LAL,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,10.0,2024-12-08,31-342,ATL,,DEN,L (-30),1,24:24,.673,.636,0.0,23.8,8.9,20.2,3.7,0.0,0.0,18.7,150,128,15.2,9.1
26,,2024-12-11,31-345,ATL,@,NYK,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,,2024-12-14,31-348,ATL,@,MIL,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,11.0,2024-12-19,31-353,ATL,@,SAS,L (-7),0,31:28,.808,.808,11.0,34.4,23.0,10.4,1.5,2.9,0.0,16.9,164,113,21.7,10.5
29,12.0,2024-12-21,31-355,ATL,,MEM,L (-16),0,23:56,.394,.313,5.3,42.0,24.8,22.9,1.8,10.7,25.3,20.6,81,107,7.3,-2.4
30,13.0,2024-12-23,31-357,ATL,,MIN,W (+13),0,21:06,.750,.750,0.0,19.0,11.2,13.2,4.6,14.2,0.0,8.5,158,94,10.3,12.6
31,14.0,2024-12-26,31-360,ATL,,CHI,W (+8),0,22:55,.667,.667,0.0,5.1,2.6,5.9,2.0,3.8,0.0,16.0,139,127,9.6,-1.4
32,15.0,2024-12-28,31-362,ATL,,MIA,W (+10),0,26:38,.727,.667,8.4,31.3,20.3,4.9,3.7,0.0,36.8,18.0,96,105,9.9,-2.6
33,,2024-12-29,31-363,ATL,@,TOR,W (+29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2025-01-01,32-000,ATL,@,DEN,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
