Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,23-317,ATL,,BRK,W (+4),0,28:29,11,12,.917,0,0,,6,6,1.000,4,4,8,1,0,3,2,1,28,28.4,+4
2,2,2024-10-25,23-319,ATL,,CHO,W (+5),0,26:27,3,6,.500,1,2,.500,0,0,,0,8,8,3,1,0,0,3,7,8.3,+1
3,3,2024-10-27,23-321,ATL,@,OKC,L (-24),0,23:22,3,9,.333,1,2,.500,7,9,.778,2,1,3,1,1,0,0,2,14,10.7,-16
4,,2024-10-28,23-322,ATL,,WAS,L (-2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
5,4,2024-10-30,23-324,ATL,@,WAS,L (-13),0,24:07,1,5,.200,0,4,.000,0,0,,1,2,3,2,0,1,0,1,2,1.9,+2
6,5,2024-11-01,23-326,ATL,,SAC,L (-8),0,19:12,4,5,.800,0,1,.000,3,4,.750,1,3,4,1,1,1,0,2,11,11.9,-4
7,,2024-11-03,23-328,ATL,@,NOP,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,6,2024-11-04,23-329,ATL,,BOS,L (-30),0,22:52,8,12,.667,0,3,.000,2,2,1.000,5,5,10,0,2,0,1,2,18,18.0,-16
9,7,2024-11-06,23-331,ATL,,NYK,W (+5),0,20:08,1,6,.167,0,1,.000,0,0,,2,2,4,5,1,0,0,2,2,3.9,+5
10,8,2024-11-08,23-333,ATL,@,DET,L (-1),0,16:49,4,7,.571,0,1,.000,0,0,,2,3,5,3,0,1,1,4,8,7.2,+3
11,9,2024-11-09,23-334,ATL,,CHI,L (-12),0,22:25,2,5,.400,1,1,1.000,3,4,.750,1,6,7,1,0,0,0,1,8,7.7,-10
12,10,2024-11-12,23-337,ATL,@,BOS,W (+1),0,30:42,7,11,.636,1,4,.250,0,0,,4,2,6,2,0,0,3,4,15,10.3,+15
13,11,2024-11-15,23-340,ATL,,WAS,W (+12),0,25:57,5,9,.556,0,2,.000,3,3,1.000,4,9,13,0,2,2,3,2,13,13.8,+9
14,12,2024-11-17,23-342,ATL,@,POR,L (-4),0,28:06,4,9,.444,0,1,.000,3,4,.750,2,9,11,3,2,2,2,4,11,11.9,-12
15,13,2024-11-18,23-343,ATL,@,SAC,W (+1),0,19:32,3,5,.600,0,1,.000,1,1,1.000,0,2,2,0,1,0,0,1,7,5.9,-13
16,14,2024-11-20,23-345,ATL,@,GSW,L (-23),0,23:05,2,6,.333,2,4,.500,3,6,.500,2,5,7,0,0,1,2,3,9,4.8,-17
