Rk,G,Date▼,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,48.0,2025-03-06,28-139,ATL,,IND,W (+6),0,21:55,.607,.611,5.1,0.0,2.6,0.0,0.0,0.0,9.2,21.5,111,129,5.8,-8.3
2,47.0,2025-03-04,28-137,ATL,,MIL,L (-6),0,21:09,.857,.857,4.3,15.1,9.3,24.6,2.1,3.8,30.0,18.8,117,115,11.4,8.3
3,46.0,2025-03-03,28-136,ATL,@,MEM,W (+2),0,29:00,.583,.583,8.3,0.0,4.4,9.9,0.0,2.8,0.0,8.6,153,141,7.0,-4.6
4,45.0,2025-02-28,28-133,ATL,,OKC,L (-16),0,26:12,.722,.722,16.7,4.1,10.3,16.2,0.0,0.0,10.0,15.6,146,135,12.5,4.2
5,44.0,2025-02-26,28-131,ATL,@,MIA,L (-22),0,29:02,.742,.714,4.6,15.5,9.7,19.2,1.8,0.0,10.2,15.2,146,139,12.5,1.6
6,43.0,2025-02-24,28-129,ATL,,MIA,W (+12),0,26:08,.727,.778,4.2,3.6,3.9,12.7,1.9,0.0,22.5,22.0,106,98,9.9,3.1
7,42.0,2025-02-23,28-128,ATL,,DET,L (-5),0,13:43,.532,1.000,16.7,10.0,13.6,0.0,0.0,0.0,0.0,5.3,138,135,1.8,-9.3
8,41.0,2025-02-20,28-125,ATL,,ORL,L (-6),0,21:43,.700,.700,0.0,0.0,0.0,20.5,0.0,0.0,16.7,10.9,127,123,5.0,-2.1
9,40.0,2025-02-12,28-117,ATL,@,NYK,L (-1),0,16:19,.102,.000,19.5,27.1,22.7,11.8,8.4,0.0,0.0,11.4,90,115,3.6,-5.8
10,39.0,2025-02-10,28-115,ATL,@,ORL,W (+6),0,14:48,1.351,1.375,9.3,8.1,8.6,13.0,0.0,0.0,18.4,16.6,181,115,11.5,17.9
11,38.0,2025-02-08,28-113,ATL,@,WAS,W (+14),0,24:37,.340,.400,0.0,4.1,2.1,13.6,0.0,0.0,0.0,9.8,91,114,1.7,-11.0
12,,2025-02-07,28-112,ATL,,MIL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2025-02-06,28-111,LAC,,IND,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,37.0,2025-02-04,28-109,LAC,,LAL,L (-25),0,12:26,.000,.000,0.0,10.7,4.5,11.4,4.1,0.0,0.0,14.4,15,127,-0.8,-16.5
15,36.0,2025-02-02,28-107,LAC,@,TOR,L (-7),0,25:33,.583,.583,16.3,9.9,13.4,0.0,0.0,0.0,0.0,10.5,144,129,6.6,-4.3
16,35.0,2025-01-31,28-105,LAC,@,CHO,W (+8),0,23:04,.868,.750,5.5,8.5,7.2,5.0,0.0,3.2,25.8,7.5,141,112,5.3,-0.3
17,34.0,2025-01-29,28-103,LAC,@,SAS,W (+12),0,11:24,.333,.333,0.0,9.0,4.8,9.6,0.0,0.0,40.0,17.8,55,122,-1.5,-18.4
18,33.0,2025-01-27,28-101,LAC,@,PHO,L (-2),0,7:12,.333,.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,73,130,-0.1,-17.5
19,32.0,2025-01-25,28-099,LAC,,MIL,W (+10),0,14:09,.375,.375,6.9,25.4,15.2,0.0,0.0,7.7,0.0,11.7,98,114,2.1,-4.3
20,31.0,2025-01-23,28-097,LAC,,WAS,W (+17),0,18:36,.000,.000,0.0,17.8,9.9,32.3,2.5,0.0,0.0,6.8,85,90,2.4,-2.1
21,30.0,2025-01-22,28-096,LAC,,BOS,L (-4),1,45:02,.431,.364,3.6,12.1,8.2,19.5,1.1,2.9,23.9,16.6,92,114,8.2,-3.5
22,29.0,2025-01-20,28-094,LAC,,CHI,L (-13),0,21:49,.667,.667,0.0,9.4,4.7,0.0,0.0,9.2,10.0,19.7,109,119,8.3,0.5
23,,2025-01-19,28-093,LAC,,LAL,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,28.0,2025-01-16,28-090,LAC,@,POR,W (+29),0,22:21,.788,.750,0.0,19.2,12.3,6.5,0.0,0.0,10.1,19.7,144,95,11.2,4.9
25,27.0,2025-01-15,28-089,LAC,,BRK,W (+59),0,8:22,.833,.833,19.1,10.4,13.5,0.0,0.0,10.4,0.0,15.9,167,71,4.6,11.2
26,,2025-01-13,28-087,LAC,,MIA,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,26.0,2025-01-08,28-082,LAC,@,DEN,L (-23),0,12:27,.375,.375,0.0,0.0,0.0,0.0,3.9,0.0,33.3,21.1,48,126,-1.2,-16.8
28,25.0,2025-01-06,28-080,LAC,@,MIN,L (-2),0,9:50,.750,.750,0.0,0.0,0.0,15.2,5.1,0.0,0.0,8.6,161,113,3.7,8.5
