Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,26-034,ATL,,BRK,W (+4),1,36:40,7,16,.438,2,6,.333,14,16,.875,1,4,5,12,1,1,3,1,30,29.4,+12
2,2,2024-10-25,26-036,ATL,,CHO,W (+5),1,41:28,11,24,.458,5,14,.357,11,13,.846,3,5,8,10,4,0,7,1,38,32.0,+9
3,3,2024-10-27,26-038,ATL,@,OKC,L (-24),1,37:03,7,14,.500,2,7,.286,8,8,1.000,0,1,1,8,0,0,10,3,24,11.7,-18
4,4,2024-10-28,26-039,ATL,,WAS,L (-2),1,35:44,2,15,.133,2,10,.200,8,9,.889,0,8,8,13,1,1,6,3,14,9.9,-7
5,5,2024-10-30,26-041,ATL,@,WAS,L (-13),1,40:22,12,28,.429,4,13,.308,7,7,1.000,2,2,4,15,2,0,3,2,35,30.9,-16
6,6,2024-11-01,26-043,ATL,,SAC,L (-8),1,42:18,8,21,.381,3,9,.333,6,7,.857,1,4,5,12,0,0,5,2,25,17.6,-11
7,7,2024-11-03,26-045,ATL,@,NOP,W (+15),1,31:21,8,15,.533,5,10,.500,2,2,1.000,1,3,4,12,1,0,2,1,23,24.3,+29
8,8,2024-11-04,26-046,ATL,,BOS,L (-30),1,23:15,1,10,.100,0,6,.000,0,0,,0,0,0,6,1,0,3,2,2,-3.2,-28
9,9,2024-11-06,26-048,ATL,,NYK,W (+5),1,35:15,7,21,.333,3,9,.333,6,8,.750,2,4,6,10,2,0,2,2,23,19.1,+6
10,10,2024-11-08,26-050,ATL,@,DET,L (-1),1,41:00,11,25,.440,6,12,.500,7,8,.875,0,2,2,13,2,0,3,2,35,29.4,+14
11,11,2024-11-09,26-051,ATL,,CHI,L (-12),1,37:52,6,16,.375,2,6,.333,0,0,,1,2,3,16,0,0,6,2,14,10.9,-6
12,,2024-11-12,26-054,ATL,@,BOS,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,12,2024-11-15,26-057,ATL,,WAS,W (+12),1,33:08,5,18,.278,4,9,.444,4,4,1.000,0,2,2,9,0,0,6,3,18,7.1,+2
14,13,2024-11-17,26-059,ATL,@,POR,L (-4),1,37:55,8,16,.500,5,10,.500,8,9,.889,1,4,5,8,0,0,6,2,29,21.3,-4
15,14,2024-11-18,26-060,ATL,@,SAC,W (+1),1,35:43,1,7,.143,0,2,.000,5,5,1.000,0,3,3,19,2,0,5,1,7,13.3,+15
16,15,2024-11-20,26-062,ATL,@,GSW,L (-23),1,30:20,4,12,.333,1,6,.167,3,4,.750,0,3,3,11,2,0,3,2,12,11.6,-19
17,16,2024-11-22,26-064,ATL,@,CHI,L (-14),1,37:31,8,18,.444,1,8,.125,8,8,1.000,0,1,1,13,4,1,4,2,25,24.9,-9
18,17,2024-11-25,26-067,ATL,,DAL,L (-10),1,35:16,5,12,.417,2,4,.500,6,7,.857,1,1,2,16,3,0,3,2,18,22.6,-1
19,18,2024-11-27,26-069,ATL,@,CLE,W (+11),1,36:57,6,18,.333,3,13,.231,5,5,1.000,0,4,4,22,0,0,5,3,20,20.2,+5
20,19,2024-11-29,26-071,ATL,,CLE,W (+16),1,34:41,7,12,.583,2,5,.400,5,5,1.000,0,3,3,11,0,0,7,4,21,15.4,+10
21,20,2024-11-30,26-072,ATL,@,CHO,W (+3),1,30:48,4,9,.444,2,6,.333,4,6,.667,0,4,4,5,1,0,6,2,14,7.4,-4
22,21,2024-12-02,26-074,ATL,,NOP,W (+12),1,35:50,5,16,.313,2,9,.222,0,0,,1,7,8,15,1,0,5,3,12,10.9,+20
23,22,2024-12-04,26-076,ATL,@,MIL,W (+15),1,35:23,6,19,.316,0,9,.000,5,6,.833,0,4,4,7,0,0,4,3,17,6.6,+8
24,23,2024-12-06,26-078,ATL,,LAL,W (+2),1,42:05,9,25,.360,5,13,.385,8,8,1.000,0,4,4,20,2,0,3,1,31,30.9,-6
25,24,2024-12-08,26-080,ATL,,DEN,L (-30),1,35:08,6,13,.462,2,7,.286,1,2,.500,1,3,4,10,3,0,4,1,15,15.1,-5
26,25,2024-12-11,26-083,ATL,@,NYK,W (+8),1,36:24,8,22,.364,2,8,.250,4,4,1.000,0,5,5,11,1,0,3,1,22,16.6,+6
27,26,2024-12-14,26-086,ATL,@,MIL,L (-8),1,39:36,9,18,.500,3,5,.600,14,17,.824,2,5,7,10,0,1,5,4,35,28.8,-4
28,27,2024-12-19,26-091,ATL,@,SAS,L (-7),1,36:39,7,16,.438,3,6,.500,6,8,.750,0,0,0,16,3,0,5,3,23,21.8,-7
29,,2024-12-21,26-093,ATL,,MEM,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,28,2024-12-23,26-095,ATL,,MIN,W (+13),1,31:18,8,15,.533,4,7,.571,9,12,.750,0,2,2,7,0,0,5,2,29,20.2,+9
31,29,2024-12-26,26-098,ATL,,CHI,W (+8),1,38:44,8,17,.471,4,11,.364,7,7,1.000,1,1,2,13,2,0,2,2,27,27.6,+20
32,30,2024-12-28,26-100,ATL,,MIA,W (+10),1,36:51,3,13,.231,2,9,.222,3,4,.750,0,1,1,15,1,0,3,0,11,11.5,+17
33,31,2024-12-29,26-101,ATL,@,TOR,W (+29),1,32:24,10,21,.476,7,13,.538,7,7,1.000,0,2,2,10,1,2,5,2,34,27.5,+39
34,32,2025-01-01,26-104,ATL,@,DEN,L (-19),1,30:16,8,17,.471,4,10,.400,10,12,.833,0,4,4,9,2,0,4,1,30,25.6,-25
35,33,2025-01-03,26-106,ATL,@,LAL,L (-17),1,35:57,10,22,.455,3,9,.333,10,12,.833,0,0,0,9,1,0,3,1,33,24.7,-8
36,34,2025-01-04,26-107,ATL,@,LAC,L (-26),1,33:50,7,16,.438,4,9,.444,2,3,.667,0,4,4,14,1,0,3,2,20,19.4,-7
37,35,2025-01-07,26-110,ATL,@,UTA,W (+3),1,36:34,6,16,.375,3,10,.300,9,10,.900,0,2,2,20,0,1,2,1,24,27.7,+4
38,36,2025-01-09,26-112,ATL,@,PHO,L (-8),1,33:50,6,15,.400,1,4,.250,8,9,.889,0,2,2,7,1,0,3,0,21,16.0,-15
39,37,2025-01-14,26-117,ATL,,PHO,W (+5),1,38:07,13,31,.419,6,12,.500,11,14,.786,2,1,3,5,3,0,6,2,43,26.7,+10
40,,2025-01-15,26-118,ATL,@,CHI,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,38,2025-01-18,26-121,ATL,@,BOS,W (+4),1,38:52,10,23,.435,3,10,.300,5,5,1.000,0,4,4,11,2,2,5,1,28,22.8,+3
42,39,2025-01-20,26-123,ATL,@,NYK,L (-9),1,35:21,8,22,.364,6,12,.500,5,6,.833,1,2,3,6,3,1,9,4,27,13.0,-5
43,40,2025-01-22,26-125,ATL,,DET,L (-10),1,40:07,5,13,.385,1,4,.250,2,4,.500,0,2,2,9,2,0,5,3,13,7.8,-5
44,41,2025-01-23,26-126,ATL,,TOR,L (-3),1,39:11,7,19,.368,2,8,.250,2,4,.500,0,1,1,13,0,0,3,1,18,12.7,-8
45,42,2025-01-25,26-128,ATL,,TOR,L (-23),1,38:09,5,12,.417,1,4,.250,5,8,.625,1,3,4,4,0,0,11,2,16,1.0,-28
46,,2025-01-27,26-130,ATL,@,MIN,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,43,2025-01-28,26-131,ATL,,HOU,L (-4),1,34:26,7,16,.438,2,9,.222,5,5,1.000,1,2,3,9,0,0,8,2,21,11.4,+4
