Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,19-198,ATL,,BRK,W (+4),0,19:00,2,8,.250,1,4,.250,2,4,.500,1,0,1,0,0,0,1,2,7,0.3,+1
2,2,2024-10-25,19-200,ATL,,CHO,W (+5),0,18:32,1,5,.200,1,4,.250,2,2,1.000,0,0,0,1,0,1,0,0,5,3.3,-14
3,3,2024-10-27,19-202,ATL,@,OKC,L (-24),1,26:55,6,12,.500,0,2,.000,1,2,.500,3,3,6,2,1,1,1,1,13,11.3,-17
4,4,2024-10-28,19-203,ATL,,WAS,L (-2),1,25:34,1,8,.125,1,4,.250,1,3,.333,0,3,3,1,2,2,1,5,4,0.0,+14
5,5,2024-10-30,19-205,ATL,@,WAS,L (-13),1,34:47,7,15,.467,2,7,.286,1,1,1.000,3,3,6,2,1,2,3,5,17,11.1,-4
6,6,2024-11-01,19-207,ATL,,SAC,L (-8),1,19:53,1,9,.111,1,6,.167,0,0,,0,1,1,0,0,0,1,3,3,-4.8,-25
7,7,2024-11-03,19-209,ATL,@,NOP,W (+15),1,29:52,4,13,.308,1,5,.200,2,2,1.000,1,4,5,1,3,0,2,3,11,5.9,-3
8,8,2024-11-04,19-210,ATL,,BOS,L (-30),1,30:08,6,15,.400,1,6,.167,2,2,1.000,1,2,3,2,0,0,2,2,15,6.8,-24
9,9,2024-11-06,19-212,ATL,,NYK,W (+5),1,37:00,11,18,.611,6,10,.600,5,9,.556,1,6,7,3,3,2,0,1,33,31.8,+14
10,10,2024-11-08,19-214,ATL,@,DET,L (-1),1,25:04,2,7,.286,0,3,.000,3,4,.750,4,1,5,3,0,1,3,3,7,4.2,-4
11,11,2024-11-09,19-215,ATL,,CHI,L (-12),1,30:09,6,14,.429,1,6,.167,4,6,.667,1,1,2,0,0,2,0,3,17,10.0,-13
12,12,2024-11-12,19-218,ATL,@,BOS,W (+1),1,24:50,4,13,.308,0,4,.000,0,2,.000,5,4,9,0,3,0,0,2,8,6.6,+12
13,13,2024-11-15,19-221,ATL,,WAS,W (+12),1,27:14,4,12,.333,0,4,.000,3,4,.750,0,2,2,2,0,0,1,1,11,4.4,+7
14,14,2024-11-17,19-223,ATL,@,POR,L (-4),1,21:17,3,6,.500,0,2,.000,5,5,1.000,1,3,4,2,0,0,2,2,11,8.2,+9
15,15,2024-11-18,19-224,ATL,@,SAC,W (+1),1,26:06,6,11,.545,3,5,.600,3,4,.750,1,2,3,2,2,1,3,3,18,13.5,-3
16,16,2024-11-20,19-226,ATL,@,GSW,L (-23),1,19:18,4,10,.400,2,7,.286,2,2,1.000,1,7,8,2,0,0,0,2,12,10.0,+2
17,17,2024-11-22,19-228,ATL,@,CHI,L (-14),1,15:54,2,4,.500,0,2,.000,0,0,,0,1,1,1,1,0,1,3,4,1.8,-9
18,18,2024-11-25,19-231,ATL,,DAL,L (-10),1,16:37,2,8,.250,1,3,.333,0,0,,0,2,2,2,0,0,1,1,5,0.8,+6
19,19,2024-11-27,19-233,ATL,@,CLE,W (+11),1,17:05,6,10,.600,3,6,.500,2,2,1.000,0,2,2,0,1,1,0,1,17,14.3,+1
20,20,2024-11-29,19-235,ATL,,CLE,W (+16),1,20:35,4,8,.500,2,4,.500,1,2,.500,1,2,3,1,1,1,1,3,11,8.1,+1
21,21,2024-11-30,19-236,ATL,@,CHO,W (+3),1,25:04,6,10,.600,2,4,.500,0,0,,1,2,3,2,1,2,2,0,14,12.5,+3
22,22,2024-12-02,19-238,ATL,,NOP,W (+12),1,24:24,5,11,.455,1,5,.200,2,4,.500,0,1,1,1,1,1,1,2,13,7.4,+7
23,23,2024-12-04,19-240,ATL,@,MIL,W (+15),1,18:47,5,11,.455,2,4,.500,0,0,,3,1,4,0,0,0,0,3,12,7.5,+1
24,24,2024-12-06,19-242,ATL,,LAL,W (+2),1,21:51,5,11,.455,1,3,.333,0,0,,0,4,4,0,1,1,1,1,11,6.8,-2
25,25,2024-12-08,19-244,ATL,,DEN,L (-30),1,29:28,3,11,.273,0,2,.000,4,6,.667,2,2,4,0,1,0,1,2,10,3.9,-13
26,26,2024-12-11,19-247,ATL,@,NYK,W (+8),1,17:25,1,8,.125,0,4,.000,0,0,,0,1,1,2,0,1,1,0,2,-1.8,-1
27,27,2024-12-14,19-250,ATL,@,MIL,L (-8),1,16:50,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-1.1,-9
28,28,2024-12-19,19-255,ATL,@,SAS,L (-7),1,22:09,4,13,.308,1,4,.250,0,0,,2,2,4,0,2,0,0,3,9,4.3,-4
29,29,2024-12-21,19-257,ATL,,MEM,L (-16),1,22:05,3,7,.429,1,3,.333,3,4,.750,1,1,2,1,0,0,1,1,10,6.2,-1
30,30,2024-12-23,19-259,ATL,,MIN,W (+13),1,19:11,2,5,.400,1,4,.250,0,0,,0,0,0,1,0,0,3,1,5,-0.4,-1
31,31,2024-12-26,19-262,ATL,,CHI,W (+8),1,23:28,5,12,.417,3,7,.429,3,4,.750,1,4,5,3,1,0,3,5,16,9.2,+1
32,32,2024-12-28,19-264,ATL,,MIA,W (+10),1,27:17,4,12,.333,1,4,.250,0,0,,2,2,4,1,0,0,1,1,9,3.5,-12
33,33,2024-12-29,19-265,ATL,@,TOR,W (+29),1,26:43,5,8,.625,2,3,.667,2,2,1.000,5,2,7,2,2,1,2,3,14,15.4,+19
34,34,2025-01-01,19-268,ATL,@,DEN,L (-19),1,31:39,6,12,.500,1,6,.167,0,0,,3,0,3,2,0,1,1,1,13,9.8,-17
35,35,2025-01-03,19-270,ATL,@,LAL,L (-17),1,25:16,3,8,.375,0,2,.000,1,1,1.000,0,3,3,0,1,0,1,3,7,2.3,-8
36,36,2025-01-04,19-271,ATL,@,LAC,L (-26),1,28:11,5,11,.455,1,4,.250,2,2,1.000,1,4,5,3,1,0,2,2,13,9.5,-11
37,37,2025-01-07,19-274,ATL,@,UTA,W (+3),1,23:53,6,14,.429,2,4,.500,0,0,,3,3,6,0,0,0,0,2,14,8.8,+8
38,38,2025-01-09,19-276,ATL,@,PHO,L (-8),1,19:21,2,4,.500,0,0,,1,1,1.000,1,1,2,0,1,0,1,1,5,3.6,+4
39,39,2025-01-14,19-281,ATL,,PHO,W (+5),1,17:19,1,5,.200,0,2,.000,0,0,,1,3,4,0,0,0,2,4,2,-3.1,-11
40,,2025-01-15,19-282,ATL,@,CHI,W (+16),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
41,,2025-01-18,19-285,ATL,@,BOS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2025-01-20,19-287,ATL,@,NYK,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2025-01-22,19-289,ATL,,DET,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2025-01-23,19-290,ATL,,TOR,L (-3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
45,,2025-01-25,19-292,ATL,,TOR,L (-23),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
46,40,2025-01-27,19-294,ATL,@,MIN,L (-8),1,20:17,4,13,.308,2,6,.333,1,2,.500,3,4,7,3,2,0,2,0,11,8.5,-4
47,,2025-01-28,19-295,ATL,,HOU,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,41,2025-01-30,19-297,ATL,@,CLE,L (-22),1,25:26,11,14,.786,5,6,.833,3,6,.500,0,1,1,1,2,0,0,1,30,26.0,-6
49,42,2025-02-01,19-299,ATL,@,IND,L (-5),1,29:01,6,11,.545,3,5,.600,2,4,.500,4,1,5,2,0,0,0,0,17,15.4,+2
50,43,2025-02-03,19-301,ATL,@,DET,W (+2),1,25:40,5,9,.556,2,6,.333,5,6,.833,0,3,3,2,1,0,0,1,17,15.2,+3
51,44,2025-02-05,19-303,ATL,,SAS,L (-1),1,23:16,3,8,.375,0,3,.000,0,0,,0,1,1,0,0,0,0,3,6,0.7,0
52,45,2025-02-07,19-305,ATL,,MIL,W (+5),1,20:29,6,10,.600,1,4,.250,0,0,,1,2,3,0,0,0,1,3,13,7.5,-3
53,46,2025-02-08,19-306,ATL,@,WAS,W (+14),1,23:54,8,12,.667,2,3,.667,0,0,,0,1,1,1,0,0,0,1,18,13.4,+1
54,47,2025-02-10,19-308,ATL,@,ORL,W (+6),1,17:52,3,6,.500,1,2,.500,4,4,1.000,1,1,2,4,1,0,0,1,11,12.4,+10
55,48,2025-02-12,19-310,ATL,@,NYK,L (-1),1,30:03,6,11,.545,2,4,.500,2,2,1.000,0,2,2,1,1,1,1,2,16,11.9,-3
56,49,2025-02-20,19-318,ATL,,ORL,L (-6),1,23:34,4,15,.267,3,5,.600,0,0,,5,7,12,1,1,1,1,1,11,8.7,+7
57,50,2025-02-23,19-321,ATL,,DET,L (-5),1,31:16,5,10,.500,4,6,.667,5,5,1.000,0,6,6,3,2,2,0,0,19,21.3,+10
58,51,2025-02-24,19-322,ATL,,MIA,W (+12),1,26:27,1,8,.125,0,3,.000,0,0,,2,1,3,1,0,0,1,1,2,-2.2,-1
59,52,2025-02-26,19-324,ATL,@,MIA,L (-22),1,25:38,4,6,.667,2,3,.667,1,2,.500,0,3,3,3,0,0,2,3,11,7.8,-18
60,53,2025-02-28,19-326,ATL,,OKC,L (-16),1,31:49,4,10,.400,2,6,.333,2,4,.500,1,8,9,2,0,0,7,4,12,1.7,-11
