Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Franz Wagner,37:41,15,29,.517,3,8,.375,4,4,1.000,1,6,7,3,2,0,2,4,37,25.7,0,wagnefr01
Kentavious Caldwell-Pope,35:06,1,4,.250,1,3,.333,3,3,1.000,0,2,2,1,2,0,2,2,6,4.1,-8,caldwke01
Paolo Banchero,33:00,10,22,.455,4,9,.444,7,8,.875,0,6,6,4,0,1,4,3,31,19.3,-19,banchpa01
Cole Anthony,17:39,3,5,.600,1,1,1.000,0,0,,0,1,1,4,2,1,4,3,7,5.3,+4,anthoco01
Goga Bitadze,16:37,0,1,.000,0,0,,0,0,,0,3,3,0,1,4,1,2,0,2.2,+8,bitadgo01
Anthony Black,34:06,2,6,.333,0,2,.000,2,3,.667,2,4,6,5,1,0,1,1,6,7.9,+5,blackan01
Jonathan Isaac,17:59,2,3,.667,2,3,.667,0,0,,0,4,4,0,0,1,2,3,6,3.4,-5,isaacjo01
Wendell Carter Jr.,17:58,2,2,1.000,0,0,,0,2,.000,0,2,2,1,0,0,1,2,4,2.1,-6,cartewe01
Tristan Da Silva,15:49,2,5,.400,1,3,.333,4,4,1.000,1,1,2,0,1,1,0,0,9,9.0,-2,dasiltr01
Gary Harris,14:05,0,1,.000,0,1,.000,0,0,,3,0,3,4,1,0,0,1,0,4.8,-7,harriga01
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,houstca01
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,howarje01
Cory Joseph,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,josepco01
Trevelin Queen,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,queentr01
Team Totals,240,37,78,.474,12,30,.400,20,24,.833,7,29,36,22,10,8,18,21,106,,,-9999
