Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Tyrese Haliburton,34:59,5,12,.417,3,6,.500,4,5,.800,0,4,4,9,2,1,1,2,17,18.6,+5,halibty01
Myles Turner,34:11,6,12,.500,2,5,.400,1,1,1.000,0,6,6,3,1,0,2,3,15,10.7,+3,turnemy01
Pascal Siakam,32:38,8,16,.500,1,4,.250,3,3,1.000,4,5,9,5,1,1,3,4,20,16.9,-1,siakapa01
Andrew Nembhard,30:09,7,11,.636,1,3,.333,4,4,1.000,0,1,1,5,2,0,3,5,19,14.9,-2,nembhan01
Bennedict Mathurin,24:42,6,10,.600,0,3,.000,5,5,1.000,0,2,2,0,0,1,0,0,17,13.7,-16,mathube01
Aaron Nesmith,23:18,4,8,.500,2,5,.400,3,3,1.000,0,2,2,1,0,0,0,4,13,8.7,+21,nesmiaa01
Ben Sheppard,19:56,2,3,.667,1,2,.500,1,2,.500,1,4,5,4,0,0,0,2,6,8.2,+7,sheppbe01
Obi Toppin,15:22,8,11,.727,1,3,.333,1,2,.500,2,7,9,0,0,1,2,2,18,14.5,+6,toppiob01
Thomas Bryant,13:49,2,4,.500,1,2,.500,0,0,,0,2,2,2,0,1,0,0,5,5.7,+2,bryanth01
T.J. McConnell,10:56,1,3,.333,0,0,,0,0,,0,1,1,6,0,0,0,4,2,3.2,0,mccontj01
RayJ Dennis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,dennira01
Johnny Furphy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,furphjo01
James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,johnsja01
Jarace Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,walkeja02
Team Totals,240,49,90,.544,12,33,.364,22,25,.880,7,34,41,35,6,5,12,26,132,,,-9999
