Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Dennis Schröder,34:20,5,16,.313,2,6,.333,1,2,.500,0,3,3,7,1,0,5,4,13,3.6,-4,schrode01
Cam Thomas,33:43,14,27,.519,7,13,.538,1,1,1.000,2,3,5,3,3,0,2,4,36,26.5,-8,thomaca02
Cameron Johnson,32:01,4,10,.400,1,6,.167,5,6,.833,0,4,4,0,1,1,0,3,14,9.9,-10,johnsca02
Dorian Finney-Smith,29:33,3,10,.300,2,7,.286,0,0,,3,5,8,1,1,2,1,5,8,5.9,-4,finnedo01
Ben Simmons,24:12,3,4,.750,0,0,,0,0,,2,3,5,8,0,1,6,5,6,5.0,-8,simmobe01
Jalen Wilson,33:58,3,7,.429,2,5,.400,8,8,1.000,1,3,4,1,0,0,1,5,16,11.6,+4,wilsoja03
Ziaire Williams,15:51,3,6,.500,2,3,.667,1,2,.500,1,2,3,1,0,0,1,2,9,5.8,+5,willizi02
Nic Claxton,15:25,3,4,.750,0,0,,1,4,.250,0,5,5,0,1,1,0,3,7,6.2,+7,claxtni01
Noah Clowney,14:36,2,6,.333,1,3,.333,2,2,1.000,3,3,6,0,1,1,1,1,7,6.9,-10,clownno01
Shake Milton,6:20,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+8,miltosh01
Cui Yongxi,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,cuiyo01
Keon Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,johnske07
Jaylen Martin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,martija02
Tyrese Martin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,martity01
Dariq Whitehead,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,whiteda01
Team Totals,240,40,91,.440,17,43,.395,19,25,.760,12,31,43,21,8,6,19,32,116,,,-9999
