Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Davion Mitchell,37:02,7,8,.875,5,5,1.000,1,1,1.000,0,0,0,6,2,0,2,1,20,21.0,+11,mitchda01
Bam Adebayo,35:18,9,12,.750,1,2,.500,1,2,.500,1,8,9,3,0,1,2,4,20,17.1,+16,adebaba01
Tyler Herro,34:23,7,16,.438,4,8,.500,6,7,.857,0,2,2,10,3,0,2,1,24,23.4,+9,herroty01
Kel'el Ware,29:21,5,6,.833,2,2,1.000,0,0,,1,7,8,2,2,0,1,3,12,13.8,+8,wareke01
Andrew Wiggins,28:45,3,9,.333,1,5,.200,8,10,.800,0,2,2,6,2,0,3,0,15,12.9,+9,wiggian01
Duncan Robinson,32:41,9,16,.563,6,13,.462,0,0,,1,4,5,6,0,0,3,0,24,19.5,+27,robindu01
Haywood Highsmith,27:04,4,5,.800,4,5,.800,2,2,1.000,4,3,7,5,1,1,0,3,14,19.8,+31,highsha01
Jaime Jaquez Jr.,7:58,1,2,.500,0,0,,0,0,,1,1,2,1,0,0,1,0,2,1.7,+3,jaqueja01
Alec Burks,4:57,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+1,burksal01
Kyle Anderson,1:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5,anderky01
Pelle Larsson,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,larsspe01
Nikola Jović,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,jovicni01
Kevin Love,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,loveke01
Terry Rozier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roziete01
Team Totals,240,45,76,.592,23,42,.548,18,22,.818,8,27,35,39,10,2,17,13,131,,,-9999
