Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Rudy Gobert,38:19,7,9,.778,0,0,,4,7,.571,5,5,10,1,0,2,1,2,18,18.6,+8,goberru01
Anthony Edwards,35:23,6,20,.300,2,11,.182,9,13,.692,2,3,5,4,2,1,3,2,23,13.8,+8,edwaran01
Jaden McDaniels,33:24,3,7,.429,2,4,.500,2,2,1.000,0,8,8,2,4,1,2,4,10,11.2,0,mcdanja02
Julius Randle,32:18,7,17,.412,3,8,.375,3,3,1.000,3,5,8,2,1,0,5,3,20,10.7,+12,randlju01
Mike Conley,31:22,1,9,.111,0,5,.000,2,2,1.000,1,3,4,4,4,0,1,0,4,5.5,+7,conlemi01
Naz Reid,28:42,6,9,.667,3,5,.600,0,0,,0,3,3,2,0,0,2,1,15,11.0,+4,reidna01
Nickeil Alexander-Walker,22:00,2,7,.286,1,5,.200,0,0,,2,7,9,2,0,0,2,5,5,1.8,+5,alexani01
Rob Dillingham,10:40,2,5,.400,1,2,.500,0,2,.000,0,2,2,1,2,0,0,0,5,4.8,0,dilliro01
Josh Minott,7:52,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-1.5,-4,minotjo01
Jaylen Clark,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,clarkja02
Luka Garza,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,garzalu01
Joe Ingles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,inglejo01
Leonard Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,millele01
Team Totals,240,34,86,.395,12,40,.300,20,29,.690,14,37,51,18,13,4,18,18,100,,,-9999
