Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Cade Cunningham,38:05,8,23,.348,1,6,.167,13,13,1.000,1,5,6,14,0,0,3,2,30,25.3,+10,cunnica01
Tobias Harris,35:14,8,13,.615,0,3,.000,6,7,.857,0,4,4,2,1,0,0,3,22,18.1,+12,harrito02
Jalen Duren,28:39,8,10,.800,0,0,,2,2,1.000,3,6,9,1,0,2,2,2,18,17.4,+7,durenja01
Tim Hardaway Jr.,26:57,2,7,.286,1,4,.250,2,2,1.000,2,0,2,4,0,0,1,3,7,4.9,+13,hardati02
Ausar Thompson,25:25,4,6,.667,0,0,,5,6,.833,0,4,4,4,3,0,3,5,13,12.0,+2,thompau01
Malik Beasley,24:28,6,11,.545,6,10,.600,0,0,,1,4,5,2,2,0,1,4,18,15.4,-9,beaslma01
Isaiah Stewart,19:21,4,6,.667,0,0,,2,3,.667,3,2,5,1,0,0,0,0,10,10.4,-9,stewais01
Simone Fontecchio,16:15,1,3,.333,0,2,.000,2,2,1.000,0,0,0,0,0,0,0,2,4,1.5,-11,fontesi01
Ron Holland,15:40,2,3,.667,1,2,.500,1,1,1.000,0,3,3,1,0,0,2,3,6,3.1,-13,hollaro01
Marcus Sasser,9:55,0,1,.000,0,0,,2,2,1.000,0,3,3,2,1,0,2,1,2,2.2,-12,sassema01
Wendell Moore Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,moorewe01
Paul Reed,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,reedpa01
Team Totals,240,43,83,.518,9,27,.333,35,38,.921,10,31,41,31,7,2,14,25,130,,,-9999
