Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Desmond Bane,35:53,9,19,.474,3,8,.375,14,14,1.000,3,7,10,10,0,0,5,3,35,30.3,-3,banede01
Luke Kennard,34:56,8,15,.533,1,4,.250,0,0,,2,1,3,7,2,0,1,1,17,16.9,-8,kennalu01
Jaylen Wells,32:35,4,11,.364,2,7,.286,2,2,1.000,2,0,2,6,2,0,1,3,12,11.3,-1,wellsja01
Zach Edey,26:46,6,8,.750,1,1,1.000,2,2,1.000,1,4,5,2,0,1,0,2,15,15.0,+4,edeyza01
Jaren Jackson Jr.,1:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3,jacksja02
GG Jackson II,28:04,3,11,.273,2,6,.333,3,4,.750,2,5,7,3,0,1,5,1,11,4.4,-2,jacksgg01
Vince Williams Jr.,24:53,6,9,.667,3,5,.600,0,0,,0,3,3,3,0,0,4,2,15,9.3,+5,willivi01
Brandon Clarke,21:10,5,7,.714,0,0,,1,2,.500,4,3,7,1,0,1,0,2,11,12.0,-6,clarkbr01
Scotty Pippen Jr.,16:19,4,8,.500,0,1,.000,1,1,1.000,2,2,4,4,1,0,1,1,9,9.4,-4,pippesc02
John Konchar,14:51,2,3,.667,1,1,1.000,0,0,,1,0,1,0,1,0,1,0,5,4.4,+9,konchjo01
Lamar Stevens,2:54,0,2,.000,0,0,,0,0,,0,1,1,0,1,0,1,0,0,-1.1,-1,stevela01
Marvin Bagley III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,baglema01
Jay Huff,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,huffja01
Cam Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,spencca01
Team Totals,240,47,93,.505,13,33,.394,23,25,.920,17,26,43,36,7,3,20,16,130,,,-9999
