Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
De'Aaron Fox,37:08,11,22,.500,2,7,.286,0,0,,1,4,5,13,3,0,1,3,24,24.8,-4,foxde01
Devin Vassell,33:53,9,18,.500,2,8,.250,0,0,,0,3,3,4,4,0,1,1,20,17.3,+5,vassede01
Victor Wembanyama,31:26,8,15,.533,2,5,.400,6,8,.750,4,8,12,2,0,1,1,5,24,20.2,-12,wembavi01
Chris Paul,30:00,4,9,.444,3,6,.500,0,0,,1,3,4,9,0,0,1,2,11,12.4,+4,paulch01
Harrison Barnes,23:03,6,10,.600,1,2,.500,0,0,,3,3,6,1,1,0,0,1,13,12.7,+5,barneha02
Jeremy Sochan,26:33,7,8,.875,0,1,.000,1,2,.500,1,3,4,2,1,0,1,3,15,13.6,0,sochaje01
Julian Champagnie,22:14,2,6,.333,1,3,.333,0,0,,1,2,3,2,5,1,1,2,5,8.2,+8,champju02
Stephon Castle,20:14,3,9,.333,0,2,.000,5,6,.833,0,2,2,3,1,1,3,2,11,6.1,+3,castlst01
Keldon Johnson,15:29,1,4,.250,1,3,.333,0,0,,0,2,2,0,1,0,1,1,3,0.8,-4,johnske04
Malaki Branham,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,branhma01
David Duke Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,dukeda01
Harrison Ingram,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,ingraha01
Sandro Mamukelashvili,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mamuksa01
Jordan McLaughlin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mclaujo01
Blake Wesley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,weslebl01
Team Totals,240,51,101,.505,12,37,.324,12,16,.750,11,30,41,36,16,3,10,20,126,,,-9999
