Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Bobby Portis,37:39,10,20,.500,4,8,.500,2,2,1.000,1,14,15,6,1,1,2,2,26,24.0,+10,portibo01
Damian Lillard,34:52,7,19,.368,4,13,.308,5,5,1.000,3,6,9,10,0,0,3,1,23,20.0,-1,lillada01
Brook Lopez,34:31,7,15,.467,1,5,.200,1,1,1.000,0,2,2,2,1,2,2,3,16,9.5,-4,lopezbr01
Taurean Prince,30:49,4,7,.571,1,4,.250,0,0,,0,1,1,1,0,0,0,4,9,5.1,+2,princta02
Andre Jackson Jr.,15:48,0,1,.000,0,1,.000,0,0,,2,2,4,2,0,0,0,0,0,2.7,+5,jacksan01
Gary Trent Jr.,28:55,7,12,.583,5,8,.625,0,0,,0,0,0,4,3,0,1,4,19,16.6,+2,trentga02
Kyle Kuzma,23:57,4,13,.308,3,8,.375,1,2,.500,0,7,7,1,0,0,2,1,12,4.5,-15,kuzmaky01
A.J. Green,20:45,1,5,.200,0,2,.000,0,0,,0,1,1,1,0,0,0,2,2,-0.9,-22,greenaj01
Ryan Rollins,12:44,1,4,.250,1,1,1.000,0,0,,1,3,4,1,0,0,0,0,3,2.9,-2,rolliry01
Chris Livingston,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,livinch01
Jericho Sims,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,simsje01
Tyler Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,smithty02
Stanley Umude,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,umudest01
Team Totals,240,41,96,.427,19,50,.380,9,10,.900,7,36,43,28,5,3,10,17,110,,,-9999
