Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Karl-Anthony Towns,9:40,1,4,.250,0,1,.000,4,4,1.000,0,2,2,1,1,0,1,1,6,4.5,+10,townska01
Josh Hart,12:00,2,3,.667,0,0,,0,0,,0,4,4,0,0,1,0,0,4,4.6,+9,hartjo01
Mikal Bridges,6:31,2,3,.667,0,1,.000,0,0,,0,0,0,2,0,0,0,0,4,4.1,+6,bridgmi01
Jalen Brunson,12:00,6,7,.857,2,3,.667,2,3,.667,0,0,0,5,0,0,0,1,16,16.2,+9,brunsja01
Precious Achiuwa,12:00,4,5,.800,0,0,,0,0,,1,2,3,0,0,1,0,0,8,8.1,+9,achiupr01
Landry Shamet,,,,,,,,,,,,,,,,,,,,,,-9999
Cameron Payne,,,,,,,,,,,,,,,,,,,,,,-9999
Miles McBride,5:29,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+3,mcbrimi01
Ariel Hukporti,2:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-1,hukpoar01
OG Anunoby,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,anunoog01
Tyler Kolek,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,kolekty01
Matt Ryan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,ryanma01
Delon Wright,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wrighde01
Team Totals,60,15,23,.652,2,5,.400,6,7,.857,1,9,10,8,1,2,2,4,38,,,-9999
