Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Tyrese Haliburton,8:27,3,4,.750,2,3,.667,0,0,,0,1,1,3,1,1,0,0,8,10.5,+11,halibty01
Myles Turner,8:37,2,3,.667,1,2,.500,1,1,1.000,0,3,3,1,0,0,0,1,6,5.9,+11,turnemy01
Pascal Siakam,8:27,0,1,.000,0,1,.000,0,0,,2,1,3,2,1,0,3,0,0,0.4,+11,siakapa01
Andrew Nembhard,6:25,3,5,.600,1,2,.500,0,0,,0,0,0,0,0,0,0,1,7,4.3,+7,nembhan01
Bennedict Mathurin,5:18,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,2.7,+5,mathube01
Aaron Nesmith,6:42,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,1,5,3.6,+11,nesmiaa01
Ben Sheppard,6:42,2,3,.667,1,2,.500,0,0,,0,2,2,2,0,0,0,0,5,5.7,+11,sheppbe01
Obi Toppin,3:33,2,2,1.000,1,1,1.000,0,0,,1,2,3,0,0,0,0,0,5,5.7,+5,toppiob01
Thomas Bryant,3:23,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,+5,bryanth01
T.J. McConnell,2:26,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.8,+3,mccontj01
RayJ Dennis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,dennira01
Johnny Furphy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,furphjo01
James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,johnsja01
Jarace Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,walkeja02
Team Totals,60,16,26,.615,7,14,.500,1,1,1.000,3,11,14,10,2,1,3,5,40,,,-9999
