Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Scottie Barnes,10:03,2,3,.667,0,0,,0,0,,1,3,4,2,1,0,0,0,4,6.7,+9,barnesc01
RJ Barrett,8:07,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,2,0,3,0.3,+9,barrerj01
Gradey Dick,7:08,4,4,1.000,1,1,1.000,2,2,1.000,0,0,0,0,1,0,1,0,11,9.8,+8,dickgr01
Davion Mitchell,7:13,0,1,.000,0,0,,0,0,,0,1,1,4,0,0,0,0,0,2.4,+9,mitchda01
Jakob Poeltl,8:07,3,4,.750,0,0,,0,0,,0,2,2,2,1,1,0,1,6,7.7,+9,poeltja01
Bruce Brown,5:50,3,4,.750,1,2,.500,0,0,,0,1,1,2,1,0,0,1,7,7.7,+2,brownbr01
Chris Boucher,2:10,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3,bouchch01
Jamal Shead,4:47,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,2,2,0.2,+1,sheadja01
Kelly Olynyk,3:53,0,1,.000,0,1,.000,2,2,1.000,0,1,1,1,0,0,0,0,2,2.3,+1,olynyke01
Ja'Kobe Walter,2:42,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.9,-1,walteja01
Orlando Robinson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,robinor01
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,templga01
Team Totals,60,14,23,.609,3,7,.429,4,4,1.000,1,9,10,11,4,1,3,7,35,,,-9999
