Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Cade Cunningham,9:13,4,8,.500,3,5,.600,0,0,,0,2,2,4,0,0,0,0,11,10.4,+2,cunnica01
Tobias Harris,12:00,1,6,.167,0,2,.000,0,0,,0,2,2,2,1,0,1,0,2,0.2,+3,harrito02
Tim Hardaway Jr.,9:13,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3,+2,hardati02
Jalen Duren,1:10,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,2,0,0.2,0,durenja01
Ausar Thompson,4:06,3,3,1.000,0,0,,0,0,,0,2,2,1,0,0,0,2,6,5.6,-3,thompau01
Malik Beasley,7:54,1,2,.500,0,1,.000,0,3,.000,0,2,2,1,0,0,0,1,2,0.7,+6,beaslma01
Dennis Schröder,2:47,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,+1,schrode01
Isaiah Stewart,10:50,2,3,.667,0,0,,0,0,,1,2,3,1,0,2,2,1,4,3.7,+3,stewais01
Ron Holland,,,,,,,,,,,,,,,,,,,,,,-9999
Simone Fontecchio,2:47,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,2,1.7,+1,fontesi01
Paul Reed,,,,,,,,,,,,,,,,,,,,,,-9999
Marcus Sasser,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,sassema01
Lindy Waters III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,waterli01
Team Totals,60,14,27,.519,5,11,.455,0,3,.000,1,13,14,11,1,2,4,6,33,,,-9999
