Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Rudy Gobert,9:34,2,4,.500,0,0,,2,2,1.000,3,1,4,0,0,2,0,0,6,7.8,+9,goberru01
Anthony Edwards,10:01,1,5,.200,0,4,.000,0,0,,1,1,2,1,1,1,2,0,2,0.3,+9,edwaran01
Jaden McDaniels,8:38,0,1,.000,0,1,.000,2,2,1.000,0,3,3,2,1,1,0,0,2,5.3,+5,mcdanja02
Julius Randle,8:38,2,4,.500,1,3,.333,2,2,1.000,1,2,3,2,0,0,1,1,7,6.3,+5,randlju01
Mike Conley,6:12,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,1.7,+6,conlemi01
Naz Reid,5:48,2,2,1.000,2,2,1.000,0,0,,0,0,0,1,0,0,1,1,6,4.7,+2,reidna01
Nickeil Alexander-Walker,5:48,1,3,.333,1,3,.333,0,0,,0,2,2,0,0,0,0,0,3,1.9,+2,alexani01
Rob Dillingham,3:22,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.8,+3,dilliro01
Josh Minott,1:59,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,-1,minotjo01
Jaylen Clark,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,clarkja02
Luka Garza,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,garzalu01
Joe Ingles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,inglejo01
Leonard Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,millele01
Team Totals,60,9,25,.360,4,15,.267,6,6,1.000,7,11,18,6,2,4,4,2,28,,,-9999
