Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Shai Gilgeous-Alexander,12:00,4,5,.800,0,0,,0,0,,0,2,2,3,0,0,1,0,8,7.8,+17,gilgesh01
Jalen Williams,7:01,1,3,.333,1,1,1.000,0,0,,0,2,2,3,0,0,1,0,3,3.0,+14,willija06
Luguentz Dort,8:44,2,4,.500,2,3,.667,0,0,,0,1,1,1,1,0,0,0,6,6.0,+11,dortlu01
Cason Wallace,6:12,1,2,.500,0,0,,0,0,,0,0,0,1,2,0,0,1,2,3.3,+16,wallaca01
Chet Holmgren,7:01,2,3,.667,0,1,.000,1,2,.500,0,2,2,2,0,0,0,0,5,5.3,+14,holmgch01
Isaiah Hartenstein,4:59,1,1,1.000,0,0,,0,0,,1,0,1,2,0,0,0,1,2,3.4,+3,harteis01
Aaron Wiggins,3:16,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+6,wiggiaa01
Kenrich Williams,4:36,2,2,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,0,1,5,5.3,0,willike04
Jaylin Williams,,,,,,,,,,,,,,,,,,,,,,-9999
Isaiah Joe,6:11,3,6,.500,3,6,.500,0,0,,0,0,0,0,0,0,0,1,9,5.6,+4,joeis01
Adam Flagler,,,,,,,,,,,,,,,,,,,,,,-9999
Ousmane Dieng,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,diengou01
Team Totals,60,16,26,.615,7,12,.583,1,2,.500,1,9,10,14,3,0,2,4,40,,,-9999
