Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Bobby Portis,8:02,4,7,.571,0,1,.000,0,0,,1,5,6,1,0,1,0,0,8,8.3,+2,portibo01
Damian Lillard,9:42,2,6,.333,2,4,.500,3,3,1.000,0,2,2,1,0,0,2,1,9,4.5,-7,lillada01
Brook Lopez,9:42,1,6,.167,0,2,.000,0,0,,0,1,1,1,0,0,0,1,2,-1.2,-7,lopezbr01
Taurean Prince,7:57,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,-3,princta02
Andre Jackson Jr.,5:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5,jacksan01
Gary Trent Jr.,4:03,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-7,trentga02
Kyle Kuzma,6:16,2,3,.667,1,2,.500,0,0,,0,2,2,0,0,0,1,0,5,3.3,-15,kuzmaky01
A.J. Green,6:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-15,greenaj01
Ryan Rollins,2:18,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-3,rolliry01
Chris Livingston,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,livinch01
Jericho Sims,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,simsje01
Tyler Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,smithty02
Stanley Umude,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,umudest01
Team Totals,60,10,26,.385,3,10,.300,3,3,1.000,1,11,12,5,0,1,3,3,26,,,-9999
