Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,27-364,BOS,,NYK,W (+23),1,29:54,7,18,.389,5,9,.556,4,4,1.000,2,5,7,1,1,0,1,3,23,15.6,+23
2,2,2024-10-24,28-000,BOS,@,WAS,W (+20),1,30:18,10,20,.500,3,6,.500,4,5,.800,1,7,8,3,4,0,2,1,27,23.1,+22
3,3,2024-10-26,28-002,BOS,@,DET,W (+6),1,38:09,6,24,.250,3,9,.333,9,10,.900,3,7,10,5,1,0,2,2,24,15.1,+11
4,4,2024-10-28,28-004,BOS,,MIL,W (+11),1,38:00,10,19,.526,0,4,.000,10,14,.714,1,5,6,4,0,0,4,2,30,19.3,+8
5,5,2024-10-30,28-006,BOS,@,IND,L (-3),1,43:08,11,30,.367,1,11,.091,2,4,.500,0,6,6,5,2,2,3,4,25,11.7,-13
6,6,2024-11-01,28-008,BOS,@,CHO,W (+15),1,36:30,8,19,.421,0,6,.000,9,10,.900,3,3,6,5,1,1,1,3,25,20.5,+11
7,,2024-11-02,28-009,BOS,@,CHO,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2024-11-04,28-011,BOS,@,ATL,W (+30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2024-11-06,28-013,BOS,,GSW,L (-6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
10,,2024-11-08,28-015,BOS,,BRK,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
