Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,34-132,BOS,,NYK,W (+23),1,30:31,7,9,.778,4,6,.667,0,0,,2,2,4,4,1,0,0,2,18,19.5,+23
2,2,2024-10-24,34-134,BOS,@,WAS,W (+20),1,22:45,1,4,.250,0,1,.000,5,5,1.000,0,2,2,1,0,0,2,3,7,2.7,+14
3,3,2024-10-26,34-136,BOS,@,DET,W (+6),1,35:39,2,5,.400,2,3,.667,1,2,.500,1,2,3,4,0,1,3,2,7,4.9,-2
4,4,2024-10-28,34-138,BOS,,MIL,W (+11),1,32:43,7,12,.583,4,7,.571,3,3,1.000,0,4,4,3,0,0,1,2,21,16.9,+6
5,5,2024-10-30,34-140,BOS,@,IND,L (-3),1,24:40,3,9,.333,1,3,.333,1,2,.500,1,2,3,4,0,0,3,2,8,2.8,-19
6,6,2024-11-01,34-142,BOS,@,CHO,W (+15),1,31:57,5,12,.417,3,6,.500,1,2,.500,0,5,5,1,1,0,0,2,14,9.6,+6
7,7,2024-11-02,34-143,BOS,@,CHO,W (+10),1,35:19,5,12,.417,3,7,.429,0,0,,0,5,5,6,0,0,3,0,13,9.3,+11
8,8,2024-11-04,34-145,BOS,@,ATL,W (+30),1,23:30,7,11,.636,2,6,.333,0,0,,0,3,3,2,0,1,1,0,16,13.1,+20
9,9,2024-11-06,34-147,BOS,,GSW,L (-6),1,32:34,3,11,.273,0,6,.000,0,0,,1,8,9,8,0,0,1,1,6,6.8,-11
10,10,2024-11-08,34-149,BOS,,BRK,W (+4),1,36:56,8,14,.571,0,4,.000,1,1,1.000,0,2,2,5,0,0,3,0,17,11.5,+3
11,11,2024-11-10,34-151,BOS,@,MIL,W (+6),1,32:44,5,11,.455,3,8,.375,2,2,1.000,2,0,2,3,2,0,0,2,15,14.0,+15
12,12,2024-11-12,34-153,BOS,,ATL,L (-1),1,29:00,2,5,.400,0,3,.000,4,4,1.000,1,2,3,7,0,0,2,0,8,9.5,+3
13,13,2024-11-13,34-154,BOS,@,BRK,W (+25),1,31:33,6,11,.545,2,6,.333,2,2,1.000,3,3,6,4,3,1,2,0,16,18.2,+18
14,,2024-11-16,34-157,BOS,,TOR,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
15,14,2024-11-19,34-160,BOS,,CLE,W (+3),1,27:56,4,7,.571,3,4,.750,0,0,,1,4,5,4,0,0,1,2,11,10.6,+3
16,15,2024-11-22,34-163,BOS,@,WAS,W (+12),1,28:57,3,6,.500,2,5,.400,8,8,1.000,1,4,5,1,4,1,2,2,16,17.5,+10
17,16,2024-11-24,34-165,BOS,,MIN,W (+2),1,36:31,3,10,.300,1,6,.167,2,2,1.000,1,3,4,3,1,1,1,2,9,6.8,-4
18,17,2024-11-25,34-166,BOS,,LAC,W (+32),1,29:03,2,10,.200,1,8,.125,0,0,,1,3,4,6,0,0,1,1,5,3.2,+13
19,18,2024-11-29,34-170,BOS,@,CHI,W (+9),1,35:43,5,11,.455,1,4,.250,0,0,,3,5,8,4,1,1,2,2,11,10.6,+6
20,19,2024-12-01,34-172,BOS,@,CLE,L (-4),1,33:53,2,9,.222,0,3,.000,0,0,,2,1,3,5,2,0,3,1,4,2.3,-11
21,,2024-12-02,34-173,BOS,,MIA,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2024-12-04,34-175,BOS,,DET,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,20,2024-12-06,34-177,BOS,,MIL,W (+6),1,34:06,7,14,.500,4,9,.444,2,2,1.000,1,4,5,6,1,1,0,4,20,19.2,+4
24,21,2024-12-07,34-178,BOS,,MEM,L (-6),1,30:05,8,26,.308,4,17,.235,3,4,.750,3,1,4,3,0,1,0,1,23,12.4,-12
25,22,2024-12-12,34-183,BOS,,DET,W (+24),1,25:00,4,8,.500,2,4,.500,2,2,1.000,2,5,7,6,0,0,1,1,12,13.7,+17
