Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,25-101,BOS,,NYK,W (+23),0,4:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
2,2,2024-10-24,25-103,BOS,@,WAS,W (+20),0,13:38,5,7,.714,0,1,.000,2,2,1.000,4,3,7,0,0,0,1,4,12,10.2,+6
3,,2024-10-26,25-105,BOS,@,DET,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,3,2024-10-28,25-107,BOS,,MIL,W (+11),0,1:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
5,4,2024-10-30,25-109,BOS,@,IND,L (-3),0,13:39,1,2,.500,0,0,,0,0,,4,5,9,1,0,1,0,0,2,6.7,+18
6,5,2024-11-01,25-111,BOS,@,CHO,W (+15),0,24:29,6,6,1.000,0,0,,0,0,,4,2,6,1,0,0,2,2,12,11.5,-1
7,6,2024-11-02,25-112,BOS,@,CHO,W (+10),0,15:28,2,4,.500,0,0,,0,0,,0,3,3,1,0,0,0,3,4,2.4,+3
8,7,2024-11-04,25-114,BOS,@,ATL,W (+30),1,23:11,4,7,.571,0,0,,2,2,1.000,2,5,7,0,1,1,0,2,10,10.5,+31
9,8,2024-11-06,25-116,BOS,,GSW,L (-6),1,28:08,6,11,.545,0,0,,2,4,.500,5,3,8,0,0,2,1,2,14,11.9,+13
10,9,2024-11-08,25-118,BOS,,BRK,W (+4),0,26:33,1,2,.500,0,0,,1,2,.500,1,9,10,2,0,3,2,2,3,5.7,+7
11,10,2024-11-10,25-120,BOS,@,MIL,W (+6),0,20:35,3,6,.500,0,0,,2,2,1.000,1,6,7,0,1,0,1,1,8,7.1,-1
12,11,2024-11-12,25-122,BOS,,ATL,L (-1),0,21:01,0,0,,0,0,,0,0,,2,3,5,0,0,2,1,1,0,2.3,-6
13,12,2024-11-13,25-123,BOS,@,BRK,W (+25),1,21:16,4,4,1.000,0,0,,0,0,,0,1,1,1,0,1,0,4,8,6.9,+19
14,13,2024-11-16,25-126,BOS,,TOR,W (+3),1,33:06,6,8,.750,0,1,.000,0,0,,4,4,8,2,0,1,0,2,12,14.1,-5
15,14,2024-11-19,25-129,BOS,,CLE,W (+3),0,16:24,2,5,.400,0,0,,1,2,.500,3,1,4,2,0,0,3,3,5,1.5,-15
16,15,2024-11-22,25-132,BOS,@,WAS,W (+12),1,18:18,1,3,.333,0,0,,5,6,.833,0,2,2,0,0,1,0,4,7,4.6,-10
17,,2024-11-24,25-134,BOS,,MIN,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,16,2024-11-25,25-135,BOS,,LAC,W (+32),0,25:17,5,6,.833,0,0,,2,2,1.000,2,7,9,3,2,4,1,3,12,18.0,+29
19,17,2024-11-29,25-139,BOS,@,CHI,W (+9),0,6:35,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,0,0,1.7,+7
20,,2024-12-01,25-141,BOS,@,CLE,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,18,2024-12-02,25-142,BOS,,MIA,W (+19),0,14:31,2,3,.667,0,0,,0,0,,2,5,7,0,0,2,0,4,4,5.4,+2
22,,2024-12-04,25-144,BOS,,DET,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,19,2024-12-06,25-146,BOS,,MIL,W (+6),0,11:35,1,1,1.000,0,0,,0,0,,1,1,2,0,0,1,0,1,2,3.0,+2
24,20,2024-12-07,25-147,BOS,,MEM,L (-6),0,17:25,2,3,.667,0,0,,1,2,.500,1,6,7,1,0,1,1,3,5,5.0,+3
25,21,2024-12-12,25-152,BOS,,DET,W (+24),0,18:03,2,3,.667,0,0,,0,0,,0,2,2,1,1,1,2,3,4,2.5,-6
26,22,2024-12-15,25-155,BOS,@,WAS,W (+14),0,9:50,0,2,.000,0,0,,0,0,,1,1,2,1,2,1,2,2,0,0.2,-4
27,23,2024-12-19,25-159,BOS,,CHI,L (-9),0,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
28,,2024-12-21,25-161,BOS,@,CHI,W (+25),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,,2024-12-23,25-163,BOS,@,ORL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,24,2024-12-25,25-165,BOS,,PHI,L (-4),0,7:53,1,2,.500,0,0,,0,0,,1,4,5,0,0,0,0,1,2,2.5,-1
31,25,2024-12-27,25-167,BOS,,IND,W (+37),0,9:13,2,3,.667,0,0,,2,3,.667,2,0,2,0,0,1,1,2,6,4.6,+3
32,26,2024-12-29,25-169,BOS,,IND,L (-9),0,5:11,2,2,1.000,0,0,,2,3,.667,2,1,3,1,0,0,0,2,6,6.6,+3
33,27,2024-12-31,25-171,BOS,,TOR,W (+54),0,18:38,4,5,.800,0,0,,0,0,,3,1,4,0,1,2,0,1,8,10.5,+16
34,28,2025-01-02,25-173,BOS,@,MIN,W (+3),0,21:30,4,5,.800,0,0,,0,0,,3,2,5,0,1,0,1,1,8,8.4,+17
35,29,2025-01-03,25-174,BOS,@,HOU,W (+23),0,19:31,2,3,.667,0,0,,1,2,.500,1,1,2,1,0,0,1,4,5,2.4,+1
36,,2025-01-05,25-176,BOS,@,OKC,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,30,2025-01-07,25-178,BOS,@,DEN,W (+12),0,7:53,4,5,.800,0,0,,0,0,,0,0,0,0,1,0,0,1,8,6.7,-10
38,31,2025-01-10,25-181,BOS,,SAC,L (-17),0,2:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
39,,2025-01-12,25-183,BOS,,NOP,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,32,2025-01-15,25-186,BOS,@,TOR,L (-13),0,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
41,33,2025-01-17,25-188,BOS,,ORL,W (+27),0,11:11,3,3,1.000,0,0,,1,2,.500,0,3,3,1,0,0,1,3,7,5.1,+1
42,34,2025-01-18,25-189,BOS,,ATL,L (-4),0,21:40,0,0,,0,0,,2,2,1.000,1,3,4,0,1,2,1,4,2,3.4,+1
43,35,2025-01-20,25-191,BOS,@,GSW,W (+40),0,6:22,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3,1.6,+2
44,36,2025-01-22,25-193,BOS,@,LAC,W (+4),0,22:39,5,7,.714,0,0,,1,2,.500,2,2,4,1,0,0,1,2,11,8.6,-12
45,37,2025-01-23,25-194,BOS,@,LAL,L (-21),0,8:53,2,3,.667,0,0,,2,2,1.000,1,0,1,3,2,1,0,0,6,10.2,+4
46,,2025-01-25,25-196,BOS,@,DAL,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,38,2025-01-27,25-198,BOS,,HOU,L (-2),0,18:57,1,2,.500,0,0,,2,2,1.000,1,4,5,1,0,0,2,2,4,2.8,0
48,39,2025-01-29,25-200,BOS,,CHI,W (+22),0,1:43,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+1
49,,2025-01-31,25-202,BOS,@,NOP,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,,2025-02-02,25-204,BOS,@,PHI,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,,2025-02-04,25-206,BOS,@,CLE,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,40,2025-02-06,25-208,BOS,,DAL,L (-7),0,9:35,3,6,.500,0,0,,0,0,,2,0,2,1,0,0,0,1,6,4.7,+17
53,41,2025-02-08,25-210,BOS,@,NYK,W (+27),0,26:21,4,7,.571,0,0,,3,4,.750,3,5,8,0,1,1,1,4,11,10.0,+12
54,42,2025-02-10,25-212,BOS,@,MIA,W (+18),0,6:08,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,4,2.3,+4
55,43,2025-02-12,25-214,BOS,,SAS,W (+13),0,0:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
56,44,2025-02-20,25-222,BOS,@,PHI,W (+20),0,4:50,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5,-6
57,,2025-02-23,25-225,BOS,,NYK,W (+13),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
58,45,2025-02-25,25-227,BOS,@,TOR,W (+10),0,19:42,4,6,.667,0,0,,0,0,,2,3,5,0,0,1,0,5,8,6.4,-1
59,46,2025-02-26,25-228,BOS,@,DET,L (-20),0,11:05,0,0,,0,0,,0,0,,0,1,1,1,1,0,1,1,0,0.6,-2
60,,2025-02-28,25-230,BOS,,CLE,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,47,2025-03-02,25-232,BOS,,DEN,W (+7),0,16:41,4,5,.800,0,0,,0,0,,3,7,10,1,0,0,0,4,8,9.4,+11
62,48,2025-03-05,25-235,BOS,,POR,W (+10),0,11:18,2,5,.400,0,1,.000,0,0,,3,1,4,0,0,1,0,0,4,4.4,-4
63,49,2025-03-06,25-236,BOS,,PHI,W (+18),1,24:04,4,10,.400,0,0,,0,0,,4,5,9,4,0,2,2,2,8,8.3,+7
64,,2025-03-08,25-238,BOS,,LAL,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
