Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,26-268,BOS,,NYK,W (+23),0,24:58,1,10,.100,1,9,.111,0,0,,1,3,4,4,0,0,1,2,3,-1.0,+7
2,2,2024-10-24,26-270,BOS,@,WAS,W (+20),0,27:57,5,11,.455,5,10,.500,0,0,,0,1,1,2,0,0,0,1,15,10.6,+11
3,3,2024-10-26,26-272,BOS,@,DET,W (+6),0,19:17,5,8,.625,5,7,.714,4,4,1.000,0,2,2,0,1,0,0,1,19,16.6,-5
4,4,2024-10-28,26-274,BOS,,MIL,W (+11),0,27:41,10,14,.714,8,12,.667,0,0,,2,3,5,3,2,0,2,2,28,25.8,+12
5,5,2024-10-30,26-276,BOS,@,IND,L (-3),0,38:34,5,14,.357,4,11,.364,2,2,1.000,2,2,4,4,1,0,1,2,16,12.2,+8
6,6,2024-11-01,26-278,BOS,@,CHO,W (+15),0,27:50,1,6,.167,0,5,.000,5,6,.833,0,2,2,3,5,0,1,0,7,9.5,+13
7,7,2024-11-02,26-279,BOS,@,CHO,W (+10),0,29:06,8,15,.533,6,12,.500,0,0,,1,2,3,2,0,0,1,3,22,15.2,+7
8,8,2024-11-04,26-281,BOS,@,ATL,W (+30),0,25:29,7,12,.583,3,8,.375,1,1,1.000,0,3,3,4,1,0,3,1,18,13.7,+21
9,9,2024-11-06,26-283,BOS,,GSW,L (-6),0,32:10,5,13,.385,3,11,.273,3,3,1.000,2,1,3,3,0,0,2,4,16,9.1,-8
10,10,2024-11-08,26-285,BOS,,BRK,W (+4),0,33:38,6,11,.545,3,7,.429,5,5,1.000,0,1,1,0,1,0,1,2,20,14.2,+11
11,11,2024-11-10,26-287,BOS,@,MIL,W (+6),0,22:50,6,10,.600,5,8,.625,1,1,1.000,1,0,1,3,0,0,3,1,18,12.8,-8
12,12,2024-11-12,26-289,BOS,,ATL,L (-1),0,25:17,2,8,.250,2,8,.250,0,0,,0,1,1,2,3,0,1,2,6,4.1,-9
13,13,2024-11-13,26-290,BOS,@,BRK,W (+25),0,36:13,8,13,.615,5,9,.556,2,4,.500,2,4,6,8,2,1,1,3,23,25.0,+14
14,14,2024-11-16,26-293,BOS,,TOR,W (+3),0,23:53,2,8,.250,2,7,.286,0,0,,0,0,0,1,0,0,0,2,6,1.1,+6
15,15,2024-11-19,26-296,BOS,,CLE,W (+3),0,25:43,5,9,.556,3,6,.500,0,0,,1,1,2,3,1,0,0,2,13,12.0,-14
16,16,2024-11-22,26-299,BOS,@,WAS,W (+12),0,22:33,3,6,.500,1,3,.333,2,3,.667,1,1,2,4,1,0,0,2,9,9.6,0
