Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,26-319,BOS,,NYK,W (+23),0,24:10,4,10,.400,2,7,.286,0,0,,1,4,5,1,0,0,0,2,10,6.4,+6
2,,2024-10-24,26-321,BOS,@,WAS,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-26,26-323,BOS,@,DET,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2024-10-28,26-325,BOS,,MIL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2,2024-10-30,26-327,BOS,@,IND,L (-3),0,13:50,2,6,.333,1,4,.250,0,0,,0,2,2,1,1,1,1,0,5,3.6,+12
6,3,2024-11-01,26-329,BOS,@,CHO,W (+15),0,17:31,2,3,.667,2,3,.667,0,0,,1,4,5,2,0,0,1,0,6,7.0,-8
7,4,2024-11-02,26-330,BOS,@,CHO,W (+10),0,19:39,3,7,.429,2,6,.333,0,0,,3,4,7,1,0,0,0,1,8,7.9,+5
8,5,2024-11-04,26-332,BOS,@,ATL,W (+30),0,19:30,4,11,.364,2,8,.250,0,0,,1,1,2,1,1,0,1,1,10,5.2,+8
9,6,2024-11-06,26-334,BOS,,GSW,L (-6),0,21:47,2,5,.400,2,5,.400,0,0,,0,5,5,1,0,0,0,1,6,5.1,+4
10,7,2024-11-08,26-336,BOS,,BRK,W (+4),0,35:13,3,11,.273,2,10,.200,0,0,,1,3,4,3,3,0,0,1,8,7.8,+15
11,8,2024-11-10,26-338,BOS,@,MIL,W (+6),0,12:29,1,6,.167,1,5,.200,0,0,,1,0,1,1,1,0,0,2,3,0.8,0
12,9,2024-11-12,26-340,BOS,,ATL,L (-1),0,19:06,2,3,.667,2,3,.667,0,0,,0,2,2,0,0,1,1,0,6,5.0,-3
13,10,2024-11-13,26-341,BOS,@,BRK,W (+25),0,25:37,4,10,.400,4,10,.400,0,0,,1,5,6,1,0,1,0,0,12,10.2,+10
14,11,2024-11-16,26-344,BOS,,TOR,W (+3),0,25:24,5,12,.417,3,10,.300,1,1,1.000,0,0,0,1,0,1,0,2,14,8.2,+8
15,12,2024-11-19,26-347,BOS,,CLE,W (+3),0,21:01,1,3,.333,0,2,.000,0,0,,0,3,3,2,0,0,0,0,2,2.6,-13
16,13,2024-11-22,26-350,BOS,@,WAS,W (+12),0,21:50,5,7,.714,3,5,.600,0,0,,0,3,3,0,3,0,1,2,13,12.2,+11
17,14,2024-11-24,26-352,BOS,,MIN,W (+2),0,20:21,2,7,.286,1,5,.200,0,0,,3,2,5,2,0,0,0,2,5,4.2,+1
18,15,2024-11-25,26-353,BOS,,LAC,W (+32),0,23:00,3,3,1.000,3,3,1.000,0,0,,0,2,2,0,0,0,0,0,9,8.7,+27
19,16,2024-11-29,26-357,BOS,@,CHI,W (+9),0,21:59,1,5,.200,1,5,.200,0,0,,0,3,3,1,2,0,1,2,3,1.7,+3
20,17,2024-12-01,26-359,BOS,@,CLE,L (-4),1,36:04,5,8,.625,3,6,.500,0,0,,2,3,5,2,3,0,1,6,13,12.7,+3
21,,2024-12-02,26-360,BOS,,MIA,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,18,2024-12-04,26-362,BOS,,DET,W (+10),1,30:40,7,12,.583,5,10,.500,1,1,1.000,1,2,3,0,1,0,1,1,20,15.3,+13
23,19,2024-12-06,26-364,BOS,,MIL,W (+6),0,24:29,6,10,.600,4,8,.500,0,0,,1,2,3,1,1,1,0,2,16,14.3,-7
24,20,2024-12-07,26-365,BOS,,MEM,L (-6),0,9:06,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,+3
25,,2024-12-12,27-004,BOS,,DET,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,21,2024-12-15,27-007,BOS,@,WAS,W (+14),0,28:15,4,10,.400,4,9,.444,0,0,,2,5,7,1,2,0,0,0,12,12.2,+27
27,,2024-12-19,27-011,BOS,,CHI,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
