Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,25-284,BOS,,NYK,W (+23),0,17:42,1,6,.167,0,3,.000,0,0,,3,4,7,2,0,0,0,1,2,2.5,-3
2,2,2024-10-24,25-286,BOS,@,WAS,W (+20),0,15:26,3,4,.750,2,3,.667,0,0,,0,1,1,1,0,0,1,1,8,6.0,+15
3,3,2024-10-26,25-288,BOS,@,DET,W (+6),0,18:07,1,2,.500,1,2,.500,0,0,,1,2,3,1,2,0,1,2,3,4.2,+2
4,4,2024-10-28,25-290,BOS,,MIL,W (+11),0,14:58,0,3,.000,0,1,.000,0,0,,0,3,3,0,0,0,1,2,0,-3.0,+10
5,5,2024-10-30,25-292,BOS,@,IND,L (-3),0,7:38,0,3,.000,0,1,.000,0,0,,1,1,2,0,1,0,0,0,0,-0.1,+2
6,,2024-11-01,25-294,BOS,@,CHO,W (+15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,6,2024-11-02,25-295,BOS,@,CHO,W (+10),0,2:56,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
8,7,2024-11-04,25-297,BOS,@,ATL,W (+30),0,9:09,1,2,.500,0,1,.000,0,0,,1,2,3,2,0,0,0,0,2,3.7,-3
9,,2024-11-06,25-299,BOS,,GSW,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,8,2024-11-08,25-301,BOS,,BRK,W (+4),1,5:52,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-14
11,9,2024-11-10,25-303,BOS,@,MIL,W (+6),0,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
12,,2024-11-12,25-305,BOS,,ATL,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,10,2024-11-13,25-306,BOS,@,BRK,W (+25),0,1:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
14,,2024-11-16,25-309,BOS,,TOR,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,2024-11-19,25-312,BOS,,CLE,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,11,2024-11-22,25-315,BOS,@,WAS,W (+12),0,8:37,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,2,0,1,0,0.2,+2
17,12,2024-11-24,25-317,BOS,,MIN,W (+2),0,14:18,1,2,.500,0,0,,1,2,.500,0,4,4,0,0,1,0,4,3,1.9,-1
18,13,2024-11-25,25-318,BOS,,LAC,W (+32),0,4:33,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+4
19,,2024-11-29,25-322,BOS,@,CHI,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,,2024-12-01,25-324,BOS,@,CLE,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,14,2024-12-02,25-325,BOS,,MIA,W (+19),0,11:07,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-0.4,+2
22,15,2024-12-04,25-327,BOS,,DET,W (+10),0,8:13,0,0,,0,0,,0,0,,0,2,2,0,1,0,1,0,0,0.6,+3
23,,2024-12-06,25-329,BOS,,MIL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,,2024-12-07,25-330,BOS,,MEM,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,16,2024-12-12,25-335,BOS,,DET,W (+24),0,3:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
26,17,2024-12-15,25-338,BOS,@,WAS,W (+14),0,2:22,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-1.1,-7
27,,2024-12-19,25-342,BOS,,CHI,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
28,18,2024-12-21,25-344,BOS,@,CHI,W (+25),0,4:18,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,0
29,,2024-12-23,25-346,BOS,@,ORL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,,2024-12-25,25-348,BOS,,PHI,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,19,2024-12-27,25-350,BOS,,IND,W (+37),0,5:00,2,4,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,5,3.3,+2
32,20,2024-12-29,25-352,BOS,,IND,L (-9),0,2:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+6
33,21,2024-12-31,25-354,BOS,,TOR,W (+54),0,9:04,1,1,1.000,0,0,,0,0,,0,0,0,0,2,1,0,0,2,4.4,+10
