Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,23-354,BRK,@,ATL,L (-4),0,33:58,3,7,.429,2,5,.400,8,8,1.000,1,3,4,1,0,0,1,5,16,11.6,+4
2,2,2024-10-25,23-356,BRK,@,ORL,L (-15),0,13:10,0,3,.000,0,2,.000,0,0,,0,1,1,2,1,0,2,4,0,-3.0,-17
3,3,2024-10-27,23-358,BRK,,MIL,W (+13),0,14:19,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,0,2,2,2.6,+5
4,4,2024-10-29,23-360,BRK,,DEN,L (-5),0,20:58,3,6,.500,2,5,.400,3,3,1.000,2,4,6,2,1,0,0,2,11,12.2,+8
5,5,2024-10-30,23-361,BRK,@,MEM,W (+13),0,26:51,5,7,.714,1,3,.333,1,2,.500,3,4,7,2,0,0,2,1,12,11.0,+25
6,6,2024-11-01,23-363,BRK,,CHI,W (+8),0,22:17,3,8,.375,1,5,.200,0,0,,0,1,1,3,1,0,2,1,7,3.6,+8
7,7,2024-11-03,23-365,BRK,,DET,L (-14),0,21:49,3,6,.500,1,1,1.000,1,2,.500,1,2,3,2,0,0,0,0,8,7.3,+4
8,8,2024-11-04,24-000,BRK,,MEM,W (+2),0,28:20,5,12,.417,0,6,.000,3,4,.750,1,5,6,4,0,0,0,2,13,10.4,0
9,9,2024-11-08,24-004,BRK,@,BOS,L (-4),0,24:39,3,10,.300,0,4,.000,2,2,1.000,1,1,2,1,0,0,1,1,8,2.5,-1
10,10,2024-11-09,24-005,BRK,@,CLE,L (-5),0,10:01,1,3,.333,0,2,.000,0,0,,2,1,3,1,0,0,2,1,2,0.3,-11
11,11,2024-11-11,24-007,BRK,@,NOP,W (+2),0,23:25,3,10,.300,1,4,.250,3,3,1.000,1,0,1,2,0,0,1,3,10,4.1,-4
12,12,2024-11-13,24-009,BRK,,BOS,L (-25),0,22:14,4,5,.800,1,1,1.000,2,2,1.000,1,4,5,4,1,0,1,2,11,13.0,-5
13,13,2024-11-15,24-011,BRK,@,NYK,L (-2),0,16:07,2,6,.333,2,4,.500,0,0,,0,2,2,1,0,0,0,3,6,2.7,-11
14,14,2024-11-17,24-013,BRK,@,NYK,L (-10),0,25:19,5,7,.714,3,5,.600,2,3,.667,2,4,6,0,0,0,1,2,15,12.5,-2
15,15,2024-11-19,24-015,BRK,,CHO,W (+1),1,34:16,6,13,.462,5,8,.625,0,0,,1,0,1,0,1,0,2,3,17,8.8,+6
16,16,2024-11-22,24-018,BRK,@,PHI,L (-15),0,20:38,3,7,.429,0,3,.000,0,0,,4,2,6,1,0,0,0,0,6,6.4,-9
17,17,2024-11-24,24-020,BRK,@,SAC,W (+5),0,33:10,2,4,.500,2,3,.667,1,2,.500,2,2,4,2,0,0,1,4,7,5.4,+4
18,18,2024-11-25,24-021,BRK,@,GSW,W (+8),1,40:51,5,11,.455,3,8,.375,5,5,1.000,0,7,7,2,0,1,1,2,18,14.7,+18
19,,2024-11-27,24-023,BRK,@,PHO,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
20,19,2024-11-29,24-025,BRK,,ORL,L (-23),1,31:19,4,6,.667,3,3,1.000,0,0,,0,2,2,1,0,0,1,2,11,7.9,-30
21,20,2024-12-01,24-027,BRK,,ORL,L (-8),1,21:33,1,2,.500,1,2,.500,2,2,1.000,0,3,3,0,1,0,1,5,5,2.9,-5
22,21,2024-12-02,24-028,BRK,@,CHI,L (-26),1,25:52,1,5,.200,0,3,.000,0,0,,0,6,6,0,0,0,1,5,2,-2.3,-9
23,22,2024-12-04,24-030,BRK,,IND,W (+9),1,37:56,4,11,.364,1,5,.200,2,2,1.000,1,2,3,3,2,0,0,0,11,10.3,0
24,23,2024-12-08,24-034,BRK,,MIL,L (-5),0,26:08,1,8,.125,1,5,.200,0,0,,1,1,2,3,0,0,0,3,3,-0.3,-9
25,24,2024-12-13,24-039,BRK,@,MEM,L (-16),0,28:47,5,13,.385,3,8,.375,2,3,.667,0,2,2,4,2,0,2,2,15,10.1,-2
26,25,2024-12-16,24-042,BRK,,CLE,L (-29),0,29:15,4,11,.364,4,8,.500,1,2,.500,0,1,1,2,2,0,1,3,13,8.0,-14
27,26,2024-12-19,24-045,BRK,@,TOR,W (+7),0,27:24,1,11,.091,0,7,.000,4,5,.800,2,0,2,1,2,0,0,1,6,2.0,-8
28,27,2024-12-21,24-047,BRK,,UTA,L (-11),0,22:45,3,9,.333,1,5,.200,2,2,1.000,1,6,7,2,1,0,2,1,9,6.4,-5
29,28,2024-12-23,24-049,BRK,@,MIA,L (-15),0,29:59,3,10,.300,0,3,.000,2,3,.667,1,2,3,1,0,0,1,1,8,2.4,-13
30,29,2024-12-26,24-052,BRK,@,MIL,W (+6),0,31:38,2,7,.286,0,4,.000,0,0,,1,3,4,5,0,0,1,1,4,3.6,+6
31,30,2024-12-27,24-053,BRK,,SAS,L (-9),1,39:23,4,13,.308,3,6,.500,0,0,,0,2,2,3,0,0,2,4,11,2.6,-12
32,31,2024-12-29,24-055,BRK,@,ORL,L (-1),0,31:09,4,5,.800,4,5,.800,4,4,1.000,0,1,1,1,1,0,1,4,16,13.5,+5
33,32,2025-01-01,24-058,BRK,@,TOR,L (-17),0,31:29,3,11,.273,1,5,.200,3,3,1.000,1,0,1,0,0,0,1,3,10,2.0,-10
34,33,2025-01-02,24-059,BRK,@,MIL,W (+3),1,36:59,6,13,.462,1,4,.250,0,0,,2,2,4,1,2,0,2,3,13,7.8,-21
35,34,2025-01-04,24-061,BRK,,PHI,L (-29),1,33:03,4,11,.364,3,8,.375,0,0,,1,3,4,0,0,0,3,6,11,1.1,-20
36,35,2025-01-06,24-063,BRK,,IND,L (-14),0,30:57,4,11,.364,0,4,.000,0,0,,4,0,4,3,0,0,1,1,8,5.4,-1
37,36,2025-01-08,24-065,BRK,,DET,L (-15),0,31:38,2,7,.286,1,6,.167,2,2,1.000,1,1,2,2,1,0,2,0,7,4.3,-1
38,37,2025-01-10,24-067,BRK,@,DEN,L (-19),0,16:53,0,5,.000,0,4,.000,0,0,,0,3,3,1,0,0,3,5,0,-6.9,-18
39,38,2025-01-12,24-069,BRK,@,UTA,L (-1),0,24:09,2,7,.286,1,5,.200,2,2,1.000,0,3,3,1,1,1,1,1,7,4.8,-7
40,39,2025-01-14,24-071,BRK,@,POR,W (+18),0,22:30,6,8,.750,2,3,.667,0,0,,2,2,4,1,1,0,0,3,14,13.3,+11
41,40,2025-01-15,24-072,BRK,@,LAC,L (-59),0,33:38,5,10,.500,1,4,.250,5,5,1.000,0,3,3,1,0,0,1,4,16,10.0,-35
42,41,2025-01-17,24-074,BRK,@,LAL,L (-1),0,26:30,4,8,.500,3,4,.750,0,0,,3,2,5,2,0,0,1,1,11,9.7,-9
43,42,2025-01-19,24-076,BRK,@,OKC,L (-26),0,24:12,3,13,.231,2,7,.286,0,0,,0,3,3,2,0,0,0,0,8,2.4,-13
44,43,2025-01-21,24-078,BRK,,NYK,L (-4),0,28:01,1,5,.200,0,3,.000,1,4,.250,1,4,5,2,0,0,3,3,3,-2.2,+5
45,44,2025-01-22,24-079,BRK,,PHO,L (-24),1,33:49,5,12,.417,1,8,.125,4,4,1.000,1,3,4,3,1,0,2,0,15,11.3,-10
46,45,2025-01-25,24-082,BRK,,MIA,L (-9),1,35:45,4,10,.400,2,5,.400,2,4,.500,4,5,9,8,2,0,3,2,12,13.9,+2
