Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,25-189,BRK,@,ATL,L (-4),0,15:25,3,4,.750,0,0,,1,4,.250,0,5,5,0,1,1,0,3,7,6.2,+7
2,2,2024-10-25,25-191,BRK,@,ORL,L (-15),0,20:26,1,4,.250,0,0,,2,2,1.000,1,4,5,3,1,1,1,1,4,5.9,+11
3,3,2024-10-27,25-193,BRK,,MIL,W (+13),0,21:47,5,6,.833,0,0,,0,0,,5,6,11,1,0,2,1,4,10,12.6,+23
4,4,2024-10-29,25-195,BRK,,DEN,L (-5),0,26:08,8,9,.889,0,0,,0,0,,2,10,12,2,0,3,0,6,16,18.4,-10
5,,2024-10-30,25-196,BRK,@,MEM,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5,2024-11-01,25-198,BRK,,CHI,W (+8),0,24:28,6,8,.750,0,0,,0,0,,4,5,9,2,1,0,1,4,12,12.9,+8
7,6,2024-11-03,25-200,BRK,,DET,L (-14),0,21:56,2,4,.500,0,0,,4,12,.333,0,1,1,5,1,0,3,5,8,2.6,-11
8,7,2024-11-04,25-201,BRK,,MEM,W (+2),1,26:38,5,8,.625,0,0,,0,2,.000,2,6,8,3,2,1,0,1,10,13.2,-4
9,8,2024-11-08,25-205,BRK,@,BOS,L (-4),1,28:00,1,3,.333,0,0,,0,0,,1,9,10,3,0,2,0,1,2,6.8,+1
10,9,2024-11-09,25-206,BRK,@,CLE,L (-5),1,32:00,4,5,.800,0,0,,2,3,.667,2,8,10,4,0,1,2,0,10,13.0,+4
11,10,2024-11-11,25-208,BRK,@,NOP,W (+2),1,32:15,5,9,.556,0,0,,3,4,.750,5,4,9,3,0,2,2,1,13,14.1,-4
12,11,2024-11-13,25-210,BRK,,BOS,L (-25),1,24:09,1,3,.333,0,0,,1,1,1.000,0,5,5,2,0,0,1,1,3,2.8,-6
