Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2025-01-01,23-320,BRK,@,TOR,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2025-01-02,23-321,BRK,@,MIL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1,2025-01-04,23-323,BRK,,PHI,L (-29),0,20:41,1,4,.250,1,4,.250,0,2,.000,0,1,1,1,0,1,1,3,3,-0.7,-11
4,2,2025-01-06,23-325,BRK,,IND,L (-14),0,23:59,4,7,.571,0,1,.000,0,2,.000,0,6,6,1,0,1,2,2,8,4.3,+2
5,3,2025-01-08,23-327,BRK,,DET,L (-15),0,29:01,4,7,.571,0,1,.000,5,5,1.000,3,4,7,1,1,0,1,0,13,13.7,-7
6,4,2025-01-10,23-329,BRK,@,DEN,L (-19),0,22:29,4,9,.444,2,5,.400,0,0,,1,1,2,1,1,1,2,2,10,5.9,+8
7,5,2025-01-12,23-331,BRK,@,UTA,L (-1),0,23:53,7,8,.875,2,3,.667,6,9,.667,1,4,5,1,0,0,2,2,22,17.8,-2
8,6,2025-01-14,23-333,BRK,@,POR,W (+18),0,18:20,4,6,.667,1,2,.500,1,2,.500,1,3,4,1,0,0,0,3,10,8.1,+10
9,7,2025-01-15,23-334,BRK,@,LAC,L (-59),0,28:43,3,8,.375,0,1,.000,1,1,1.000,1,2,3,2,1,0,4,3,7,1.1,-24
10,8,2025-01-17,23-336,BRK,@,LAL,L (-1),0,26:33,6,10,.600,1,4,.250,2,2,1.000,3,3,6,2,1,0,2,2,15,13.0,-3
11,9,2025-01-19,23-338,BRK,@,OKC,L (-26),0,20:44,4,7,.571,1,3,.333,0,1,.000,0,4,4,2,0,1,2,2,9,5.8,-9
12,10,2025-01-21,23-340,BRK,,NYK,L (-4),0,20:24,1,6,.167,0,2,.000,3,3,1.000,2,4,6,1,0,0,1,2,5,2.7,+1
13,11,2025-01-22,23-341,BRK,,PHO,L (-24),0,26:25,2,15,.133,0,5,.000,2,2,1.000,1,2,3,2,2,0,3,1,6,-2.4,-9
14,12,2025-01-25,23-344,BRK,,MIA,L (-9),0,20:38,0,4,.000,0,1,.000,2,2,1.000,0,1,1,1,1,0,2,1,2,-1.2,-3
15,13,2025-01-27,23-346,BRK,,SAC,L (-14),0,29:18,5,10,.500,1,1,1.000,4,4,1.000,3,5,8,2,2,0,5,1,15,11.6,+10
16,14,2025-01-29,23-348,BRK,@,CHO,W (+21),0,30:10,4,8,.500,3,5,.600,3,4,.750,0,4,4,1,1,0,1,2,14,10.7,+22
17,15,2025-02-01,23-351,BRK,@,HOU,W (+12),0,26:51,3,6,.500,1,1,1.000,0,0,,1,1,2,4,0,0,0,1,7,7.4,-4
18,16,2025-02-04,23-354,BRK,,HOU,W (+2),0,27:40,7,11,.636,0,1,.000,0,0,,1,3,4,4,2,0,2,4,14,11.9,+7
19,17,2025-02-05,23-355,BRK,,WAS,L (-17),0,27:19,6,11,.545,1,3,.333,2,4,.500,1,4,5,1,0,1,0,3,15,11.0,-8
20,18,2025-02-07,23-357,BRK,,MIA,W (+16),0,20:07,1,6,.167,0,2,.000,3,4,.750,1,2,3,2,0,2,0,1,5,4.5,+14
21,19,2025-02-10,23-360,BRK,,CHO,W (+8),0,26:14,2,7,.286,1,4,.250,2,2,1.000,2,4,6,1,3,0,1,2,7,7.4,0
22,20,2025-02-12,23-362,BRK,,PHI,W (+4),0,16:34,1,6,.167,0,2,.000,0,0,,2,0,2,2,1,0,0,1,2,1.6,+5
23,,2025-02-20,24-004,BRK,,CLE,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2025-02-22,24-006,BRK,@,PHI,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2025-02-24,24-008,BRK,@,WAS,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,21,2025-02-26,24-010,BRK,,OKC,L (-8),0,15:06,2,8,.250,1,4,.250,4,4,1.000,1,2,3,0,0,0,0,1,9,5.1,-20
27,,2025-02-28,24-012,BRK,,POR,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2025-03-01,24-013,BRK,@,DET,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2025-03-04,24-016,BRK,@,SAS,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2025-03-06,24-018,BRK,,GSW,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2025-03-08,24-020,BRK,@,CHO,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
