Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-23,23-349,BRK,@,ATL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2024-10-25,23-351,BRK,@,ORL,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-27,23-353,BRK,,MIL,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2024-10-29,23-355,BRK,,DEN,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2024-10-30,23-356,BRK,@,MEM,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2024-11-01,23-358,BRK,,CHI,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
7,,2024-11-03,23-360,BRK,,DET,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2024-11-04,23-361,BRK,,MEM,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2024-11-08,23-365,BRK,@,BOS,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2024-11-09,24-000,BRK,@,CLE,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2024-11-11,24-002,BRK,@,NOP,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2024-11-13,24-004,BRK,,BOS,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2024-11-15,24-006,BRK,@,NYK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,1,2024-11-17,24-008,BRK,@,NYK,L (-10),0,13:26,1,3,.333,0,1,.000,2,2,1.000,0,3,3,3,0,0,1,1,4,3.9,+4
15,2,2024-11-19,24-010,BRK,,CHO,W (+1),0,19:03,3,6,.500,0,1,.000,4,5,.800,0,4,4,1,1,2,0,1,10,10.5,+8
16,3,2024-11-22,24-013,BRK,@,PHI,L (-15),0,15:39,3,7,.429,0,3,.000,0,0,,0,3,3,2,0,0,2,3,6,1.4,-21
17,4,2024-11-24,24-015,BRK,@,SAC,W (+5),0,14:40,1,5,.200,0,1,.000,1,2,.500,0,3,3,0,2,1,2,2,3,0.3,-10
18,5,2024-11-25,24-016,BRK,@,GSW,W (+8),0,17:44,3,5,.600,2,3,.667,0,0,,1,3,4,1,0,1,1,3,8,6.5,+3
19,6,2024-11-27,24-018,BRK,@,PHO,W (+10),0,21:51,6,13,.462,2,6,.333,4,4,1.000,1,1,2,3,0,0,3,3,18,10.2,+3
20,7,2024-11-29,24-020,BRK,,ORL,L (-23),0,20:10,6,11,.545,0,2,.000,1,1,1.000,0,3,3,1,0,0,2,4,13,5.7,+6
21,8,2024-12-01,24-022,BRK,,ORL,L (-8),0,24:36,3,9,.333,1,2,.500,6,7,.857,1,2,3,1,1,0,1,4,13,7.9,-13
22,9,2024-12-02,24-023,BRK,@,CHI,L (-26),0,16:36,4,7,.571,1,2,.500,3,5,.600,1,4,5,1,1,0,2,3,12,8.3,-18
23,10,2024-12-04,24-025,BRK,,IND,W (+9),0,21:27,2,8,.250,1,4,.250,4,4,1.000,0,3,3,0,0,0,2,4,9,1.5,+9
24,11,2024-12-08,24-029,BRK,,MIL,L (-5),0,13:29,1,2,.500,0,0,,2,2,1.000,0,3,3,2,0,0,0,2,4,4.5,-12
25,12,2024-12-13,24-034,BRK,@,MEM,L (-16),0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
26,13,2024-12-16,24-037,BRK,,CLE,L (-29),0,9:57,2,3,.667,1,1,1.000,3,3,1.000,0,0,0,0,0,0,0,0,8,6.7,-11
27,,2024-12-19,24-040,BRK,@,TOR,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2024-12-21,24-042,BRK,,UTA,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
