Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Jalen Johnson,36:51,4,9,.444,0,3,.000,3,8,.375,1,9,10,4,3,1,6,3,11,7.0,-3,johnsja05
Trae Young,36:40,7,16,.438,2,6,.333,14,16,.875,1,4,5,12,1,1,3,1,30,29.4,+12,youngtr01
Dyson Daniels,34:32,6,12,.500,2,4,.500,1,4,.250,3,2,5,2,5,1,1,4,15,15.0,+7,daniedy01
De'Andre Hunter,25:47,3,10,.300,2,4,.500,4,5,.800,1,5,6,1,2,0,0,5,12,8.7,+10,huntede01
Clint Capela,19:31,3,5,.600,0,0,,0,0,,1,6,7,1,1,1,1,0,6,7.6,0,capelca01
Onyeka Okongwu,28:29,11,12,.917,0,0,,6,6,1.000,4,4,8,1,0,3,2,1,28,28.4,+4,okongon01
Bogdan Bogdanović,27:50,2,6,.333,2,6,.333,2,2,1.000,0,2,2,2,0,2,2,3,8,4.8,-3,bogdabo01
Zaccharie Risacher,19:00,2,8,.250,1,4,.250,2,4,.500,1,0,1,0,0,0,1,2,7,0.3,+1,risacza01
Vit Krejci,11:19,1,2,.500,0,1,.000,1,1,1.000,0,1,1,2,0,0,0,1,3,3.3,-8,krejcvi01
Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gueyemo02
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Larry Nance Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,nancela02
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,240,39,80,.488,9,28,.321,33,46,.717,12,33,45,25,12,9,16,20,120,,,-9999
