Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Jalen Johnson,9:48,2,3,.667,0,1,.000,0,0,,0,2,2,1,1,1,1,0,4,4.7,+11,johnsja05
Trae Young,12:00,0,3,.000,0,0,,4,4,1.000,0,1,1,6,0,0,1,0,4,5.4,+6,youngtr01
Dyson Daniels,8:17,2,4,.500,1,2,.500,0,0,,1,0,1,0,0,0,0,1,5,3.3,+2,daniedy01
De'Andre Hunter,7:09,2,4,.500,1,1,1.000,1,1,1.000,0,2,2,0,0,0,0,2,6,3.8,0,huntede01
Clint Capela,6:12,1,2,.500,0,0,,0,0,,1,3,4,1,1,0,1,0,2,3.3,0,capelca01
Onyeka Okongwu,5:48,3,3,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,6,6.1,+6,okongon01
Bogdan Bogdanović,7:03,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,2,0,0,0,0.0,+1,bogdabo01
Zaccharie Risacher,3:43,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,1.6,+4,risacza01
Vit Krejci,,,,,,,,,,,,,,,,,,,,,,-9999
Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gueyemo02
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Larry Nance Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,nancela02
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,60,11,23,.478,3,7,.429,5,5,1.000,2,9,11,9,2,3,3,4,30,,,-9999
