Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,21-336,CHO,@,HOU,W (+5),1,10:44,2,4,.500,1,2,.500,1,1,1.000,1,0,1,1,1,0,1,0,6,5.4,-6
2,,2024-10-25,21-338,CHO,@,ATL,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-26,21-339,CHO,,MIA,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2024-10-30,21-343,CHO,,TOR,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2024-11-01,21-345,CHO,,BOS,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2,2024-11-02,21-346,CHO,,BOS,L (-10),1,31:21,6,18,.333,3,9,.333,1,2,.500,0,4,4,6,2,1,0,4,16,11.9,-10
7,3,2024-11-04,21-348,CHO,@,MIN,L (-21),1,21:10,3,10,.300,2,7,.286,2,2,1.000,0,2,2,1,0,1,1,2,10,4.4,-9
8,4,2024-11-06,21-350,CHO,,DET,W (+1),1,28:32,6,16,.375,3,11,.273,4,4,1.000,2,4,6,4,0,0,3,2,19,11.8,+1
9,5,2024-11-08,21-352,CHO,,IND,W (+20),1,33:25,10,17,.588,7,11,.636,2,2,1.000,0,6,6,6,1,1,1,1,29,27.4,+26
10,6,2024-11-10,21-354,CHO,@,PHI,L (-2),1,40:37,7,16,.438,3,11,.273,5,5,1.000,1,6,7,2,2,1,3,3,22,16.0,+3
