Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2025-02-12,24-193,CHO,@,ORL,L (-16),0,27:00,5,8,.625,2,4,.500,4,4,1.000,0,5,5,3,1,0,2,3,16,13.8,-17
2,,2025-02-19,24-200,CHO,@,LAL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2,2025-02-20,24-201,CHO,@,DEN,L (-14),0,31:41,6,7,.857,2,3,.667,0,0,,0,0,0,6,2,0,2,3,14,14.5,-22
4,,2025-02-22,24-203,CHO,@,POR,L (-53),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,3,2025-02-24,24-205,CHO,@,SAC,L (-42),0,26:21,1,8,.125,1,6,.167,1,2,.500,1,1,2,4,4,0,1,1,4,4.8,-39
6,4,2025-02-25,24-206,CHO,@,GSW,L (-36),0,28:35,2,13,.154,1,7,.143,4,4,1.000,1,4,5,5,2,0,5,1,9,2.7,-22
7,5,2025-02-27,24-208,CHO,@,DAL,L (-7),0,21:41,1,8,.125,0,2,.000,0,0,,1,1,2,2,0,0,3,0,2,-3.8,-5
8,6,2025-03-01,24-210,CHO,,WAS,L (-13),0,19:47,2,6,.333,1,4,.250,0,0,,2,3,5,2,3,1,0,0,5,9.0,-7
9,7,2025-03-03,24-212,CHO,,GSW,L (-18),0,28:15,3,10,.300,0,5,.000,0,0,,0,2,2,6,0,0,1,3,6,2.8,-5
10,8,2025-03-05,24-214,CHO,,MIN,L (-15),0,14:50,2,5,.400,0,2,.000,0,0,,1,0,1,2,1,0,0,1,4,4.0,-18
11,9,2025-03-07,24-216,CHO,,CLE,L (-1),0,26:06,3,7,.429,0,2,.000,0,0,,0,1,1,4,0,0,2,4,6,1.8,+11
12,10,2025-03-08,24-217,CHO,,BRK,W (+3),1,29:20,6,17,.353,2,6,.333,0,1,.000,1,1,2,4,0,0,2,0,14,5.9,+3
