Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,30-061,PHO,@,LAC,W (+3),1,22:19,2,5,.400,1,4,.250,6,8,.750,0,9,9,2,2,0,4,4,11,8.0,+3
2,2,2024-10-25,30-063,PHO,@,LAL,L (-7),1,18:25,1,5,.200,0,3,.000,2,2,1.000,1,6,7,4,0,1,4,4,4,1.3,-19
3,3,2024-10-26,30-064,PHO,,DAL,W (+12),1,30:28,7,12,.583,0,2,.000,4,8,.500,3,11,14,1,0,1,5,2,18,11.8,0
4,4,2024-10-28,30-066,PHO,,LAL,W (+4),1,15:08,1,6,.167,0,2,.000,0,1,.000,1,3,4,0,0,2,3,2,2,-3.0,-20
5,5,2024-10-31,30-069,PHO,@,LAC,W (+6),1,23:05,3,6,.500,1,2,.500,4,4,1.000,0,3,3,2,0,0,3,2,11,6.5,+11
6,6,2024-11-02,30-071,PHO,,POR,W (+6),1,24:01,1,6,.167,1,3,.333,0,0,,2,13,15,0,0,0,2,3,3,1.3,+15
7,7,2024-11-04,30-073,PHO,,PHI,W (+2),1,28:25,5,8,.625,1,3,.333,4,6,.667,1,14,15,2,2,1,5,4,15,13.0,+16
8,8,2024-11-06,30-075,PHO,,MIA,W (+3),1,33:13,6,8,.750,3,3,1.000,5,6,.833,4,14,18,1,1,2,2,4,20,22.9,+5
9,9,2024-11-08,30-077,PHO,@,DAL,W (+1),1,33:41,6,12,.500,2,4,.500,1,2,.500,3,7,10,0,2,0,1,4,15,12.2,-3
10,10,2024-11-10,30-079,PHO,,SAC,L (-9),1,15:11,0,4,.000,0,3,.000,0,0,,0,7,7,0,1,0,1,0,0,-0.7,-6
11,,2024-11-12,30-081,PHO,@,UTA,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,11,2024-11-13,30-082,PHO,@,SAC,L (-23),1,21:36,1,7,.143,0,3,.000,1,2,.500,5,6,11,1,3,0,2,2,3,4.3,-11
13,12,2024-11-15,30-084,PHO,@,OKC,L (-16),1,29:13,0,7,.000,0,3,.000,4,8,.500,3,5,8,0,0,0,2,4,4,-2.5,-10
