Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,23-062,CHO,@,HOU,W (+5),1,37:55,10,20,.500,4,12,.333,10,10,1.000,1,7,8,11,1,1,2,3,34,33.0,+14
2,2,2024-10-25,23-064,CHO,@,ATL,L (-5),1,28:43,10,20,.500,9,14,.643,5,6,.833,1,4,5,4,1,1,10,6,34,17.6,-6
3,3,2024-10-26,23-065,CHO,,MIA,L (-8),1,36:31,9,22,.409,2,10,.200,7,8,.875,2,6,8,7,1,0,5,5,27,16.9,-3
4,4,2024-10-30,23-069,CHO,,TOR,W (+5),1,32:24,7,20,.350,4,12,.333,1,1,1.000,0,3,3,6,2,0,6,4,19,7.3,+8
5,5,2024-11-01,23-071,CHO,,BOS,L (-15),1,31:08,12,25,.480,5,14,.357,2,3,.667,0,2,2,4,1,0,4,6,31,15.9,-17
6,6,2024-11-02,23-072,CHO,,BOS,L (-10),1,37:08,15,26,.577,6,12,.500,0,0,,2,2,4,6,3,0,6,6,36,24.6,-1
7,7,2024-11-04,23-074,CHO,@,MIN,L (-21),1,24:36,6,15,.400,2,8,.250,5,7,.714,0,2,2,2,1,0,5,3,19,6.9,-3
8,8,2024-11-06,23-076,CHO,,DET,W (+1),1,31:59,10,23,.435,5,12,.417,0,0,,2,4,6,8,2,0,2,3,25,19.9,-2
9,9,2024-11-08,23-078,CHO,,IND,W (+20),1,33:14,10,29,.345,5,18,.278,6,8,.750,1,6,7,6,1,1,1,2,31,20.5,-8
10,10,2024-11-10,23-080,CHO,@,PHI,L (-2),1,40:31,13,30,.433,6,18,.333,6,7,.857,1,3,4,8,2,0,6,3,38,23.8,+3
11,11,2024-11-12,23-082,CHO,@,ORL,L (-25),1,35:07,13,27,.481,6,14,.429,3,3,1.000,1,5,6,7,0,0,3,3,35,24.2,-12
12,12,2024-11-16,23-086,CHO,,MIL,W (+1),1,36:20,7,20,.350,1,7,.143,11,11,1.000,2,7,9,6,0,0,2,4,26,18.9,+12
13,13,2024-11-17,23-087,CHO,@,CLE,L (-14),1,35:18,11,29,.379,5,15,.333,4,4,1.000,0,1,1,12,1,0,5,5,31,17.8,-6
14,14,2024-11-19,23-089,CHO,@,BRK,L (-1),1,23:57,3,13,.231,3,8,.375,3,3,1.000,1,1,2,5,1,0,4,4,12,4.0,-10
15,15,2024-11-21,23-091,CHO,,DET,W (+2),1,32:37,12,27,.444,4,14,.286,7,8,.875,1,5,6,9,1,0,2,6,35,25.6,+12
16,16,2024-11-23,23-093,CHO,@,MIL,L (-6),1,39:41,17,38,.447,6,17,.353,10,13,.769,0,5,5,10,1,0,4,3,50,33.3,+7
17,17,2024-11-25,23-095,CHO,,ORL,L (-11),1,39:43,17,30,.567,4,11,.364,6,8,.750,0,9,9,7,1,1,7,4,44,29.7,-2
18,18,2024-11-27,23-097,CHO,,MIA,L (-4),1,36:52,11,35,.314,7,20,.350,3,5,.600,2,8,10,7,0,0,7,3,32,11.6,-2
19,,2024-11-29,23-099,CHO,,NYK,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2024-11-30,23-100,CHO,,ATL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2024-12-03,23-103,CHO,,PHI,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2024-12-05,23-105,CHO,@,NYK,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2024-12-07,23-107,CHO,,CLE,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2024-12-08,23-108,CHO,@,IND,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2024-12-13,23-113,CHO,@,CHI,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,19,2024-12-16,23-116,CHO,,PHI,L (-13),1,25:50,5,15,.333,3,8,.375,2,4,.500,0,5,5,11,4,0,3,3,15,14.7,-10
27,20,2024-12-19,23-119,CHO,@,WAS,L (-9),1,33:32,11,32,.344,3,18,.167,9,10,.900,1,3,4,13,4,0,1,3,34,28.1,+3
28,,2024-12-20,23-120,CHO,@,PHI,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,21,2024-12-23,23-123,CHO,,HOU,L (-13),1,30:29,9,18,.500,5,11,.455,0,0,,1,4,5,8,0,1,0,1,23,21.8,-6
30,22,2024-12-26,23-126,CHO,@,WAS,L (-3),1,37:55,12,27,.444,4,13,.308,3,3,1.000,0,6,6,6,1,0,5,2,31,18.1,-10
31,,2024-12-28,23-128,CHO,,OKC,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
