Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,26-216,CHO,@,HOU,W (+5),1,32:17,5,11,.455,0,3,.000,0,0,,0,9,9,2,1,1,4,1,10,5.7,+4
2,2,2024-10-25,26-218,CHO,@,ATL,L (-5),1,30:30,8,17,.471,3,8,.375,8,8,1.000,1,4,5,0,0,1,0,3,27,19.7,-16
3,3,2024-10-26,26-219,CHO,,MIA,L (-8),1,34:47,6,14,.429,2,6,.333,2,4,.500,2,7,9,2,0,1,2,2,16,10.6,0
4,4,2024-10-30,26-223,CHO,,TOR,W (+5),1,23:54,2,11,.182,1,7,.143,2,2,1.000,0,3,3,2,0,1,2,0,7,1.1,-12
5,5,2024-11-01,26-225,CHO,,BOS,L (-15),1,31:20,5,16,.313,2,10,.200,2,3,.667,0,7,7,3,1,0,1,1,14,8.2,-12
6,6,2024-11-02,26-226,CHO,,BOS,L (-10),1,31:18,2,6,.333,1,2,.500,1,2,.500,0,8,8,5,2,0,3,1,6,6.7,-4
7,7,2024-11-04,26-228,CHO,@,MIN,L (-21),1,25:00,4,13,.308,1,6,.167,1,2,.500,1,5,6,4,0,0,1,1,10,5.7,-10
8,8,2024-11-06,26-230,CHO,,DET,W (+1),1,35:00,8,14,.571,2,3,.667,9,9,1.000,1,6,7,2,0,0,0,3,27,23.1,+6
9,,2024-11-08,26-232,CHO,,IND,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2024-11-10,26-234,CHO,@,PHI,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2024-11-12,26-236,CHO,@,ORL,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,9,2024-11-16,26-240,CHO,,MIL,W (+1),1,26:57,7,15,.467,3,7,.429,2,2,1.000,2,5,7,3,1,0,1,0,19,16.3,+4
13,10,2024-11-17,26-241,CHO,@,CLE,L (-14),1,26:49,7,15,.467,4,8,.500,1,1,1.000,1,7,8,8,2,1,0,2,19,21.6,-14
14,11,2024-11-19,26-243,CHO,@,BRK,L (-1),1,33:18,8,14,.571,5,9,.556,0,0,,0,3,3,2,0,0,1,1,21,15.3,-15
15,,2024-11-21,26-245,CHO,,DET,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2024-11-23,26-247,CHO,@,MIL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2024-11-25,26-249,CHO,,ORL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2024-11-27,26-251,CHO,,MIA,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2024-11-29,26-253,CHO,,NYK,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2024-11-30,26-254,CHO,,ATL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2024-12-03,26-257,CHO,,PHI,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2024-12-05,26-259,CHO,@,NYK,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2024-12-07,26-261,CHO,,CLE,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2024-12-08,26-262,CHO,@,IND,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,12,2024-12-13,26-267,CHO,@,CHI,L (-14),1,24:37,5,16,.313,0,6,.000,4,4,1.000,3,6,9,4,0,1,0,2,14,11.4,-1
26,13,2024-12-16,26-270,CHO,,PHI,L (-13),1,28:14,10,19,.526,2,8,.250,2,3,.667,1,5,6,4,0,0,3,1,24,15.9,+2
27,14,2024-12-19,26-273,CHO,@,WAS,L (-9),1,31:53,7,16,.438,0,4,.000,2,3,.667,1,7,8,3,0,0,2,2,16,9.3,-7
28,15,2024-12-20,26-274,CHO,@,PHI,L (-10),1,28:44,4,13,.308,1,7,.143,6,6,1.000,1,6,7,1,1,2,5,2,15,7.3,-19
29,16,2024-12-23,26-277,CHO,,HOU,L (-13),1,29:00,9,17,.529,2,6,.333,4,4,1.000,0,8,8,3,1,0,2,0,24,19.2,-7
30,17,2024-12-26,26-280,CHO,@,WAS,L (-3),1,33:43,8,17,.471,4,9,.444,2,2,1.000,1,13,14,6,1,2,2,0,22,22.5,+1
31,18,2024-12-28,26-282,CHO,,OKC,L (-12),1,38:29,5,16,.313,1,8,.125,8,8,1.000,1,9,10,6,1,2,3,1,19,16.4,-3
32,19,2024-12-30,26-284,CHO,,CHI,L (-7),1,36:11,13,32,.406,2,13,.154,3,3,1.000,1,11,12,8,0,0,3,2,31,19.6,+2
33,20,2025-01-03,26-288,CHO,@,DET,L (-4),1,39:09,5,16,.313,3,7,.429,7,9,.778,0,9,9,5,2,1,6,2,20,12.1,-3
34,21,2025-01-05,26-290,CHO,@,CLE,L (-10),1,26:29,5,14,.357,1,6,.167,0,0,,1,7,8,3,1,0,1,3,11,6.9,-14
