Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,22-276,CHO,@,HOU,W (+5),0,14:59,1,4,.250,0,0,,0,0,,2,3,5,0,1,2,0,0,2,4.3,+6
2,2,2024-10-25,22-278,CHO,@,ATL,L (-5),0,9:50,1,2,.500,0,0,,0,2,.000,1,3,4,0,0,0,0,1,2,1.4,-6
3,3,2024-10-26,22-279,CHO,,MIA,L (-8),0,7:52,2,2,1.000,0,0,,1,2,.500,2,0,2,0,0,0,1,2,5,3.6,+1
4,4,2024-10-30,22-283,CHO,,TOR,W (+5),0,9:26,0,0,,0,0,,0,0,,1,3,4,1,0,0,0,1,0,1.9,+23
5,5,2024-11-01,22-285,CHO,,BOS,L (-15),0,15:47,3,4,.750,0,0,,1,2,.500,6,1,7,1,0,0,1,2,7,8.4,+4
6,6,2024-11-02,22-286,CHO,,BOS,L (-10),0,14:27,0,0,,0,0,,1,2,.500,1,3,4,1,0,0,1,3,1,0.7,-2
7,7,2024-11-04,22-288,CHO,@,MIN,L (-21),0,11:05,1,1,1.000,0,0,,0,0,,1,4,5,0,0,0,1,0,2,2.6,-1
8,8,2024-11-06,22-290,CHO,,DET,W (+1),0,6:35,2,3,.667,0,0,,0,0,,0,5,5,0,0,0,1,0,4,3.2,-4
9,9,2024-11-08,22-292,CHO,,IND,W (+20),0,28:59,0,1,.000,0,0,,0,0,,4,11,15,0,1,3,2,1,0,6.1,+34
10,10,2024-11-10,22-294,CHO,@,PHI,L (-2),0,23:22,2,4,.500,0,0,,0,0,,5,6,11,1,0,0,1,4,4,5.4,+1
11,11,2024-11-12,22-296,CHO,@,ORL,L (-25),0,29:57,6,7,.857,0,0,,0,0,,3,12,15,2,1,3,0,0,12,19.7,-10
12,12,2024-11-16,22-300,CHO,,MIL,W (+1),0,24:46,6,7,.857,0,0,,0,0,,10,4,14,1,1,3,3,1,12,18.1,-7
13,13,2024-11-17,22-301,CHO,@,CLE,L (-14),0,11:47,1,2,.500,0,0,,0,0,,3,1,4,0,1,1,0,1,2,4.7,-1
14,14,2024-11-19,22-303,CHO,@,BRK,L (-1),0,15:38,0,2,.000,0,0,,0,0,,2,5,7,0,0,1,0,1,0,1.8,+8
15,15,2024-11-21,22-305,CHO,,DET,W (+2),1,32:28,0,2,.000,0,0,,1,3,.333,7,9,16,1,3,0,1,3,1,7.9,-1
16,16,2024-11-23,22-307,CHO,@,MIL,L (-6),1,31:29,0,4,.000,0,0,,0,0,,7,4,11,2,2,1,1,4,0,4.8,-2
17,17,2024-11-25,22-309,CHO,,ORL,L (-11),0,32:18,1,2,.500,0,0,,0,0,,3,5,8,0,2,4,3,2,2,5.6,-3
18,18,2024-11-27,22-311,CHO,,MIA,L (-4),0,33:04,0,1,.000,0,0,,0,0,,6,5,11,2,1,0,1,3,0,5.2,+9
19,19,2024-11-29,22-313,CHO,,NYK,L (-1),1,37:09,3,4,.750,0,0,,0,3,.000,5,6,11,1,0,1,2,4,6,6.3,-6
20,20,2024-11-30,22-314,CHO,,ATL,L (-3),1,22:25,1,3,.333,0,0,,1,1,1.000,8,0,8,3,2,1,1,2,3,9.9,-5
21,21,2024-12-03,22-317,CHO,,PHI,L (-6),0,9:38,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.1,0
22,22,2024-12-05,22-319,CHO,@,NYK,L (-24),0,16:06,2,3,.667,0,0,,0,0,,1,2,3,0,0,1,1,3,4,2.5,-10
23,,2024-12-07,22-321,CHO,,CLE,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2024-12-08,22-322,CHO,@,IND,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,23,2024-12-13,22-327,CHO,@,CHI,L (-14),0,8:26,2,2,1.000,0,0,,1,2,.500,2,1,3,0,1,0,1,3,5,4.5,+3
26,24,2024-12-16,22-330,CHO,,PHI,L (-13),0,15:42,2,2,1.000,0,0,,0,0,,2,1,3,0,1,0,1,3,4,3.9,+3
27,25,2024-12-19,22-333,CHO,@,WAS,L (-9),0,11:35,2,2,1.000,0,0,,0,0,,4,3,7,2,0,1,0,2,4,8.4,+3
28,26,2024-12-20,22-334,CHO,@,PHI,L (-10),0,18:28,2,4,.500,0,0,,3,4,.750,3,4,7,0,0,0,1,2,7,6.1,+4
29,27,2024-12-23,22-337,CHO,,HOU,L (-13),0,15:58,6,6,1.000,0,0,,2,4,.500,1,4,5,0,0,0,0,0,14,13.3,+12
