Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-23,19-074,CHO,@,HOU,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2024-10-25,19-076,CHO,@,ATL,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,1,2024-10-26,19-077,CHO,,MIA,L (-8),0,8:38,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,1,0,-0.8,-10
4,2,2024-10-30,19-081,CHO,,TOR,W (+5),0,16:10,1,3,.333,0,2,.000,1,2,.500,1,2,3,3,1,0,0,0,3,5.3,+11
5,3,2024-11-01,19-083,CHO,,BOS,L (-15),0,19:01,3,5,.600,3,5,.600,0,0,,1,5,6,1,0,0,0,0,9,9.6,+2
6,4,2024-11-02,19-084,CHO,,BOS,L (-10),0,15:45,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-2
7,5,2024-11-04,19-086,CHO,@,MIN,L (-21),0,22:04,2,10,.200,1,7,.143,0,0,,0,2,2,1,1,0,2,3,5,-2.1,-10
8,6,2024-11-06,19-088,CHO,,DET,W (+1),0,11:58,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,-6
9,7,2024-11-08,19-090,CHO,,IND,W (+20),1,21:29,1,6,.167,0,3,.000,0,0,,3,4,7,1,0,0,2,2,2,-0.6,-11
10,8,2024-11-10,19-092,CHO,@,PHI,L (-2),1,19:13,1,5,.200,0,3,.000,0,0,,1,8,9,2,0,0,2,0,2,1.4,0
11,9,2024-11-12,19-094,CHO,@,ORL,L (-25),0,20:34,1,6,.167,1,3,.333,0,2,.000,2,4,6,1,0,0,1,2,3,-0.1,-25
12,10,2024-11-16,19-098,CHO,,MIL,W (+1),0,9:32,1,4,.250,1,3,.333,0,0,,0,1,1,2,0,0,0,0,3,2.3,-8
13,11,2024-11-17,19-099,CHO,@,CLE,L (-14),0,14:54,0,3,.000,0,2,.000,0,0,,1,0,1,1,1,1,0,0,0,1.0,-2
14,12,2024-11-19,19-101,CHO,@,BRK,L (-1),0,14:32,2,2,1.000,1,1,1.000,6,7,.857,0,8,8,1,0,2,1,3,11,12.3,+17
15,13,2024-11-21,19-103,CHO,,DET,W (+2),0,13:06,2,4,.500,1,2,.500,2,2,1.000,0,2,2,0,0,0,1,1,7,4.2,-2
16,14,2024-11-23,19-105,CHO,@,MIL,L (-6),0,16:53,2,3,.667,2,3,.667,0,0,,1,1,2,1,0,0,0,1,6,6.0,-15
17,15,2024-11-25,19-107,CHO,,ORL,L (-11),1,30:01,0,3,.000,0,2,.000,1,2,.500,1,6,7,1,0,0,2,3,1,-1.5,+1
18,16,2024-11-27,19-109,CHO,,MIA,L (-4),1,37:35,7,12,.583,3,7,.429,0,0,,3,1,4,2,3,0,1,4,17,15.6,0
19,17,2024-11-29,19-111,CHO,,NYK,L (-1),1,34:57,4,11,.364,4,10,.400,2,2,1.000,1,7,8,1,0,0,1,4,14,8.8,-4
20,18,2024-11-30,19-112,CHO,,ATL,L (-3),1,22:00,0,8,.000,0,5,.000,0,0,,0,1,1,1,2,0,1,1,0,-4.0,-14
21,19,2024-12-03,19-115,CHO,,PHI,L (-6),1,25:44,4,10,.400,2,6,.333,0,0,,3,7,10,0,2,0,1,2,10,9.0,-11
