Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,23-263,CHO,@,HOU,W (+5),0,28:57,8,16,.500,4,8,.500,4,4,1.000,3,3,6,1,0,1,3,2,24,16.6,+2
2,2,2024-10-25,23-265,CHO,@,ATL,L (-5),0,24:57,6,19,.316,2,7,.286,3,3,1.000,3,0,3,4,1,0,3,3,17,7.8,-1
3,3,2024-10-26,23-266,CHO,,MIA,L (-8),0,31:45,5,11,.455,2,5,.400,2,2,1.000,0,5,5,4,1,0,1,2,14,11.8,-15
4,4,2024-10-30,23-270,CHO,,TOR,W (+5),0,28:13,10,19,.526,4,8,.500,3,3,1.000,0,1,1,4,2,1,2,5,27,19.5,0
5,5,2024-11-01,23-272,CHO,,BOS,L (-15),0,29:31,10,18,.556,3,6,.500,0,0,,1,3,4,5,0,1,3,0,23,17.2,-12
6,6,2024-11-02,23-273,CHO,,BOS,L (-10),0,22:24,4,9,.444,1,2,.500,1,1,1.000,0,1,1,3,0,0,1,2,10,5.9,-4
7,7,2024-11-04,23-275,CHO,@,MIN,L (-21),0,20:59,4,8,.500,0,0,,2,2,1.000,1,3,4,6,1,0,1,3,10,10.6,-29
8,8,2024-11-06,23-277,CHO,,DET,W (+1),0,21:14,2,7,.286,0,4,.000,0,0,,0,3,3,2,1,0,1,1,4,1.8,+4
9,9,2024-11-08,23-279,CHO,,IND,W (+20),0,27:02,6,13,.462,2,5,.400,0,0,,1,1,2,4,1,0,3,1,14,8.7,+17
10,10,2024-11-10,23-281,CHO,@,PHI,L (-2),0,15:57,1,6,.167,1,4,.250,2,2,1.000,0,0,0,0,0,0,1,0,5,0.2,-8
11,,2024-11-12,23-283,CHO,@,ORL,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,11,2024-11-16,23-287,CHO,,MIL,W (+1),0,21:19,5,8,.625,1,2,.500,0,0,,1,3,4,0,0,0,1,2,11,7.2,-7
13,,2024-11-17,23-288,CHO,@,CLE,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,12,2024-11-19,23-290,CHO,@,BRK,L (-1),0,25:33,7,17,.412,4,6,.667,1,2,.500,2,1,3,6,0,0,4,3,19,10.2,+7
15,13,2024-11-21,23-292,CHO,,DET,W (+2),0,21:10,2,10,.200,0,3,.000,1,2,.500,0,2,2,0,0,1,1,0,5,-1.3,-9
16,,2024-11-23,23-294,CHO,@,MIL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2024-11-25,23-296,CHO,,ORL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2024-11-27,23-298,CHO,,MIA,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
