Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,41:28,11,24,.458,5,14,.357,11,13,.846,3,5,8,10,4,0,7,1,38,32.0,+9,youngtr01
Jalen Johnson,41:10,4,15,.267,1,4,.250,7,9,.778,2,5,7,3,2,2,2,5,16,10.7,+12,johnsja05
De'Andre Hunter,33:09,7,14,.500,2,6,.333,8,8,1.000,1,6,7,3,0,1,0,4,24,20.7,+4,huntede01
Dyson Daniels,24:24,8,10,.800,2,4,.500,0,0,,0,1,1,4,2,2,1,5,18,17.7,+9,daniedy01
Clint Capela,21:33,2,2,1.000,0,0,,2,2,1.000,1,6,7,1,1,2,2,3,6,7.8,+4,capelca01
Onyeka Okongwu,26:27,3,6,.500,1,2,.500,0,0,,0,8,8,3,1,0,0,3,7,8.3,+1,okongon01
Garrison Mathews,18:32,2,3,.667,2,3,.667,2,2,1.000,0,1,1,0,0,0,0,2,8,6.2,-4,mathega01
Zaccharie Risacher,18:32,1,5,.200,1,4,.250,2,2,1.000,0,0,0,1,0,1,0,0,5,3.3,-14,risacza01
Vit Krejci,14:45,1,2,.500,0,1,.000,1,2,.500,0,0,0,0,1,1,1,5,3,0.3,+4,krejcvi01
Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gueyemo02
Larry Nance Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,nancela02
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,240,39,81,.481,14,38,.368,33,38,.868,7,32,39,25,11,9,14,28,125,,,-9999
