Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,9:24,3,5,.600,2,4,.500,1,2,.500,0,1,1,2,2,0,3,0,9,7.0,+11,youngtr01
Jalen Johnson,8:37,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,1,0,0,-1.1,+7,johnsja05
De'Andre Hunter,8:15,3,5,.600,1,2,.500,0,0,,1,3,4,0,0,0,0,1,7,5.9,+11,huntede01
Dyson Daniels,6:10,1,1,1.000,0,0,,0,0,,0,0,0,0,1,1,0,1,2,3.0,+6,daniedy01
Clint Capela,5:55,0,0,,0,0,,2,2,1.000,0,3,3,1,1,0,0,0,2,4.6,+6,capelca01
Onyeka Okongwu,6:05,0,2,.000,0,0,,0,0,,0,4,4,1,0,0,0,0,0,0.5,+6,okongon01
Garrison Mathews,6:05,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,1,6,4.6,+6,mathega01
Zaccharie Risacher,3:45,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,0.6,+1,risacza01
Vit Krejci,5:44,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,1,0,1,0,0.6,+6,krejcvi01
Mouhamed Gueye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,gueyemo02
Larry Nance Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,nancela02
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,roddyda01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,60,9,21,.429,5,11,.455,5,6,.833,1,14,15,5,5,2,4,4,28,,,-9999
