Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,24-280,CHI,@,NOP,L (-12),0,24:58,4,6,.667,0,2,.000,0,0,,0,4,4,3,0,0,2,2,8,5.9,-13
2,2,2024-10-25,24-282,CHI,@,MIL,W (+11),0,27:36,1,8,.125,0,5,.000,0,0,,0,5,5,5,0,1,1,1,2,1.1,+10
3,3,2024-10-26,24-283,CHI,,OKC,L (-19),0,24:12,1,11,.091,1,9,.111,0,0,,0,5,5,6,0,0,2,4,3,-2.2,-5
4,4,2024-10-28,24-285,CHI,@,MEM,W (+3),0,27:17,4,8,.500,2,4,.500,0,0,,2,6,8,4,0,1,0,1,10,12.3,0
5,5,2024-10-30,24-287,CHI,,ORL,W (+3),0,29:08,6,8,.750,0,1,.000,0,1,.000,0,4,4,4,0,1,0,1,12,12.7,0
6,6,2024-11-01,24-289,CHI,@,BRK,L (-8),0,27:09,3,11,.273,2,7,.286,2,2,1.000,0,7,7,3,0,0,3,4,10,3.1,-4
7,7,2024-11-04,24-292,CHI,,UTA,L (-9),1,34:48,9,13,.692,0,2,.000,7,7,1.000,3,2,5,5,0,1,1,2,25,24.6,+2
8,8,2024-11-06,24-294,CHI,@,DAL,L (-20),1,24:52,2,13,.154,2,10,.200,0,0,,1,4,5,4,0,0,2,3,6,-0.8,-31
9,9,2024-11-07,24-295,CHI,,MIN,L (-16),1,33:04,5,11,.455,1,3,.333,2,2,1.000,2,1,3,2,1,0,1,4,13,8.8,-20
10,10,2024-11-09,24-297,CHI,@,ATL,W (+12),0,30:36,7,10,.700,2,3,.667,3,3,1.000,0,2,2,4,0,1,2,1,19,16.5,+11
11,11,2024-11-11,24-299,CHI,,CLE,L (-6),0,30:45,2,8,.250,1,4,.250,5,6,.833,0,3,3,4,0,0,0,1,10,8.1,-21
12,12,2024-11-13,24-301,CHI,@,NYK,W (+1),0,25:10,5,8,.625,2,3,.667,4,4,1.000,0,3,3,6,2,1,1,4,16,17.6,-4
13,13,2024-11-15,24-303,CHI,@,CLE,L (-18),0,26:13,6,9,.667,2,3,.667,1,2,.500,1,4,5,4,1,1,2,5,15,13.1,-17
14,14,2024-11-17,24-305,CHI,,HOU,L (-36),0,23:30,4,10,.400,1,5,.200,0,0,,0,2,2,6,0,0,1,2,9,6.6,-17
15,15,2024-11-18,24-306,CHI,@,DET,W (+10),0,33:17,4,12,.333,0,2,.000,1,2,.500,1,0,1,1,0,1,0,0,9,3.9,+8
16,16,2024-11-20,24-308,CHI,@,MIL,L (-16),0,32:16,4,7,.571,0,1,.000,0,0,,0,3,3,3,1,0,3,3,8,4.5,-18
17,17,2024-11-22,24-310,CHI,,ATL,W (+14),1,38:24,8,10,.800,2,3,.667,2,2,1.000,1,2,3,8,2,0,2,3,20,21.9,+1
18,18,2024-11-23,24-311,CHI,,MEM,L (-11),1,29:20,3,7,.429,2,4,.500,0,2,.000,0,1,1,5,0,0,1,2,8,5.5,-25
19,19,2024-11-26,24-314,CHI,@,WAS,W (+19),1,30:18,4,10,.400,1,4,.250,3,4,.750,0,3,3,3,2,1,2,1,12,9.5,+22
20,20,2024-11-27,24-315,CHI,@,ORL,L (-14),1,30:40,10,12,.833,1,3,.333,0,2,.000,1,3,4,2,1,0,0,1,21,19.4,-19
21,21,2024-11-29,24-317,CHI,,BOS,L (-9),1,32:00,5,11,.455,1,4,.250,2,2,1.000,0,1,1,5,1,0,1,4,13,9.5,-15
22,22,2024-12-02,24-320,CHI,,BRK,W (+26),1,29:41,7,13,.538,1,5,.200,1,1,1.000,1,1,2,6,1,1,1,1,16,15.2,+24
23,23,2024-12-05,24-323,CHI,@,SAS,W (+15),1,35:14,9,13,.692,3,3,1.000,6,6,1.000,3,7,10,11,3,0,1,3,27,34.2,+23
24,24,2024-12-06,24-324,CHI,,IND,L (-9),1,32:24,6,8,.750,3,5,.600,0,0,,0,2,2,5,2,2,1,3,15,17.1,+1
25,25,2024-12-08,24-326,CHI,,PHI,L (-8),1,34:52,3,6,.500,2,4,.500,2,2,1.000,0,3,3,5,0,0,3,2,10,7.6,-16
26,26,2024-12-13,24-331,CHI,,CHO,W (+14),1,32:25,8,12,.667,3,6,.500,0,0,,0,3,3,5,1,1,1,3,19,17.7,+4
27,27,2024-12-16,24-334,CHI,@,TOR,W (+1),1,39:45,5,15,.333,1,6,.167,1,2,.500,0,5,5,5,1,1,0,3,12,8.6,-6
28,28,2024-12-19,24-337,CHI,@,BOS,W (+9),1,37:39,7,14,.500,3,5,.600,0,0,,1,7,8,4,2,0,1,1,17,16.2,+17
29,29,2024-12-21,24-339,CHI,,BOS,L (-25),1,32:15,3,7,.429,1,4,.250,0,0,,1,3,4,6,1,0,1,1,7,8.7,-10
30,30,2024-12-23,24-341,CHI,,MIL,L (-21),1,33:47,2,9,.222,0,5,.000,1,2,.500,0,4,4,11,2,0,4,2,5,5.2,-19
31,,2024-12-26,24-344,CHI,@,ATL,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
32,,2024-12-28,24-346,CHI,,MIL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,2024-12-30,24-348,CHI,@,CHO,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2025-01-01,24-350,CHI,@,WAS,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2025-01-04,24-353,CHI,,NYK,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2025-01-06,24-355,CHI,,SAS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2025-01-08,24-357,CHI,@,IND,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2025-01-10,24-359,CHI,,WAS,W (+33),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2025-01-12,24-361,CHI,,SAC,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2025-01-14,24-363,CHI,,NOP,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,31,2025-01-15,24-364,CHI,,ATL,L (-16),0,25:07,4,7,.571,0,1,.000,1,1,1.000,1,2,3,2,2,0,1,1,9,9.0,+12
42,32,2025-01-17,25-000,CHI,,CHO,L (-2),0,28:12,4,8,.500,1,3,.333,0,0,,1,4,5,4,1,0,0,4,9,9.1,+4
43,33,2025-01-19,25-002,CHI,@,POR,L (-11),0,32:09,4,8,.500,1,3,.333,3,4,.750,0,1,1,4,1,0,1,3,12,9.5,-11
44,,2025-01-20,25-003,CHI,@,LAC,W (+13),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
45,34,2025-01-23,25-006,CHI,@,GSW,L (-25),0,22:36,4,6,.667,2,4,.500,3,4,.750,0,2,2,2,0,0,0,2,13,11.2,-26
46,35,2025-01-25,25-008,CHI,,PHI,L (-12),0,27:52,3,10,.300,2,5,.400,0,0,,1,1,2,2,0,0,2,2,8,1.8,-10
47,36,2025-01-27,25-010,CHI,,DEN,W (+8),1,34:26,6,13,.462,4,7,.571,1,2,.500,2,0,2,2,2,1,2,1,17,13.0,+20
48,37,2025-01-29,25-012,CHI,@,BOS,L (-22),1,31:31,5,13,.385,2,5,.400,0,0,,1,3,4,4,1,0,1,2,12,8.5,-23
49,38,2025-01-31,25-014,CHI,@,TOR,W (+16),1,35:10,2,9,.222,2,6,.333,0,0,,0,4,4,8,1,1,1,1,6,7.6,+10
50,39,2025-02-02,25-016,CHI,@,DET,L (-8),1,31:38,6,9,.667,2,5,.400,0,0,,1,2,3,5,0,1,3,3,14,11.4,-11
51,40,2025-02-04,25-018,CHI,,MIA,W (+9),1,28:47,8,11,.727,2,2,1.000,3,3,1.000,0,2,2,9,1,1,1,4,21,22.5,+3
52,41,2025-02-05,25-019,CHI,@,MIN,L (-19),1,36:29,5,10,.500,1,5,.200,0,0,,0,0,0,4,2,0,2,3,11,7.6,-8
53,42,2025-02-08,25-022,CHI,,GSW,L (-21),1,30:16,4,6,.667,1,3,.333,1,1,1.000,0,1,1,4,1,0,4,4,10,5.9,-13
54,43,2025-02-11,25-025,CHI,,DET,L (-40),1,20:11,3,6,.500,1,3,.333,1,2,.500,0,1,1,2,3,0,3,0,8,6.3,-28
55,44,2025-02-12,25-026,CHI,,DET,L (-18),1,35:05,9,16,.563,0,5,.000,5,6,.833,1,2,3,6,2,0,4,4,23,16.9,-9
56,45,2025-02-20,25-034,CHI,@,NYK,L (-2),0,28:07,2,8,.250,1,5,.200,0,0,,0,5,5,3,1,0,3,1,5,1.4,-16
57,,2025-02-22,25-036,CHI,,PHO,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,2025-02-24,25-038,CHI,@,PHI,W (+32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,,2025-02-26,25-040,CHI,,LAC,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,46,2025-02-28,25-042,CHI,,TOR,W (+10),0,22:39,5,9,.556,0,2,.000,1,2,.500,0,5,5,2,1,0,1,2,11,8.4,+9
