Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,24-250,CHI,@,NOP,L (-12),1,34:47,4,13,.308,0,5,.000,2,2,1.000,0,8,8,6,1,1,4,1,10,6.4,-6
2,2,2024-10-25,24-252,CHI,@,MIL,W (+11),1,34:22,12,20,.600,7,13,.538,4,4,1.000,0,6,6,5,4,0,3,1,35,31.7,+16
3,3,2024-10-26,24-253,CHI,,OKC,L (-19),1,29:48,3,12,.250,0,9,.000,3,6,.500,0,4,4,3,1,0,3,3,9,0.7,-20
4,4,2024-10-28,24-255,CHI,@,MEM,W (+3),1,32:00,6,15,.400,5,10,.500,3,3,1.000,1,1,2,5,0,0,0,2,20,15.6,+8
5,5,2024-10-30,24-257,CHI,,ORL,W (+3),1,37:22,8,16,.500,4,10,.400,1,2,.500,0,2,2,3,1,0,2,2,21,13.5,-2
6,6,2024-11-01,24-259,CHI,@,BRK,L (-8),1,34:19,6,13,.462,5,9,.556,4,5,.800,1,3,4,4,0,0,3,4,21,13.7,+4
7,7,2024-11-04,24-262,CHI,,UTA,L (-9),1,34:17,10,19,.526,6,9,.667,2,2,1.000,0,4,4,6,2,0,3,4,28,21.5,-4
8,8,2024-11-06,24-264,CHI,@,DAL,L (-20),1,28:33,3,13,.231,1,7,.143,1,2,.500,0,1,1,5,1,0,4,1,8,0.1,-25
9,9,2024-11-07,24-265,CHI,,MIN,L (-16),1,33:59,9,15,.600,4,9,.444,2,2,1.000,0,0,0,8,0,0,3,4,24,18.1,-8
10,10,2024-11-09,24-267,CHI,@,ATL,W (+12),1,32:55,6,14,.429,2,9,.222,4,4,1.000,0,4,4,5,3,0,2,3,18,15.1,+2
11,11,2024-11-11,24-269,CHI,,CLE,L (-6),1,37:18,5,13,.385,5,11,.455,5,5,1.000,0,7,7,6,4,1,5,2,20,18.1,+4
12,12,2024-11-13,24-271,CHI,@,NYK,W (+1),1,35:34,6,16,.375,2,9,.222,8,8,1.000,0,1,1,4,1,0,3,4,22,12.7,-8
13,13,2024-11-15,24-273,CHI,@,CLE,L (-18),1,29:53,8,15,.533,6,11,.545,7,7,1.000,0,1,1,3,2,0,4,3,29,20.9,-11
14,14,2024-11-17,24-275,CHI,,HOU,L (-36),1,24:56,3,8,.375,2,4,.500,0,0,,1,1,2,4,0,1,1,1,8,6.7,-17
15,15,2024-11-18,24-276,CHI,@,DET,W (+10),1,33:15,9,14,.643,5,10,.500,2,2,1.000,0,4,4,4,0,1,1,3,25,21.3,-3
16,16,2024-11-20,24-278,CHI,@,MIL,L (-16),1,31:51,6,15,.400,2,8,.250,0,0,,0,2,2,2,0,0,3,4,14,3.3,0
17,17,2024-11-22,24-280,CHI,,ATL,W (+14),1,37:21,6,16,.375,3,12,.250,5,6,.833,1,5,6,9,2,0,0,1,20,20.9,+18
18,18,2024-11-23,24-281,CHI,,MEM,L (-11),1,29:54,4,11,.364,2,4,.500,1,2,.500,2,2,4,5,1,1,1,3,11,9.5,-5
19,19,2024-11-26,24-284,CHI,@,WAS,W (+19),1,31:06,7,13,.538,5,9,.556,2,2,1.000,0,8,8,2,1,0,0,2,21,18.7,+15
20,20,2024-11-27,24-285,CHI,@,ORL,L (-14),1,25:59,3,10,.300,2,7,.286,1,1,1.000,0,2,2,2,0,0,5,2,9,-0.6,-29
21,21,2024-11-29,24-287,CHI,,BOS,L (-9),1,32:35,3,11,.273,1,7,.143,4,5,.800,1,5,6,4,0,0,2,0,11,7.1,+7
22,,2024-12-02,24-290,CHI,,BRK,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2024-12-05,24-293,CHI,@,SAS,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,22,2024-12-06,24-294,CHI,,IND,L (-9),1,31:57,7,19,.368,4,12,.333,1,1,1.000,0,4,4,9,1,0,2,2,19,14.2,+7
25,23,2024-12-08,24-296,CHI,,PHI,L (-8),1,36:52,5,17,.294,3,11,.273,0,0,,1,3,4,5,0,0,0,4,13,6.6,+5
26,24,2024-12-13,24-301,CHI,,CHO,W (+14),1,32:29,6,15,.400,2,9,.222,4,4,1.000,0,2,2,1,2,0,3,3,18,9.0,-2
27,25,2024-12-16,24-304,CHI,@,TOR,W (+1),1,34:38,5,15,.333,3,7,.429,6,7,.857,0,0,0,5,3,0,4,4,19,11.0,+10
28,26,2024-12-19,24-307,CHI,@,BOS,W (+9),1,32:18,4,11,.364,1,5,.200,3,4,.750,2,4,6,3,0,0,0,3,12,9.0,-3
29,27,2024-12-21,24-309,CHI,,BOS,L (-25),1,25:24,5,14,.357,2,8,.250,2,2,1.000,0,0,0,1,1,0,3,4,14,3.3,-23
30,28,2024-12-23,24-311,CHI,,MIL,L (-21),1,34:04,4,11,.364,2,6,.333,0,0,,1,1,2,3,1,0,3,0,10,5.0,-13
31,29,2024-12-26,24-314,CHI,@,ATL,L (-8),1,34:23,8,13,.615,5,8,.625,2,2,1.000,0,3,3,9,1,0,3,3,23,21.1,-16
32,30,2024-12-28,24-316,CHI,,MIL,W (+5),1,34:11,9,16,.563,1,5,.200,3,3,1.000,0,2,2,4,0,1,1,3,22,16.3,+12
33,31,2024-12-30,24-318,CHI,@,CHO,W (+7),1,40:54,8,24,.333,1,11,.091,6,7,.857,1,9,10,9,1,0,3,2,23,15.9,-3
34,32,2025-01-01,24-320,CHI,@,WAS,L (-18),1,31:00,5,11,.455,2,6,.333,5,5,1.000,0,2,2,6,1,0,4,3,17,11.9,-22
35,33,2025-01-04,24-323,CHI,,NYK,W (+13),1,33:30,11,17,.647,9,11,.818,2,2,1.000,1,1,2,3,0,0,2,0,33,26.6,+10
36,34,2025-01-06,24-325,CHI,,SAS,W (+4),1,36:07,9,18,.500,3,6,.500,2,2,1.000,0,2,2,4,4,0,2,3,23,18.2,+7
37,35,2025-01-08,24-327,CHI,@,IND,L (-16),1,31:03,8,17,.471,3,10,.300,0,1,.000,0,2,2,5,0,0,2,2,19,11.2,-13
38,36,2025-01-10,24-329,CHI,,WAS,W (+33),1,27:55,5,12,.417,3,9,.333,2,2,1.000,1,3,4,6,0,1,4,0,15,11.1,+11
39,,2025-01-12,24-331,CHI,,SAC,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,37,2025-01-14,24-333,CHI,,NOP,L (-6),1,33:39,8,17,.471,1,8,.125,5,5,1.000,0,3,3,4,0,0,0,3,22,15.8,-6
41,38,2025-01-15,24-334,CHI,,ATL,L (-16),1,32:32,5,14,.357,1,7,.143,5,5,1.000,0,2,2,6,1,1,3,2,16,10.9,-12
42,39,2025-01-17,24-336,CHI,,CHO,L (-2),1,32:56,6,7,.857,4,5,.800,2,3,.667,0,5,5,8,1,0,3,2,18,19.4,+4
43,40,2025-01-19,24-338,CHI,@,POR,L (-11),1,27:22,4,10,.400,1,4,.250,0,2,.000,0,3,3,0,0,0,2,0,9,1.7,-8
44,,2025-01-20,24-339,CHI,@,LAC,W (+13),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
45,,2025-01-23,24-342,CHI,@,GSW,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,2025-01-25,24-344,CHI,,PHI,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
