Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,22-103,CHI,@,NOP,L (-12),0,1:46,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+3
2,2,2024-10-25,22-105,CHI,@,MIL,W (+11),0,12:21,0,1,.000,0,0,,3,4,.750,1,1,2,1,1,1,0,2,3,4.5,+4
3,3,2024-10-26,22-106,CHI,,OKC,L (-19),0,4:26,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,+1
4,4,2024-10-28,22-108,CHI,@,MEM,W (+3),0,12:25,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,4,0,-0.9,0
5,5,2024-10-30,22-110,CHI,,ORL,W (+3),0,11:03,1,6,.167,0,2,.000,0,0,,0,2,2,0,0,0,0,2,2,-2.0,-9
6,6,2024-11-01,22-112,CHI,@,BRK,L (-8),0,13:39,2,3,.667,0,0,,1,2,.500,0,2,2,1,0,1,0,1,5,4.9,0
7,7,2024-11-04,22-115,CHI,,UTA,L (-9),0,17:43,2,5,.400,0,2,.000,0,1,.000,2,0,2,4,0,1,1,2,4,4.0,-6
8,8,2024-11-06,22-117,CHI,@,DAL,L (-20),0,23:42,3,7,.429,1,3,.333,3,4,.750,3,1,4,1,2,0,3,1,10,7.6,+3
9,9,2024-11-07,22-118,CHI,,MIN,L (-16),0,16:26,3,4,.750,0,0,,0,0,,1,2,3,1,1,1,2,1,6,5.7,+3
10,10,2024-11-09,22-120,CHI,@,ATL,W (+12),0,14:22,2,4,.500,1,3,.333,4,4,1.000,2,2,4,1,0,1,0,1,9,10.0,0
11,11,2024-11-11,22-122,CHI,,CLE,L (-6),0,15:08,2,4,.500,0,0,,0,0,,2,2,4,0,0,0,1,3,4,1.8,-15
