Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,24-221,CHI,@,NOP,L (-12),0,17:18,5,8,.625,1,3,.333,4,4,1.000,3,2,5,0,1,0,0,2,15,14.3,+2
2,2,2024-10-25,24-223,CHI,@,MIL,W (+11),0,14:50,4,9,.444,3,5,.600,0,0,,3,2,5,1,0,0,1,4,11,7.1,+6
3,3,2024-10-26,24-224,CHI,,OKC,L (-19),0,11:03,1,4,.250,1,2,.500,1,2,.500,2,4,6,0,0,0,0,2,4,3.0,-6
4,4,2024-10-28,24-226,CHI,@,MEM,W (+3),0,11:31,4,5,.800,3,4,.750,5,9,.556,0,7,7,1,1,0,0,2,16,15.5,+8
5,,2024-10-30,24-228,CHI,,ORL,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
6,5,2024-11-01,24-230,CHI,@,BRK,L (-8),0,13:35,2,4,.500,1,3,.333,0,0,,1,4,5,0,0,1,1,1,5,4.2,-1
7,6,2024-11-04,24-233,CHI,,UTA,L (-9),0,15:07,3,9,.333,2,5,.400,0,0,,2,1,3,1,1,1,0,3,8,5.8,-6
8,7,2024-11-06,24-235,CHI,@,DAL,L (-20),0,15:45,1,5,.200,0,3,.000,0,0,,0,5,5,0,1,0,1,4,2,-1.2,-2
9,8,2024-11-07,24-236,CHI,,MIN,L (-16),0,15:46,4,7,.571,1,4,.250,0,0,,2,4,6,0,1,0,1,1,9,7.9,0
10,9,2024-11-09,24-238,CHI,@,ATL,W (+12),0,16:33,4,10,.400,2,5,.400,0,0,,1,4,5,2,0,1,1,2,10,6.8,+6
11,,2024-11-11,24-240,CHI,,CLE,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,10,2024-11-13,24-242,CHI,@,NYK,W (+1),0,13:33,0,2,.000,0,2,.000,0,0,,0,4,4,1,0,0,2,2,0,-2.3,-13
13,11,2024-11-15,24-244,CHI,@,CLE,L (-18),0,14:08,2,3,.667,0,1,.000,2,2,1.000,0,3,3,1,0,0,0,0,6,6.3,0
14,12,2024-11-17,24-246,CHI,,HOU,L (-36),0,14:37,2,7,.286,0,3,.000,1,1,1.000,3,4,7,0,0,3,0,2,5,5.5,+10
15,13,2024-11-18,24-247,CHI,@,DET,W (+10),0,12:55,2,5,.400,2,3,.667,2,2,1.000,2,3,5,2,1,0,2,0,8,8.0,-14
16,14,2024-11-20,24-249,CHI,@,MIL,L (-16),0,11:43,2,5,.400,1,3,.333,0,0,,0,1,1,2,0,0,1,2,5,2.2,-12
17,15,2024-11-22,24-251,CHI,,ATL,W (+14),0,14:37,4,5,.800,4,5,.800,1,2,.500,1,4,5,0,0,2,0,0,13,14.0,+9
18,16,2024-11-23,24-252,CHI,,MEM,L (-11),0,15:22,3,5,.600,1,3,.333,0,0,,1,4,5,0,0,1,0,0,7,7.3,-8
19,17,2024-11-26,24-255,CHI,@,WAS,W (+19),0,17:33,5,11,.455,0,4,.000,2,3,.667,3,6,9,2,0,1,1,2,12,10.1,+1
20,,2024-11-27,24-256,CHI,@,ORL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,18,2024-11-29,24-258,CHI,,BOS,L (-9),0,13:55,1,4,.250,0,3,.000,0,0,,0,7,7,1,1,1,0,0,2,4.1,+10
22,19,2024-12-02,24-261,CHI,,BRK,W (+26),0,15:25,2,5,.400,1,2,.500,3,3,1.000,2,3,5,0,1,0,2,0,8,6.6,-5
23,20,2024-12-05,24-264,CHI,@,SAS,W (+15),0,12:03,3,6,.500,1,4,.250,2,2,1.000,1,2,3,1,0,2,1,2,9,7.6,+2
24,21,2024-12-06,24-265,CHI,,IND,L (-9),0,18:09,3,6,.500,0,3,.000,4,4,1.000,3,4,7,0,0,1,0,1,10,10.6,0
25,22,2024-12-08,24-267,CHI,,PHI,L (-8),0,19:11,4,7,.571,3,5,.600,0,0,,0,4,4,0,0,1,0,3,11,8.4,+5
26,23,2024-12-13,24-272,CHI,,CHO,W (+14),1,28:46,3,10,.300,1,5,.200,4,6,.667,3,8,11,2,0,5,0,4,11,12.2,+14
27,24,2024-12-16,24-275,CHI,@,TOR,W (+1),0,15:46,3,5,.600,2,2,1.000,2,2,1.000,2,3,5,1,1,0,0,0,10,11.7,+2
28,25,2024-12-19,24-278,CHI,@,BOS,W (+9),0,15:00,0,0,,0,0,,0,0,,1,5,6,1,0,0,1,1,0,1.5,+1
29,26,2024-12-21,24-280,CHI,,BOS,L (-25),0,16:36,1,3,.333,0,1,.000,0,0,,0,8,8,1,0,0,0,0,2,3.4,-16
30,27,2024-12-23,24-282,CHI,,MIL,L (-21),0,16:47,6,11,.545,1,5,.200,1,1,1.000,2,5,7,2,0,0,2,2,14,10.2,-10
31,28,2024-12-26,24-285,CHI,@,ATL,L (-8),0,11:56,4,5,.800,0,0,,0,0,,1,5,6,0,0,0,0,2,8,7.5,0
32,,2024-12-28,24-287,CHI,,MIL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,29,2024-12-30,24-289,CHI,@,CHO,W (+7),0,18:09,5,10,.500,1,6,.167,0,0,,1,4,5,0,1,1,0,1,11,9.2,+11
34,30,2025-01-01,24-291,CHI,@,WAS,L (-18),0,13:42,1,6,.167,1,4,.250,0,0,,0,2,2,0,1,1,1,2,3,-0.3,-17
