Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,22-013,CHI,@,NOP,L (-12),1,30:29,5,11,.455,0,1,.000,4,7,.571,1,4,5,3,0,0,3,1,14,7.7,-22
2,2,2024-10-25,22-015,CHI,@,MIL,W (+11),1,24:28,6,10,.600,2,2,1.000,3,4,.750,0,6,6,9,0,0,1,0,17,19.1,+2
3,3,2024-10-26,22-016,CHI,,OKC,L (-19),1,26:26,6,14,.429,2,6,.333,0,0,,2,5,7,4,0,0,4,2,14,7.5,-21
4,4,2024-10-28,22-018,CHI,@,MEM,W (+3),1,27:56,4,10,.400,2,4,.500,2,4,.500,4,9,13,8,1,1,2,1,12,16.2,+11
5,5,2024-10-30,22-020,CHI,,ORL,W (+3),1,31:09,6,11,.545,4,4,1.000,4,6,.667,1,10,11,5,1,0,1,2,20,20.3,+11
6,6,2024-11-01,22-022,CHI,@,BRK,L (-8),1,33:23,5,17,.294,0,4,.000,1,4,.250,3,3,6,8,2,0,4,1,11,6.1,-15
7,7,2024-11-04,22-025,CHI,,UTA,L (-9),1,30:01,5,11,.455,1,4,.250,4,5,.800,0,2,2,7,1,0,3,0,15,12.4,-18
8,8,2024-11-06,22-027,CHI,@,DAL,L (-20),1,27:51,3,9,.333,1,3,.333,3,4,.750,1,2,3,6,1,0,5,1,10,5.6,-22
9,9,2024-11-07,22-028,CHI,,MIN,L (-16),1,29:45,3,12,.250,1,4,.250,2,3,.667,1,5,6,13,0,0,0,1,9,12.3,-15
10,10,2024-11-09,22-030,CHI,@,ATL,W (+12),1,25:23,5,9,.556,1,1,1.000,2,2,1.000,2,4,6,7,2,0,3,2,13,14.4,+3
11,11,2024-11-11,22-032,CHI,,CLE,L (-6),1,31:25,7,11,.636,2,4,.500,2,2,1.000,1,7,8,7,1,1,4,4,18,16.9,+2
12,12,2024-11-13,22-034,CHI,@,NYK,W (+1),1,28:08,2,7,.286,1,3,.333,0,0,,1,1,2,6,1,0,2,1,5,4.7,+19
13,13,2024-11-15,22-036,CHI,@,CLE,L (-18),1,15:11,2,9,.222,1,5,.200,0,0,,0,3,3,1,1,0,0,4,5,0.5,-27
14,14,2024-11-17,22-038,CHI,,HOU,L (-36),1,21:07,3,10,.300,1,6,.167,2,2,1.000,2,7,9,5,0,1,1,1,9,9.5,-19
15,15,2024-11-18,22-039,CHI,@,DET,W (+10),1,28:47,5,10,.500,1,4,.250,0,0,,2,6,8,10,0,0,4,3,11,11.0,+13
16,16,2024-11-20,22-041,CHI,@,MIL,L (-16),1,25:44,2,9,.222,1,4,.250,0,0,,2,2,4,3,0,0,2,1,5,1.2,-15
17,17,2024-11-22,22-043,CHI,,ATL,W (+14),1,33:09,8,10,.800,1,3,.333,1,1,1.000,1,5,6,8,0,2,2,3,18,20.2,+19
18,18,2024-11-23,22-044,CHI,,MEM,L (-11),1,21:02,5,10,.500,2,4,.500,0,0,,1,6,7,8,0,2,0,1,12,16.1,-4
19,19,2024-11-26,22-047,CHI,@,WAS,W (+19),1,25:40,2,6,.333,0,1,.000,7,8,.875,0,4,4,8,1,0,3,2,11,11.2,+14
20,20,2024-11-27,22-048,CHI,@,ORL,L (-14),1,23:19,5,6,.833,2,3,.667,1,1,1.000,1,1,2,5,1,2,3,3,13,13.5,-21
21,21,2024-11-29,22-050,CHI,,BOS,L (-9),1,24:21,2,6,.333,0,2,.000,0,0,,1,7,8,9,3,0,3,0,4,9.7,+14
22,22,2024-12-02,22-053,CHI,,BRK,W (+26),1,31:54,9,17,.529,1,8,.125,1,3,.333,1,12,13,11,1,1,5,2,20,18.8,+7
23,23,2024-12-05,22-056,CHI,@,SAS,W (+15),1,24:07,3,5,.600,1,1,1.000,1,2,.500,0,4,4,4,0,0,3,1,8,5.9,+5
24,24,2024-12-06,22-057,CHI,,IND,L (-9),1,26:24,5,13,.385,0,6,.000,0,0,,1,4,5,6,1,0,3,1,10,6.6,-10
25,25,2024-12-08,22-059,CHI,,PHI,L (-8),1,31:48,4,10,.400,1,4,.250,0,0,,0,7,7,11,2,1,4,0,9,12.1,0
26,26,2024-12-13,22-064,CHI,,CHO,W (+14),1,29:24,7,13,.538,3,8,.375,0,0,,3,6,9,7,4,0,5,1,17,18.1,+15
27,27,2024-12-16,22-067,CHI,@,TOR,W (+1),1,23:52,3,4,.750,1,2,.500,4,4,1.000,1,8,9,8,2,1,3,2,11,17.0,+12
28,,2024-12-19,22-070,CHI,@,BOS,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2024-12-21,22-072,CHI,,BOS,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2024-12-23,22-074,CHI,,MIL,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2024-12-26,22-077,CHI,@,ATL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,28,2024-12-28,22-079,CHI,,MIL,W (+5),1,29:29,9,15,.600,2,6,.333,3,4,.750,2,13,15,10,1,1,2,1,23,27.3,+18
33,29,2024-12-30,22-081,CHI,@,CHO,W (+7),1,30:27,4,16,.250,1,9,.111,4,4,1.000,5,7,12,6,1,0,2,0,13,12.2,-4
34,30,2025-01-01,22-083,CHI,@,WAS,L (-18),1,26:16,3,8,.375,0,1,.000,0,0,,3,3,6,2,1,1,5,1,6,2.3,-17
35,31,2025-01-04,22-086,CHI,,NYK,W (+13),1,30:36,5,10,.500,3,3,1.000,2,2,1.000,0,10,10,8,1,1,2,2,15,17.5,+10
36,32,2025-01-06,22-088,CHI,,SAS,W (+4),1,31:16,3,12,.250,0,2,.000,0,0,,2,5,7,3,2,1,2,0,6,4.5,-2
37,33,2025-01-08,22-090,CHI,@,IND,L (-16),1,21:47,4,7,.571,1,2,.500,0,0,,2,3,5,5,1,0,5,2,9,6.7,-8
38,34,2025-01-10,22-092,CHI,,WAS,W (+33),1,31:34,5,11,.455,2,4,.500,0,0,,2,11,13,7,3,0,1,0,12,17.9,+23
39,35,2025-01-12,22-094,CHI,,SAC,L (-5),1,36:31,4,9,.444,1,2,.500,3,4,.750,2,9,11,7,1,0,3,4,12,12.3,+2
40,36,2025-01-14,22-096,CHI,,NOP,L (-6),1,33:47,2,12,.167,1,6,.167,2,2,1.000,5,8,13,12,4,1,2,2,7,15.6,-8
41,37,2025-01-15,22-097,CHI,,ATL,L (-16),1,29:48,3,8,.375,1,2,.500,0,0,,0,10,10,3,0,2,3,3,7,4.9,-20
42,38,2025-01-17,22-099,CHI,,CHO,L (-2),1,26:13,3,7,.429,0,2,.000,0,0,,2,3,5,5,0,0,4,2,6,3.3,-16
43,39,2025-01-19,22-101,CHI,@,POR,L (-11),1,29:20,0,2,.000,0,1,.000,0,0,,2,1,3,4,1,1,2,3,0,1.6,-15
44,40,2025-01-20,22-102,CHI,@,LAC,W (+13),1,40:24,7,9,.778,2,4,.500,2,2,1.000,3,7,10,9,1,0,2,3,18,22.8,+17
45,41,2025-01-23,22-105,CHI,@,GSW,L (-25),1,33:35,6,12,.500,2,4,.500,2,3,.667,2,9,11,3,1,1,3,3,16,13.3,-12
46,42,2025-01-25,22-107,CHI,,PHI,L (-12),1,38:19,4,13,.308,1,4,.250,1,1,1.000,4,6,10,7,0,0,5,1,10,6.6,-7
47,43,2025-01-27,22-109,CHI,,DEN,W (+8),1,26:43,5,8,.625,2,4,.500,0,0,,2,2,4,10,3,1,4,1,12,16.7,-8
48,44,2025-01-29,22-111,CHI,@,BOS,L (-22),1,25:32,4,8,.500,1,4,.250,1,2,.500,1,3,4,6,1,0,1,2,10,10.6,-15
49,45,2025-01-31,22-113,CHI,@,TOR,W (+16),1,30:35,6,11,.545,1,4,.250,2,2,1.000,1,6,7,6,0,2,3,1,15,14.4,+8
50,46,2025-02-02,22-115,CHI,@,DET,L (-8),1,35:51,7,17,.412,3,8,.375,3,4,.750,2,8,10,4,3,0,2,1,20,17.7,+7
51,47,2025-02-04,22-117,CHI,,MIA,W (+9),1,29:48,8,14,.571,2,5,.400,6,8,.750,1,4,5,7,1,0,2,2,24,21.6,+7
