Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,20-010,CHI,@,NOP,L (-12),0,4:42,0,3,.000,0,3,.000,0,0,,0,2,2,1,0,0,0,1,0,-1.2,+8
2,2,2024-10-25,20-012,CHI,@,MIL,W (+11),0,8:59,1,3,.333,0,1,.000,0,0,,0,0,0,2,1,0,0,2,2,1.9,-6
3,3,2024-10-26,20-013,CHI,,OKC,L (-19),0,7:07,1,3,.333,0,0,,1,2,.500,1,0,1,0,0,0,1,1,3,0.2,+1
4,4,2024-10-28,20-015,CHI,@,MEM,W (+3),0,2:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-6
5,5,2024-10-30,20-017,CHI,,ORL,W (+3),0,4:06,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
6,,2024-11-01,20-019,CHI,@,BRK,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,6,2024-11-04,20-022,CHI,,UTA,L (-9),0,4:19,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-10
8,7,2024-11-06,20-024,CHI,@,DAL,L (-20),0,22:51,4,9,.444,3,4,.750,2,2,1.000,3,6,9,0,2,1,1,0,13,13.9,-2
9,8,2024-11-07,20-025,CHI,,MIN,L (-16),0,16:50,1,3,.333,0,2,.000,0,0,,1,2,3,0,2,2,2,1,2,2.6,+2
10,9,2024-11-09,20-027,CHI,@,ATL,W (+12),0,5:22,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,2,2,0,-3.3,-8
11,10,2024-11-11,20-029,CHI,,CLE,L (-6),0,3:44,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,0
12,11,2024-11-13,20-031,CHI,@,NYK,W (+1),0,12:07,1,6,.167,0,3,.000,2,2,1.000,0,4,4,0,0,3,0,0,4,3.5,-10
13,12,2024-11-15,20-033,CHI,@,CLE,L (-18),0,8:26,3,3,1.000,3,3,1.000,0,0,,0,2,2,0,0,1,0,0,9,9.4,+8
14,13,2024-11-17,20-035,CHI,,HOU,L (-36),0,15:54,2,6,.333,2,3,.667,2,2,1.000,1,2,3,0,1,0,2,2,8,4.1,-4
