Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,23-333,CHI,@,NOP,L (-12),0,7:31,0,1,.000,0,0,,0,2,.000,0,2,2,1,0,0,1,0,0,-1.2,+4
2,2,2024-10-25,23-335,CHI,@,MIL,W (+11),0,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
3,3,2024-10-26,23-336,CHI,,OKC,L (-19),0,4:26,0,0,,0,0,,2,2,1.000,1,1,2,0,0,0,2,0,2,1.0,+1
4,,2024-10-28,23-338,CHI,@,MEM,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2024-10-30,23-340,CHI,,ORL,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,4,2024-11-01,23-342,CHI,@,BRK,L (-8),0,7:16,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,2.7,-1
7,5,2024-11-04,23-345,CHI,,UTA,L (-9),0,28:19,2,7,.286,0,3,.000,6,7,.857,1,5,6,4,0,0,0,3,10,9.3,+5
8,6,2024-11-06,23-347,CHI,@,DAL,L (-20),0,16:04,4,7,.571,0,2,.000,0,0,,0,2,2,4,0,1,0,1,8,8.4,+7
9,7,2024-11-07,23-348,CHI,,MIN,L (-16),0,18:19,5,9,.556,2,3,.667,1,2,.500,1,4,5,2,0,0,0,0,13,11.6,-6
10,,2024-11-09,23-350,CHI,@,ATL,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
