Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-24,26-340,SAS,@,DAL,L (-11),0,13:33,2,3,.667,1,1,1.000,0,0,,2,3,5,1,1,0,1,3,5,5.5,-1
2,2,2024-10-26,26-342,SAS,,HOU,W (+3),0,17:48,1,4,.250,0,0,,2,2,1.000,2,6,8,2,0,0,0,3,4,5.0,+3
3,3,2024-10-28,26-344,SAS,,HOU,L (-5),0,12:47,3,4,.750,1,2,.500,4,4,1.000,1,2,3,1,2,0,0,2,11,12.6,+2
4,4,2024-10-30,26-346,SAS,@,OKC,L (-12),0,12:28,1,3,.333,1,2,.500,0,0,,2,2,4,1,0,1,2,1,3,2.3,-10
5,5,2024-10-31,26-347,SAS,@,UTA,W (+18),0,11:10,0,3,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,1,0,-2.5,-21
6,6,2024-11-02,26-349,SAS,,MIN,W (+10),0,12:45,2,3,.667,1,2,.500,2,2,1.000,0,1,1,5,1,1,2,2,7,8.4,+4
7,7,2024-11-04,26-351,SAS,@,LAC,L (-9),0,13:54,0,5,.000,0,3,.000,4,4,1.000,2,1,3,1,2,0,0,2,4,4.1,+12
8,8,2024-11-06,26-353,SAS,@,HOU,L (-27),0,15:07,2,5,.400,1,2,.500,1,2,.500,0,1,1,3,0,0,2,0,6,3.3,-9
9,9,2024-11-07,26-354,SAS,,POR,W (+13),0,15:10,6,7,.857,2,3,.667,0,0,,1,1,2,3,0,0,1,4,14,12.0,+20
10,10,2024-11-09,26-356,SAS,,UTA,L (-1),0,15:19,2,5,.400,1,1,1.000,0,0,,1,2,3,4,1,0,0,4,5,5.8,-5
11,11,2024-11-11,26-358,SAS,,SAC,W (+20),0,13:06,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,1,1,2,3,1.2,-6
12,12,2024-11-13,26-360,SAS,,WAS,W (+9),0,15:32,2,5,.400,1,2,.500,0,0,,2,5,7,6,0,0,0,2,5,8.6,-4
13,13,2024-11-15,26-362,SAS,,LAL,L (-5),0,13:59,3,3,1.000,0,0,,0,0,,2,1,3,2,0,1,2,3,6,5.7,-4
14,14,2024-11-16,26-363,SAS,@,DAL,L (-17),1,26:15,6,13,.462,0,5,.000,8,8,1.000,2,4,6,0,1,3,2,5,20,15.0,-15
15,15,2024-11-19,27-000,SAS,,OKC,W (+6),1,26:06,5,7,.714,1,2,.500,1,1,1.000,0,7,7,3,1,1,1,1,12,13.6,0
16,16,2024-11-21,27-002,SAS,,UTA,W (+8),1,20:59,6,9,.667,0,2,.000,6,8,.750,1,4,5,0,0,1,3,5,18,10.9,-8
17,17,2024-11-23,27-004,SAS,,GSW,W (+10),0,12:08,0,4,.000,0,1,.000,0,0,,1,3,4,1,0,1,0,2,0,-0.6,-8
18,18,2024-11-26,27-007,SAS,@,UTA,W (+13),0,6:04,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,2,0,0.2,-4
19,19,2024-11-27,27-008,SAS,,LAL,L (-18),0,11:03,2,2,1.000,0,0,,0,0,,1,1,2,1,0,0,0,0,4,5.1,-6
20,20,2024-12-01,27-012,SAS,@,SAC,W (+2),0,5:43,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,-3
21,21,2024-12-03,27-014,SAS,@,PHO,L (-11),0,13:37,0,7,.000,0,3,.000,0,0,,2,0,2,2,1,0,1,1,0,-2.5,+4
22,22,2024-12-05,27-016,SAS,,CHI,L (-15),0,24:22,4,6,.667,1,1,1.000,0,0,,1,3,4,3,1,2,1,3,9,10.3,-6
23,23,2024-12-06,27-017,SAS,,SAC,L (-27),1,9:26,1,2,.500,0,1,.000,0,1,.000,1,1,2,1,0,0,0,3,2,1.1,+3
24,24,2024-12-08,27-019,SAS,,NOP,W (+5),0,3:03,1,2,.500,0,0,,0,0,,2,1,3,0,0,0,0,1,2,2.3,-1
25,,2024-12-13,27-024,SAS,@,POR,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,2024-12-15,27-026,SAS,,MIN,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
