Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,24-240,CLE,@,TOR,W (+30),0,8:30,.400,.400,0.0,0.0,0.0,14.2,0.0,0.0,0.0,25.3,97,119,2.0,-11.4
2,2,2024-10-25,24-242,CLE,,DET,W (+12),0,1:17,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111,0.0,-7.9
3,3,2024-10-26,24-243,CLE,@,WAS,W (+19),0,3:22,,,0.0,51.8,30.3,30.3,0.0,53.8,,0.0,238,74,2.7,35.0
4,,2024-10-28,24-245,CLE,@,NYK,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2024-10-30,24-247,CLE,,LAL,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2024-11-01,24-249,CLE,,ORL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,4,2024-11-02,24-250,CLE,@,MIL,W (+1),0,5:26,,,0.0,19.6,9.8,40.2,0.0,0.0,,0.0,234,120,1.7,6.2
8,5,2024-11-04,24-252,CLE,,MIL,W (+2),0,5:28,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.2,0,123,-1.0,-18.3
9,6,2024-11-06,24-254,CLE,@,NOP,W (+9),0,5:13,.833,.833,0.0,21.9,11.6,0.0,0.0,30.2,25.0,32.1,101,101,4.0,17.7
10,7,2024-11-08,24-256,CLE,,GSW,W (+19),0,3:26,1.000,1.000,0.0,0.0,0.0,43.7,0.0,0.0,0.0,11.9,214,118,2.4,12.2
11,,2024-11-09,24-257,CLE,,BRK,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
