Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,24-271,CLE,@,TOR,W (+30),1,22:42,.292,.292,0.0,5.0,2.9,28.4,0.0,0.0,14.3,26.6,82,116,0.7,-18.3
2,2,2024-10-25,24-273,CLE,,DET,W (+12),1,33:02,.591,.591,0.0,6.9,3.6,25.1,1.5,0.0,21.4,19.4,102,107,9.3,-2.9
3,3,2024-10-26,24-274,CLE,@,WAS,W (+19),1,23:57,1.005,1.000,0.0,7.3,4.3,34.6,3.8,0.0,25.9,25.8,144,113,19.4,11.2
4,4,2024-10-28,24-276,CLE,@,NYK,W (+6),1,32:45,.802,.763,3.8,6.5,5.2,20.5,3.0,4.7,12.4,33.3,141,107,28.1,19.7
5,5,2024-10-30,24-278,CLE,,LAL,W (+24),1,22:11,.429,.429,0.0,0.0,0.0,47.9,4.1,0.0,12.5,30.8,105,104,10.0,-0.5
6,6,2024-11-01,24-280,CLE,,ORL,W (+11),1,28:33,.671,.594,4.3,6.9,5.7,22.0,1.6,2.9,13.9,33.4,124,104,17.8,5.0
7,7,2024-11-02,24-281,CLE,@,MIL,W (+1),1,33:34,.423,.423,6.4,3.2,4.8,38.8,0.0,0.0,0.0,17.8,126,124,11.8,-0.9
8,8,2024-11-04,24-283,CLE,,MIL,W (+2),1,34:45,.852,.841,2.9,3.4,3.1,43.7,0.0,0.0,8.0,32.2,155,123,33.8,18.0
9,9,2024-11-06,24-285,CLE,@,NOP,W (+9),1,29:58,.700,.700,0.0,3.8,2.0,32.8,1.6,2.6,23.1,18.2,131,125,13.5,3.2
10,10,2024-11-08,24-287,CLE,,GSW,W (+19),1,30:17,.720,.706,0.0,10.6,5.7,30.0,4.5,0.0,17.6,30.7,123,106,22.4,9.1
11,11,2024-11-09,24-288,CLE,,BRK,W (+5),1,32:16,.842,.818,0.0,3.8,2.2,31.8,1.6,0.0,20.2,22.5,137,116,16.8,5.3
12,12,2024-11-11,24-290,CLE,@,CHI,W (+6),1,29:55,.464,.441,2.9,4.1,3.4,25.3,6.2,0.0,5.2,26.6,104,104,14.2,2.0
13,13,2024-11-13,24-292,CLE,@,PHI,W (+8),1,34:22,.687,.656,6.7,8.6,7.7,29.9,0.0,0.0,14.2,28.6,131,119,20.1,2.4
14,14,2024-11-15,24-294,CLE,,CHI,W (+18),1,34:09,.688,.611,0.0,10.8,5.5,33.0,1.3,0.0,19.2,31.4,122,119,22.4,-0.2
15,15,2024-11-17,24-296,CLE,,CHO,W (+14),1,30:27,.626,.500,0.0,14.1,9.0,57.4,0.0,0.0,9.1,31.7,145,119,23.7,6.8
16,16,2024-11-19,24-298,CLE,@,BOS,L (-3),1,31:04,.183,.143,0.0,8.1,3.7,26.1,1.6,3.4,8.4,34.3,58,127,-0.3,-17.7
17,,2024-11-20,24-299,CLE,,NOP,W (+28),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
18,17,2024-11-24,24-303,CLE,,TOR,W (+14),1,30:56,.571,.571,3.1,5.7,4.5,24.1,1.5,0.0,12.5,21.2,119,112,11.5,0.6
19,18,2024-11-27,24-306,CLE,,ATL,L (-11),1,32:34,.620,.571,3.0,3.2,3.1,30.6,1.4,0.0,6.1,20.0,135,135,16.7,0.7
20,19,2024-11-29,24-308,CLE,@,ATL,L (-16),1,33:01,.729,.711,2.7,7.5,4.7,33.0,1.4,0.0,9.1,28.0,135,118,22.7,13.5
21,20,2024-12-01,24-310,CLE,,BOS,W (+4),1,32:20,.709,.583,0.0,15.5,8.2,37.6,0.0,0.0,0.0,21.1,161,115,21.1,9.8
22,21,2024-12-03,24-312,CLE,,WAS,W (+31),1,16:41,.761,.714,0.0,0.0,0.0,27.4,2.8,0.0,20.2,25.6,122,91,8.6,4.6
23,22,2024-12-05,24-314,CLE,,DEN,W (+12),1,33:15,.563,.525,0.0,0.0,0.0,17.0,0.0,0.0,4.5,27.3,115,111,14.2,-2.5
24,23,2024-12-07,24-316,CLE,@,CHO,W (+14),1,32:59,.520,.469,3.5,3.4,3.5,22.9,0.0,3.1,10.4,26.4,116,118,11.6,-5.4
25,24,2024-12-08,24-317,CLE,@,MIA,L (-9),1,32:23,.554,.526,0.0,18.1,8.9,26.8,0.0,0.0,8.8,32.8,107,129,15.5,-1.5
26,25,2024-12-13,24-322,CLE,,WAS,W (+10),1,33:23,.561,.441,0.0,18.0,7.6,42.0,2.9,0.0,15.7,30.5,112,104,19.2,4.5
27,26,2024-12-16,24-325,CLE,@,BRK,W (+29),1,24:00,.854,.833,0.0,0.0,0.0,34.3,2.0,4.3,48.2,22.5,98,107,7.9,-2.0
