Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,28-046,CLE,@,TOR,W (+30),1,27:40,.615,.571,0.0,8.3,4.7,13.4,5.2,3.2,10.5,29.7,120,102,16.8,4.7
2,2,2024-10-25,28-048,CLE,,DET,W (+12),1,30:07,.417,.405,4.1,3.8,3.9,27.2,0.0,0.0,8.1,37.5,88,110,8.0,-10.6
3,3,2024-10-26,28-049,CLE,@,WAS,W (+19),1,29:18,.776,.778,4.2,8.9,7.0,28.3,6.3,0.0,20.6,33.2,126,107,25.1,13.0
4,4,2024-10-28,28-051,CLE,@,NYK,W (+6),1,33:15,.666,.618,0.0,6.4,3.4,27.8,0.0,0.0,17.6,30.8,117,116,15.6,1.7
5,5,2024-10-30,28-053,CLE,,LAL,W (+24),1,30:27,.600,.600,4.1,9.0,6.5,27.4,4.5,0.0,9.1,30.8,119,102,20.0,7.0
6,6,2024-11-01,28-055,CLE,,ORL,W (+11),1,22:04,.693,.667,0.0,13.3,7.4,8.9,0.0,0.0,5.9,33.7,125,109,13.7,1.6
7,7,2024-11-02,28-056,CLE,@,MIL,W (+1),1,34:33,.561,.520,6.2,3.1,4.6,19.4,0.0,0.0,3.6,36.9,118,124,20.0,3.8
8,8,2024-11-04,28-058,CLE,,MIL,W (+2),1,31:05,.441,.433,0.0,15.1,7.0,16.1,3.1,0.0,20.1,28.8,77,113,7.1,-7.4
9,9,2024-11-06,28-060,CLE,@,NOP,W (+9),1,33:43,.640,.575,0.0,13.6,7.2,11.3,1.4,2.3,8.1,30.6,130,124,21.6,1.8
10,10,2024-11-08,28-062,CLE,,GSW,W (+19),1,26:26,.432,.385,0.0,20.2,10.9,18.8,0.0,0.0,22.4,27.7,83,113,3.2,-15.0
11,11,2024-11-09,28-063,CLE,,BRK,W (+5),1,34:32,.709,.583,0.0,3.6,2.0,4.2,1.5,0.0,6.1,23.3,135,116,15.8,2.9
12,12,2024-11-11,28-065,CLE,@,CHI,W (+6),1,34:33,.628,.596,2.5,24.9,11.8,10.6,5.4,0.0,0.0,34.1,129,102,29.6,15.1
13,13,2024-11-13,28-067,CLE,@,PHI,W (+8),1,34:23,.548,.548,6.6,31.3,19.9,42.7,3.0,0.0,0.0,28.3,133,104,24.5,12.9
14,14,2024-11-15,28-069,CLE,,CHI,W (+18),1,34:06,.709,.674,0.0,25.3,13.0,16.5,1.3,6.1,3.7,32.7,135,113,30.8,9.4
15,,2024-11-17,28-071,CLE,,CHO,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,15,2024-11-19,28-073,CLE,@,BOS,L (-3),1,40:09,.538,.500,2.7,22.0,11.5,11.8,0.0,0.0,3.0,37.3,114,130,21.4,-0.6
17,16,2024-11-20,28-074,CLE,,NOP,W (+28),1,19:37,.460,.450,0.0,9.4,5.3,12.5,5.2,0.0,0.0,23.5,119,103,7.8,-4.6
18,17,2024-11-24,28-078,CLE,,TOR,W (+14),1,34:39,.705,.694,0.0,10.3,5.3,4.1,1.4,0.0,14.0,25.4,118,111,16.5,2.7
19,18,2024-11-27,28-081,CLE,,ATL,L (-11),1,36:25,.545,.500,0.0,11.5,5.5,29.9,2.5,2.4,9.8,33.4,110,128,21.0,2.1
20,19,2024-11-29,28-083,CLE,@,ATL,L (-16),1,35:03,.261,.261,5.1,31.6,16.2,26.4,2.7,0.0,8.0,30.2,68,110,5.0,-6.6
21,20,2024-12-01,28-085,CLE,,BOS,W (+4),1,35:22,.714,.714,3.2,17.0,10.6,17.9,2.7,3.0,10.9,34.3,126,106,27.0,13.6
