Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,23-271,CLE,@,TOR,W (+30),0,19:02,.521,.500,0.0,12.0,6.8,10.4,0.0,4.6,25.8,8.8,102,112,2.9,-2.0
2,2,2024-10-25,23-273,CLE,,DET,W (+12),0,17:59,1.000,1.000,6.8,6.4,6.6,21.8,0.0,0.0,0.0,5.1,214,109,5.3,3.0
3,3,2024-10-26,23-274,CLE,@,WAS,W (+19),0,18:54,.242,.000,19.5,9.2,13.5,5.4,4.9,9.6,13.9,15.2,85,106,4.4,-3.9
4,4,2024-10-28,23-276,CLE,@,NYK,W (+6),0,9:10,.000,.000,0.0,0.0,0.0,13.4,5.4,0.0,0.0,9.8,34,107,0.3,-4.1
5,5,2024-10-30,23-278,CLE,,LAL,W (+24),0,19:59,.500,.500,0.0,0.0,0.0,0.0,2.3,0.0,0.0,6.4,96,108,0.3,-7.0
6,6,2024-11-01,23-280,CLE,,ORL,W (+11),0,19:21,.571,.571,6.4,0.0,2.8,0.0,2.4,0.0,0.0,18.0,119,107,6.6,1.4
7,7,2024-11-02,23-281,CLE,@,MIL,W (+1),0,28:06,1.105,1.100,7.6,22.8,15.2,4.6,1.8,0.0,0.0,9.6,216,114,14.0,9.5
8,8,2024-11-04,23-283,CLE,,MIL,W (+2),1,26:18,.500,.500,7.8,4.5,6.2,8.6,1.8,0.0,16.7,10.3,110,118,3.8,-5.4
9,9,2024-11-06,23-285,CLE,@,NOP,W (+9),1,23:51,1.167,1.167,5.4,14.4,10.2,13.1,0.0,0.0,0.0,5.3,233,129,9.8,5.5
10,10,2024-11-08,23-287,CLE,,GSW,W (+19),1,26:30,.800,.800,4.8,0.0,2.2,20.6,0.0,3.2,0.0,15.4,169,116,14.8,9.5
11,11,2024-11-09,23-288,CLE,,BRK,W (+5),1,14:55,.255,.200,0.0,8.3,4.7,8.7,0.0,0.0,0.0,19.2,64,119,0.1,-14.2
12,12,2024-11-11,23-290,CLE,@,CHI,W (+6),1,18:53,.500,.500,0.0,6.5,2.7,6.3,2.4,0.0,0.0,6.5,114,112,2.9,-3.4
13,13,2024-11-13,23-292,CLE,@,PHI,W (+8),1,20:07,.750,.750,0.0,9.7,5.2,0.0,5.1,0.0,0.0,13.8,141,107,7.4,5.7
14,14,2024-11-15,23-294,CLE,,CHI,W (+18),1,26:04,.500,.500,0.0,4.7,2.4,11.7,3.3,4.0,0.0,6.3,129,111,6.3,0.6
15,15,2024-11-17,23-296,CLE,,CHO,W (+14),1,13:47,.750,.750,0.0,0.0,0.0,10.4,0.0,0.0,20.0,15.9,120,126,3.7,-1.4
