Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,21-326,CLE,@,TOR,W (+30),0,6:40,1.064,1.500,0.0,34.3,19.5,16.4,0.0,0.0,51.5,25.1,92,104,1.8,-2.7
2,2,2024-10-25,21-328,CLE,,DET,W (+12),0,1:17,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111,0.0,-6.3
3,3,2024-10-26,21-329,CLE,@,WAS,W (+19),0,7:53,.500,.500,0.0,11.1,6.5,0.0,0.0,0.0,25.0,20.3,74,120,-1.4,-23.3
4,,2024-10-28,21-331,CLE,@,NYK,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,4,2024-10-30,21-333,CLE,,LAL,W (+24),0,5:16,,,0.0,26.0,12.5,16.3,0.0,0.0,,0.0,230,110,1.0,2.9
6,,2024-11-01,21-335,CLE,,ORL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2024-11-02,21-336,CLE,@,MIL,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2024-11-04,21-338,CLE,,MIL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2024-11-06,21-340,CLE,@,NOP,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,5,2024-11-08,21-342,CLE,,GSW,W (+19),0,3:26,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,35.7,0,118,-2.4,-45.5
11,,2024-11-09,21-343,CLE,,BRK,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,,2024-11-11,21-345,CLE,@,CHI,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,,2024-11-13,21-347,CLE,@,PHI,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,,2024-11-15,21-349,CLE,,CHI,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,6,2024-11-17,21-351,CLE,,CHO,W (+14),0,1:34,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,127,0.0,-2.2
16,,2024-11-19,21-353,CLE,@,BOS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,7,2024-11-20,21-354,CLE,,NOP,W (+28),1,37:23,.621,.625,16.0,14.8,15.4,22.5,2.7,0.0,7.2,15.7,154,106,20.0,4.0
18,8,2024-11-24,21-358,CLE,,TOR,W (+14),0,6:51,.000,.000,14.0,0.0,6.7,0.0,6.9,0.0,0.0,12.0,42,103,-0.1,-10.4
19,9,2024-11-27,21-361,CLE,,ATL,L (-11),0,10:44,.500,.500,0.0,19.4,9.4,11.3,0.0,0.0,0.0,7.4,121,132,1.5,-7.7
20,10,2024-11-29,21-363,CLE,@,ATL,L (-16),0,10:57,.798,1.000,24.4,0.0,14.1,0.0,4.3,0.0,34.7,11.1,127,113,3.6,0.7
21,11,2024-12-01,21-365,CLE,,BOS,W (+4),0,3:57,,,0.0,25.3,13.5,0.0,0.0,0.0,,0.0,0,112,-0.5,-10.1
22,12,2024-12-03,22-001,CLE,,WAS,W (+31),0,5:41,.333,.333,18.4,16.6,17.4,24.4,0.0,0.0,0.0,22.8,102,91,2.0,-2.8
23,,2024-12-05,22-003,CLE,,DEN,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,13,2024-12-07,22-005,CLE,@,CHO,W (+14),0,4:52,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0,121,-1.1,-21.9
25,14,2024-12-08,22-006,CLE,@,MIA,L (-9),0,1:39,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,133,0.0,-6.5
26,,2024-12-13,22-011,CLE,,WAS,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,,2024-12-16,22-014,CLE,@,BRK,W (+29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,15,2024-12-20,22-018,CLE,,MIL,W (+23),0,9:13,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,75.0,18.1,0,105,-4.1,-26.7
29,16,2024-12-21,22-019,CLE,,PHI,W (+27),0,14:12,.680,.700,15.7,7.2,11.3,8.9,0.0,0.0,0.0,18.1,157,110,6.9,2.6
30,17,2024-12-23,22-021,CLE,,UTA,W (+11),0,8:13,.667,.667,0.0,12.2,6.4,0.0,6.0,0.0,0.0,15.9,125,107,3.2,-0.6
31,18,2024-12-27,22-025,CLE,@,DEN,W (+14),0,1:36,,,0.0,81.1,39.5,55.6,0.0,0.0,,0.0,243,126,1.0,19.2
32,19,2024-12-30,22-028,CLE,@,GSW,W (+18),0,4:05,.000,.000,22.6,41.2,32.4,0.0,0.0,0.0,0.0,10.1,66,84,0.6,-6.1
33,,2024-12-31,22-029,CLE,@,LAL,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,20,2025-01-03,22-032,CLE,@,DAL,W (+12),0,4:07,.000,.000,0.0,40.9,23.6,22.4,0.0,0.0,50.0,20.3,32,107,-0.8,-21.5
35,21,2025-01-05,22-034,CLE,,CHO,W (+10),0,3:03,.000,.000,0.0,35.0,17.7,0.0,0.0,0.0,0.0,28.3,0,103,-1.1,-31.0
36,,2025-01-08,22-037,CLE,,OKC,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,,2025-01-09,22-038,CLE,,TOR,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,22,2025-01-12,22-041,CLE,,IND,L (-15),0,2:44,.000,.000,0.0,0.0,0.0,53.2,0.0,0.0,0.0,16.9,48,116,0.0,-5.6
39,23,2025-01-14,22-043,CLE,@,IND,W (+10),0,1:29,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,0.0,-6.5
40,24,2025-01-16,22-045,CLE,@,OKC,L (-20),0,12:00,.417,.417,19.0,34.8,27.3,11.8,0.0,0.0,14.3,23.3,92,125,3.9,-3.5
41,,2025-01-18,22-047,CLE,@,MIN,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,25,2025-01-20,22-049,CLE,,PHO,W (+26),0,15:22,1.025,1.000,6.5,34.7,18.6,19.8,3.2,0.0,0.0,13.4,214,93,12.3,20.8
43,26,2025-01-22,22-051,CLE,@,HOU,L (-1),0,5:03,.000,.000,0.0,21.1,9.7,0.0,9.9,0.0,0.0,8.0,0,93,0.6,-3.4
44,27,2025-01-24,22-053,CLE,@,PHI,L (-3),0,13:32,.750,.750,0.0,16.5,8.9,0.0,0.0,7.4,0.0,6.2,147,134,3.3,-1.1
45,,2025-01-25,22-054,CLE,,HOU,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,28,2025-01-27,22-056,CLE,,DET,W (+19),0,13:58,.512,.375,0.0,13.0,7.0,18.8,0.0,0.0,0.0,15.1,129,100,4.2,3.0
47,29,2025-01-29,22-058,CLE,@,MIA,W (+20),1,29:42,.286,.286,11.5,8.1,9.9,12.7,0.0,0.0,12.5,11.8,102,119,3.2,-8.1
48,30,2025-01-30,22-059,CLE,,ATL,W (+22),0,16:45,.759,.722,8.0,23.4,16.9,0.0,0.0,5.6,0.0,25.3,156,113,12.5,4.6
49,31,2025-02-02,22-062,CLE,,DAL,W (+43),0,18:05,.538,.500,7.0,13.7,11.1,11.8,0.0,0.0,0.0,18.1,124,102,7.3,-2.6
50,,2025-02-04,22-064,CLE,,BOS,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,32,2025-02-05,22-065,CLE,@,DET,W (+3),0,8:41,.000,.000,14.2,10.6,12.1,13.5,0.0,0.0,33.3,13.9,44,118,-0.7,-12.4
52,33,2025-02-07,22-067,CLE,@,WAS,W (+10),0,20:28,1.054,1.000,24.1,5.0,13.6,16.2,2.3,0.0,23.1,8.5,186,125,10.4,6.1
53,34,2025-02-10,22-070,CLE,,MIN,W (+21),0,13:59,.625,.625,25.7,13.7,19.1,8.3,0.0,0.0,33.3,17.2,109,111,2.4,-6.5
