Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2024-10-23,28-209,CLE,@,TOR,W (+30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2024-10-25,28-211,CLE,,DET,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-26,28-212,CLE,@,WAS,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2024-10-28,28-214,CLE,@,NYK,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2024-10-30,28-216,CLE,,LAL,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2024-11-01,28-218,CLE,,ORL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2024-11-02,28-219,CLE,@,MIL,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2024-11-04,28-221,CLE,,MIL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2024-11-06,28-223,CLE,@,NOP,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2024-11-08,28-225,CLE,,GSW,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2024-11-09,28-226,CLE,,BRK,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2024-11-11,28-228,CLE,@,CHI,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2024-11-13,28-230,CLE,@,PHI,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2024-11-15,28-232,CLE,,CHI,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2024-11-17,28-234,CLE,,CHO,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2024-11-19,28-236,CLE,@,BOS,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2024-11-20,28-237,CLE,,NOP,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2024-11-24,28-241,CLE,,TOR,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2024-11-27,28-244,CLE,,ATL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2024-11-29,28-246,CLE,@,ATL,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2024-12-01,28-248,CLE,,BOS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2024-12-03,28-250,CLE,,WAS,W (+31),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2024-12-05,28-252,CLE,,DEN,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2024-12-07,28-254,CLE,@,CHO,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2024-12-08,28-255,CLE,@,MIA,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,2024-12-13,28-260,CLE,,WAS,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2024-12-16,28-263,CLE,@,BRK,W (+29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,1,2024-12-20,28-267,CLE,,MIL,W (+23),0,19:07,.563,.563,0.0,0.0,0.0,13.1,0.0,0.0,0.0,17.4,122,105,5.2,-0.7
29,,2024-12-21,28-268,CLE,,PHI,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2,2024-12-23,28-270,CLE,,UTA,W (+11),0,21:45,.333,.333,10.3,18.4,14.6,10.8,0.0,0.0,0.0,6.0,131,118,3.1,-6.7
31,3,2024-12-27,28-274,CLE,@,DEN,W (+14),0,23:49,.417,.417,5.2,21.8,13.3,4.0,1.9,0.0,14.3,12.1,91,130,2.6,-11.7
32,4,2024-12-30,28-277,CLE,@,GSW,W (+18),0,18:53,.250,.250,0.0,17.8,9.3,6.1,2.4,0.0,33.3,19.7,40,90,-0.9,-10.3
33,5,2024-12-31,28-278,CLE,@,LAL,W (+12),0,26:24,.794,.778,4.0,7.9,6.0,20.3,0.0,6.1,0.0,15.4,167,111,14.2,11.4
34,6,2025-01-03,28-281,CLE,@,DAL,W (+12),0,24:26,.200,.200,14.0,10.3,11.9,27.5,0.0,0.0,0.0,8.6,129,124,6.4,-1.4
35,7,2025-01-05,28-283,CLE,,CHO,W (+10),0,24:46,.455,.389,0.0,12.9,6.5,20.3,0.0,4.0,9.2,19.0,102,109,7.3,0.3
36,8,2025-01-08,28-286,CLE,,OKC,W (+7),0,26:17,1.214,1.214,4.5,9.9,7.0,25.3,0.0,0.0,30.0,15.6,147,127,15.5,14.8
37,9,2025-01-09,28-287,CLE,,TOR,W (+6),0,24:56,.857,.857,4.4,5.5,4.9,14.7,2.0,0.0,22.2,15.6,138,134,10.8,5.3
38,10,2025-01-12,28-290,CLE,,IND,L (-15),0,22:57,.250,.250,0.0,17.8,8.9,6.8,0.0,0.0,25.0,16.1,42,112,-1.7,-13.4
39,11,2025-01-14,28-292,CLE,@,IND,W (+10),0,21:49,.732,.750,0.0,20.0,10.2,25.7,2.2,3.5,0.0,16.6,166,111,13.5,14.4
40,12,2025-01-16,28-294,CLE,@,OKC,L (-20),0,19:57,.375,.375,0.0,15.7,8.2,6.1,0.0,0.0,42.9,14.0,48,129,-1.2,-12.5
41,13,2025-01-18,28-296,CLE,@,MIN,W (+7),0,27:42,.357,.357,7.5,16.1,11.7,13.5,0.0,0.0,0.0,10.9,115,126,5.6,-2.8
42,14,2025-01-20,28-298,CLE,,PHO,W (+26),1,20:35,.563,.563,0.0,13.0,5.6,13.7,2.4,0.0,11.1,18.4,112,95,6.2,1.9
43,15,2025-01-22,28-300,CLE,@,HOU,L (-1),1,22:46,.417,.417,4.0,0.0,2.2,28.7,2.2,0.0,14.3,12.5,113,121,5.0,-0.4
44,16,2025-01-24,28-302,CLE,@,PHI,L (-3),1,27:25,.429,.429,9.5,20.4,15.3,8.4,1.8,7.3,0.0,10.7,124,128,7.4,-2.0
45,17,2025-01-25,28-303,CLE,,HOU,L (-4),1,34:49,.875,.875,3.4,25.1,14.6,10.7,0.0,0.0,0.0,9.7,183,135,14.0,3.7
46,18,2025-01-27,28-305,CLE,,DET,W (+19),1,26:12,.556,.556,4.1,24.2,15.0,11.2,1.9,3.1,10.0,16.5,110,89,9.4,5.2
47,19,2025-01-29,28-307,CLE,@,MIA,W (+20),1,33:14,.364,.364,0.0,10.8,5.3,17.4,4.6,0.0,0.0,14.5,110,108,8.8,0.7
48,20,2025-01-30,28-308,CLE,,ATL,W (+22),1,20:35,1.100,1.100,6.5,19.0,13.7,16.0,2.3,0.0,37.5,16.7,128,113,10.7,9.0
49,21,2025-02-02,28-311,CLE,,DAL,W (+43),1,19:27,.765,.800,0.0,12.8,7.7,21.6,2.3,4.1,0.0,13.3,164,94,11.3,10.8
50,22,2025-02-04,28-313,CLE,,BOS,L (-7),1,28:45,.250,.250,0.0,19.3,9.6,4.9,1.7,0.0,20.0,7.2,53,110,-0.3,-7.1
51,23,2025-02-05,28-314,CLE,@,DET,W (+3),1,28:02,.582,.542,8.8,13.2,11.3,10.6,1.7,2.8,13.4,21.3,114,112,11.5,3.1
52,24,2025-02-07,28-316,CLE,@,WAS,W (+10),1,31:00,.773,.773,4.0,13.2,9.0,12.0,0.0,0.0,0.0,14.4,173,128,15.3,5.5
53,,2025-02-10,28-319,CLE,,MIN,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,25,2025-02-12,28-321,CLE,@,TOR,W (+23),1,26:02,.589,.545,0.0,18.8,10.0,27.2,1.8,0.0,7.8,19.7,133,105,13.2,7.0
55,26,2025-02-20,28-329,CLE,@,BRK,W (+13),1,24:21,.250,.250,0.0,8.0,4.1,5.5,0.0,0.0,0.0,16.0,70,103,-1.9,-11.5
56,27,2025-02-21,28-330,CLE,,NYK,W (+37),1,21:17,.625,.625,0.0,10.0,5.7,35.0,2.2,0.0,33.3,11.9,135,105,7.8,6.7
57,28,2025-02-23,28-332,CLE,,MEM,W (+6),1,30:35,.619,.563,13.4,13.4,13.4,11.4,0.0,3.0,10.1,12.1,152,122,11.2,4.2
58,29,2025-02-25,28-334,CLE,@,ORL,W (+40),1,20:56,.944,.944,7.2,0.0,2.8,14.7,2.5,0.0,10.0,23.2,168,95,14.8,18.7
59,30,2025-02-28,28-337,CLE,@,BOS,W (+7),1,21:37,.333,.333,5.6,15.1,10.6,10.4,0.0,0.0,0.0,6.0,125,129,2.5,-4.7
60,31,2025-03-02,28-339,CLE,,POR,W (+4),1,36:23,.467,.467,6.3,18.6,12.5,12.6,2.6,0.0,11.8,19.4,100,114,8.8,-3.4
61,32,2025-03-04,28-341,CLE,@,CHI,W (+22),1,24:35,.786,.786,7.7,3.8,5.7,25.6,0.0,0.0,0.0,11.2,177,114,12.1,8.5
62,33,2025-03-05,28-342,CLE,,MIA,W (+5),1,26:00,.688,.688,0.0,8.0,4.1,11.0,1.9,0.0,0.0,13.5,142,112,8.8,4.3
63,34,2025-03-07,28-344,CLE,@,CHO,W (+1),1,21:38,.347,.000,5.3,9.6,7.6,6.9,0.0,0.0,18.8,10.5,83,122,1.5,-7.9
64,35,2025-03-09,28-346,CLE,@,MIL,W (+12),1,22:15,.773,.773,18.0,23.4,20.7,16.6,2.2,0.0,15.4,25.2,136,99,15.6,15.4
