Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,33-224,CLE,@,TOR,W (+30),0,8:30,.500,.500,0.0,13.4,7.6,0.0,0.0,0.0,0.0,10.1,104,114,1.3,-5.4
2,,2024-10-25,33-226,CLE,,DET,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2,2024-10-26,33-227,CLE,@,WAS,W (+19),0,5:19,.000,,0.0,16.4,9.6,0.0,0.0,0.0,36.2,20.8,0,117,-2.7,-32.3
4,,2024-10-28,33-229,CLE,@,NYK,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,3,2024-10-30,33-231,CLE,,LAL,W (+24),0,5:16,.820,1.000,0.0,78.1,37.5,24.1,0.0,0.0,29.1,27.9,107,105,3.6,8.2
6,4,2024-11-01,33-233,CLE,,ORL,W (+11),0,3:58,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,200,112,3.4,13.2
7,,2024-11-02,33-234,CLE,@,MIL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2024-11-04,33-236,CLE,,MIL,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2024-11-06,33-238,CLE,@,NOP,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,5,2024-11-08,33-240,CLE,,GSW,W (+19),0,3:26,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0,118,-0.7,-18.2
11,,2024-11-09,33-241,CLE,,BRK,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,,2024-11-11,33-243,CLE,@,CHI,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
