Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,27-107,CLE,@,TOR,W (+30),0,18:57,1.000,1.000,7.9,6.0,6.8,42.4,5.1,0.0,22.2,20.5,164,105,16.3,19.7
2,2,2024-10-25,27-109,CLE,,DET,W (+12),0,15:50,.752,.667,7.8,7.2,7.5,40.6,3.0,0.0,10.4,27.8,151,103,13.8,13.9
3,3,2024-10-26,27-110,CLE,@,WAS,W (+19),0,15:10,.810,.750,8.1,5.8,6.7,27.6,3.0,0.0,10.4,25.4,161,116,13.7,11.1
4,4,2024-10-28,27-112,CLE,@,NYK,W (+6),0,6:41,.200,.200,0.0,0.0,0.0,0.0,14.9,0.0,16.7,40.4,36,86,-0.5,-15.2
5,5,2024-10-30,27-114,CLE,,LAL,W (+24),0,16:20,.888,.857,0.0,16.8,8.1,28.5,2.8,0.0,0.0,20.6,183,105,15.1,17.4
6,6,2024-11-01,27-116,CLE,,ORL,W (+11),0,21:00,.455,.389,0.0,28.0,15.6,12.3,4.4,0.0,0.0,20.8,105,98,9.1,1.6
7,7,2024-11-02,27-117,CLE,@,MIL,W (+1),0,8:46,.615,.500,0.0,24.3,12.2,42.6,0.0,0.0,0.0,12.8,161,118,4.3,4.2
8,8,2024-11-04,27-119,CLE,,MIL,W (+2),0,18:44,.676,.750,0.0,0.0,0.0,6.7,5.1,0.0,0.0,10.7,134,111,6.7,0.9
9,9,2024-11-06,27-121,CLE,@,NOP,W (+9),0,15:48,.698,.714,8.2,14.5,11.5,38.1,6.1,0.0,11.3,23.5,148,115,12.7,15.1
10,10,2024-11-08,27-123,CLE,,GSW,W (+19),0,21:15,1.073,1.063,5.9,0.0,2.7,22.4,0.0,0.0,24.4,23.7,151,118,16.2,9.2
11,11,2024-11-09,27-124,CLE,,BRK,W (+5),0,18:05,.500,.500,0.0,6.8,3.8,38.3,5.8,0.0,20.0,13.5,115,105,6.4,4.6
12,12,2024-11-11,27-126,CLE,@,CHI,W (+6),0,21:15,.667,.667,8.2,11.6,9.6,42.7,6.5,0.0,18.2,21.3,129,102,13.7,11.0
13,13,2024-11-13,27-128,CLE,@,PHI,W (+8),0,13:27,1.000,1.000,0.0,0.0,0.0,22.8,0.0,0.0,33.3,20.7,124,122,4.6,-0.3
14,14,2024-11-15,27-130,CLE,,CHI,W (+18),0,19:13,.438,.438,6.8,19.2,13.1,23.0,0.0,0.0,0.0,17.1,117,122,6.2,-6.9
15,15,2024-11-17,27-132,CLE,,CHO,W (+14),1,31:31,.756,.733,0.0,5.4,3.5,40.2,0.0,0.0,11.2,24.9,149,124,21.3,9.8
16,16,2024-11-19,27-134,CLE,@,BOS,L (-3),0,28:24,.850,.800,0.0,4.4,2.0,21.5,1.8,0.0,14.5,10.8,157,129,10.7,1.6
17,17,2024-11-20,27-135,CLE,,NOP,W (+28),1,23:17,.729,.711,5.2,7.9,6.7,7.3,0.0,0.0,9.1,39.9,139,115,19.3,7.4
18,18,2024-11-24,27-139,CLE,,TOR,W (+14),0,28:24,.825,.786,0.0,9.4,4.9,30.9,6.7,3.2,16.0,27.1,145,97,25.0,20.5
