Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,31:51,5,16,0.313,2,8,0.25,3,4,0.75,0,1,1,10,1,0,2,1,15,11.3,-9.0,youngtr01
Dyson Daniels,30:29,3,8,0.375,1,1,1.0,0,0,,1,6,7,5,1,0,1,1,7,8.2,-11.0,daniedy01
Onyeka Okongwu,28:08,6,11,0.545,1,2,0.5,1,2,0.5,4,3,7,4,1,0,2,2,14,13.0,-5.0,okongon01
Zaccharie Risacher,25:26,11,14,0.786,5,6,0.833,3,6,0.5,0,1,1,1,2,0,0,1,30,26.0,-6.0,risacza01
Mouhamed Gueye,15:32,4,7,0.571,0,2,0.0,0,1,0.0,0,2,2,1,3,1,0,2,8,8.5,-4.0,gueyemo02
De'Andre Hunter,30:39,6,13,0.462,1,7,0.143,12,12,1.0,2,3,5,2,1,0,4,2,25,18.2,-17.0,huntede01
Vit Krejci,20:49,2,3,0.667,1,2,0.5,1,2,0.5,1,0,1,0,0,0,1,6,6,1.6,-22.0,krejcvi01
Garrison Mathews,17:23,2,5,0.4,2,5,0.4,0,0,,1,4,5,0,0,0,0,1,6,4.8,-4.0,mathega01
Keaton Wallace,16:09,1,5,0.2,0,4,0.0,0,0,,0,0,0,3,1,0,1,2,2,0.2,-13.0,wallake01
Larry Nance Jr.,15:09,0,5,0.0,0,2,0.0,0,0,,1,4,5,2,0,0,0,0,0,-0.2,-16.0,nancela02
Dominick Barlow,4:43,1,2,0.5,0,0,,0,0,,0,2,2,0,0,0,0,0,2,1.6,-1.0,barlodo01
David Roddy,3:42,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2.0,roddyda01
Team Totals,240,41,90,0.456,13,39,0.333,20,27,0.741,10,26,36,28,10,1,11,18,115,,,-9999
