Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,31-225,LAL,,MIN,W (+7),1,37:35,11,23,.478,1,3,.333,13,15,.867,3,13,16,4,1,3,1,1,36,34.0,+1
2,2,2024-10-25,31-228,LAL,,PHO,W (+7),1,37:30,11,18,.611,0,0,,13,17,.765,1,7,8,4,1,2,1,2,35,31.4,+4
3,3,2024-10-26,31-229,LAL,,SAC,W (+4),1,37:45,10,15,.667,1,2,.500,10,13,.769,3,6,9,2,3,2,2,1,31,30.6,-22
4,4,2024-10-28,31-231,LAL,@,PHO,L (-4),1,35:30,12,24,.500,0,2,.000,5,6,.833,5,10,15,3,1,3,3,1,29,24.9,+14
5,5,2024-10-30,31-233,LAL,@,CLE,L (-24),1,31:20,9,17,.529,0,1,.000,4,8,.500,1,12,13,2,2,0,4,1,22,15.4,-18
6,6,2024-11-01,31-235,LAL,@,TOR,W (+6),1,35:43,14,20,.700,0,0,,10,11,.909,1,10,11,2,3,2,3,0,38,35.7,+7
7,7,2024-11-04,31-238,LAL,@,DET,L (-12),1,39:00,13,23,.565,0,4,.000,11,14,.786,1,8,9,4,0,0,3,2,37,27.0,-1
8,,2024-11-06,31-240,LAL,@,MEM,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,8,2024-11-08,31-242,LAL,,PHI,W (+10),1,35:29,11,20,.550,2,3,.667,7,8,.875,3,6,9,1,0,4,3,2,31,24.6,+20
10,9,2024-11-10,31-244,LAL,,TOR,W (+20),1,25:53,6,8,.750,2,2,1.000,8,10,.800,1,3,4,3,1,2,0,1,22,23.7,-3
11,10,2024-11-13,31-247,LAL,,MEM,W (+5),1,32:00,6,16,.375,2,3,.667,7,8,.875,2,12,14,3,0,3,3,5,21,16.0,-6
12,11,2024-11-15,31-249,LAL,@,SAS,W (+5),1,36:10,14,26,.538,2,4,.500,10,12,.833,5,7,12,2,1,2,2,1,40,33.6,+12
13,12,2024-11-16,31-250,LAL,@,NOP,W (+5),1,37:14,12,20,.600,2,4,.500,5,7,.714,3,11,14,1,2,1,2,3,31,26.6,+2
14,13,2024-11-19,31-253,LAL,,UTA,W (+6),1,33:52,10,15,.667,0,1,.000,6,10,.600,4,10,14,6,2,0,0,3,26,28.7,+4
15,14,2024-11-21,31-255,LAL,,ORL,L (-1),1,37:46,14,22,.636,1,1,1.000,10,13,.769,4,5,9,2,0,3,3,4,39,31.2,0
16,15,2024-11-23,31-257,LAL,,DEN,L (-25),1,35:24,6,19,.316,0,2,.000,2,3,.667,3,7,10,3,3,2,1,2,14,11.6,-26
17,16,2024-11-26,31-260,LAL,@,PHO,L (-27),1,34:42,10,19,.526,0,2,.000,5,7,.714,2,13,15,5,1,4,3,3,25,23.3,-24
18,17,2024-11-27,31-261,LAL,@,SAS,W (+18),1,35:07,8,14,.571,0,2,.000,3,3,1.000,4,10,14,7,1,0,1,2,19,22.3,+16
19,18,2024-11-29,31-263,LAL,,OKC,L (-8),1,37:44,5,9,.556,0,0,,5,7,.714,2,10,12,7,1,4,1,2,15,21.2,-5
20,19,2024-12-01,31-265,LAL,@,UTA,W (+1),1,38:50,13,25,.520,2,4,.500,5,6,.833,1,10,11,0,2,1,1,1,33,25.3,+6
21,20,2024-12-02,31-266,LAL,@,MIN,L (-29),1,32:57,4,14,.286,0,2,.000,4,4,1.000,2,9,11,5,0,1,2,3,12,8.9,-9
22,21,2024-12-04,31-268,LAL,@,MIA,L (-41),1,31:24,3,14,.214,0,1,.000,2,4,.500,1,6,7,5,1,0,0,3,8,4.4,-29
23,22,2024-12-06,31-270,LAL,@,ATL,L (-2),1,41:31,15,27,.556,0,3,.000,8,8,1.000,3,7,10,8,1,2,6,3,38,30.1,+6
24,23,2024-12-08,31-272,LAL,,POR,W (+9),1,32:09,10,21,.476,1,4,.250,9,9,1.000,2,9,11,1,2,5,1,1,30,28.2,+4
25,24,2024-12-13,31-277,LAL,@,MIN,L (-10),1,36:13,10,21,.476,1,5,.200,2,5,.400,2,9,11,1,0,3,4,1,23,13.6,-22
26,25,2024-12-15,31-279,LAL,,MEM,W (+6),1,33:24,15,22,.682,1,4,.250,9,12,.750,4,12,16,2,2,1,4,4,40,34.3,+14
