Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,29-025,PHI,,MIL,L (-15),0,37:27,5,10,.500,0,1,.000,2,2,1.000,4,5,9,3,0,1,3,4,12,9.5,-20
2,2,2024-10-25,29-027,PHI,@,TOR,L (-8),1,33:47,2,6,.333,0,1,.000,7,10,.700,4,1,5,4,0,1,3,4,11,8.4,+2
3,3,2024-10-27,29-029,PHI,@,IND,W (+4),1,36:50,6,16,.375,1,5,.200,4,6,.667,4,8,12,1,1,0,5,4,17,7.7,-5
4,4,2024-10-30,29-032,PHI,,DET,L (-10),1,32:35,2,10,.200,1,3,.333,2,4,.500,1,4,5,1,0,0,2,4,7,-1.0,+1
5,5,2024-11-02,29-035,PHI,,MEM,L (-17),1,27:42,1,7,.143,0,3,.000,7,10,.700,1,2,3,3,1,1,2,1,9,6.0,-26
6,6,2024-11-04,29-037,PHI,@,PHO,L (-2),1,39:02,2,6,.333,1,3,.333,0,0,,3,7,10,5,1,0,0,2,5,9.5,+7
7,7,2024-11-06,29-039,PHI,@,LAC,L (-12),1,30:45,4,10,.400,1,4,.250,5,10,.500,0,2,2,2,1,0,1,1,14,8.2,-11
8,8,2024-11-08,29-041,PHI,@,LAL,L (-10),1,26:10,5,6,.833,3,4,.750,0,0,,1,2,3,5,0,0,2,0,13,13.6,-3
9,9,2024-11-10,29-043,PHI,,CHO,W (+2),1,41:05,1,5,.200,1,2,.500,2,2,1.000,1,4,5,3,4,0,2,2,5,7.1,+1
10,10,2024-11-12,29-045,PHI,,NYK,L (-12),1,35:55,7,10,.700,1,3,.333,2,2,1.000,0,2,2,3,4,0,1,2,17,17.7,-14
11,11,2024-11-13,29-046,PHI,,CLE,L (-8),1,33:54,8,13,.615,1,4,.250,1,1,1.000,1,6,7,1,2,0,2,0,18,15.3,-5
12,12,2024-11-15,29-048,PHI,@,ORL,L (-12),1,33:26,1,3,.333,1,1,1.000,0,0,,1,4,5,1,0,0,4,4,3,-1.7,-9
13,13,2024-11-18,29-051,PHI,@,MIA,L (-17),1,28:34,5,12,.417,2,6,.333,0,0,,1,4,5,0,2,1,0,1,12,9.8,-24
14,14,2024-11-20,29-053,PHI,@,MEM,L (-6),1,32:25,1,3,.333,0,2,.000,0,0,,1,2,3,4,1,3,2,1,2,5.1,-12
15,15,2024-11-22,29-055,PHI,,BRK,W (+15),1,29:39,3,6,.500,1,3,.333,3,4,.750,0,0,0,4,0,1,2,0,10,8.1,+25
16,16,2024-11-24,29-057,PHI,,LAC,L (-26),1,13:27,1,8,.125,0,1,.000,1,2,.500,2,1,3,0,0,1,1,0,3,-1.2,-25
